epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,28.4407,4.12732,5.61669,3.92681,3.43943,0,0.00033,0.01811,1e-05,0,0.00038,0.02097,1e-05,0,3.45273,4.76834,3.94186,2.76395,0,0.000325581,0.000325581,0.0677674
2,46.7799,3.3453,4.40837,3.50609,2.40685,0,0.0028,0.15443,0.00636,0.0012,0.00185,0.102,0.0019,0.00028,3.4173,4.96305,3.75051,2.45628,0,0.00065674,0.00065674,0.0347653
3,66.5457,2.89537,4.13958,2.98737,2.07782,0,0.52287,0.04862,0.09067,0.02918,0.0065,0.28599,0.05053,0.01035,2.67238,4.40559,3.65799,2.105,0,0.000985699,0.000985699,0.00176089
4,85.6506,2.62718,3.88122,2.50574,1.89109,0,0.45118,0.29075,0.27202,0.13081,0.4497,0.2898,0.26553,0.10595,2.24345,3.89844,2.41399,1.79087,0,0.0009901,0.0009901,0.0009901
5,105.03,2.42005,3.63358,2.24194,1.74884,0,0.64098,0.32698,0.36634,0.18615,0.64264,0.32412,0.36429,0.16713,2.10792,3.51141,2.11283,1.69004,0,0.0009868,0.0009868,0.0009868
6,125.202,2.25808,3.4536,2.07466,1.65291,0,0.66799,0.37274,0.41074,0.20968,0.67098,0.37909,0.41095,0.19139,2.00644,3.46045,1.86323,1.6321,0,0.0009835,0.0009835,0.0009835
7,146.917,2.15302,3.31193,1.95446,1.5984,0,0.62049,0.4061,0.43553,0.21891,0.64909,0.40028,0.43731,0.21021,1.93536,3.23031,1.8604,1.5644,0,0.0009802,0.0009802,0.0009802
8,166.936,2.04343,3.20929,1.83737,1.53505,0,0.60463,0.38704,0.41945,0.23167,0.58884,0.40896,0.42099,0.21345,1.80161,3.15204,1.75216,1.48993,0,0.0009769,0.0009769,0.0009769
9,187.625,1.94065,3.10739,1.74843,1.49219,0,0.73701,0.43012,0.48149,0.26556,0.72661,0.42612,0.47381,0.23937,1.70712,3.2203,1.65607,1.46185,0,0.0009736,0.0009736,0.0009736
10,210.854,1.87975,3.03081,1.68442,1.43987,0,0.73315,0.44423,0.50635,0.30276,0.73412,0.44482,0.50277,0.28755,1.60879,3.11005,1.51541,1.38592,0,0.0009703,0.0009703,0.0009703
11,229.646,1.84506,2.97567,1.66298,1.40685,0,0.82762,0.43479,0.51565,0.32035,0.83758,0.43754,0.51739,0.31099,1.56574,2.89173,1.48602,1.35945,0,0.000967,0.000967,0.000967
12,249.331,1.77259,2.91775,1.57968,1.34731,0,0.81647,0.45758,0.53937,0.33223,0.81088,0.45758,0.53341,0.32472,1.46479,2.78797,1.36596,1.29961,0,0.0009637,0.0009637,0.0009637
13,267.874,1.71777,2.79028,1.53115,1.32737,0,0.82197,0.48999,0.56559,0.36367,0.81961,0.48904,0.56537,0.353,1.42274,2.65586,1.29014,1.27222,0,0.0009604,0.0009604,0.0009604
14,286.655,1.66619,2.71978,1.48285,1.30284,0,0.81837,0.48999,0.56336,0.35973,0.82256,0.49094,0.55877,0.35406,1.41432,2.63022,1.2843,1.26215,0,0.0009571,0.0009571,0.0009571
