epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,30.1785,3.9705,5.09961,3.73409,3.06059,0,0.00333,0.18398,0.00073,0.00014,0.00223,0.12297,0.00031,6e-05,3.42762,4.68354,3.85907,2.54973,0,0.000325581,0.000325581,0.0677674
2,51.4815,3.29043,4.28086,3.25718,2.31128,0,0,0,0,0,0,0,0,0,3.62719,5.35539,4.33059,2.46141,0,0.00065674,0.00065674,0.0347653
3,73.3478,2.84885,3.94583,2.56774,2.01732,0,0.83649,0.02927,0.09072,0.03766,0.83649,0.02927,0.08701,0.03326,2.9217,4.37657,3.70891,2.12326,0,0.000985699,0.000985699,0.00176089
4,95.5607,2.58135,3.73434,2.27427,1.85297,0,0.58421,0.27359,0.29551,0.13899,0.5855,0.26787,0.28027,0.10721,2.32303,3.93453,2.5464,1.83338,0,0.0009901,0.0009901,0.0009901
5,117.567,2.39161,3.52171,2.08654,1.73142,0,0.69546,0.33743,0.39819,0.20389,0.68903,0.33373,0.39234,0.18807,2.0774,3.43851,1.93,1.67657,0,0.0009868,0.0009868,0.0009868
6,138.88,2.17291,3.36137,1.86022,1.60364,0,0.68214,0.39276,0.44857,0.24249,0.71219,0.37979,0.44664,0.23631,1.87813,3.18124,1.77712,1.59548,0,0.0009835,0.0009835,0.0009835
7,162.556,2.06653,3.2224,1.77409,1.55269,0,0.73182,0.41622,0.46998,0.26467,0.74323,0.41277,0.46827,0.25043,1.77143,3.09832,1.68473,1.51654,0,0.0009802,0.0009802,0.0009802
8,183.715,1.95971,3.08164,1.67663,1.48374,0,0.73403,0.43279,0.49795,0.28921,0.77579,0.42517,0.49873,0.28537,1.70822,2.96465,1.58743,1.45823,0,0.0009769,0.0009769,0.0009769
9,205.016,1.83459,2.92602,1.57283,1.4306,0,0.7603,0.4633,0.52807,0.31298,0.7634,0.46235,0.52257,0.31641,1.62765,2.78167,1.44699,1.40678,0,0.0009736,0.0009736,0.0009736
10,227.385,1.78561,2.85605,1.52244,1.39361,0,0.81159,0.47188,0.56195,0.34293,0.81445,0.47701,0.56323,0.34412,1.56214,2.67347,1.35218,1.35861,0,0.0009703,0.0009703,0.0009703
11,249.379,1.74501,2.79722,1.48629,1.35613,0,0.83493,0.48427,0.56996,0.34994,0.83539,0.4838,0.56625,0.34695,1.55145,2.62487,1.32422,1.34547,0,0.000967,0.000967,0.000967
12,271.747,1.70181,2.76684,1.42009,1.31346,0,0.8251,0.48522,0.57077,0.36236,0.81614,0.48904,0.56857,0.35704,1.46766,2.5339,1.31005,1.30499,0,0.0009637,0.0009637,0.0009637
13,291.579,1.63271,2.63706,1.40311,1.29864,0,0.79122,0.48411,0.56423,0.36586,0.80306,0.48427,0.56509,0.36174,1.43094,2.51633,1.28267,1.28682,0,0.0009604,0.0009604,0.0009604
14,312.932,1.60365,2.59044,1.35571,1.2764,0,0.81399,0.49666,0.56675,0.37344,0.81134,0.49857,0.56708,0.37326,1.39502,2.48236,1.27758,1.26074,0,0.0009571,0.0009571,0.0009571
15,332.959,1.60268,2.53845,1.35071,1.26281,0,0.85829,0.49476,0.59782,0.37177,0.8229,0.5081,0.59388,0.37534,1.42343,2.40717,1.25782,1.27155,0,0.0009538,0.0009538,0.0009538
16,353.858,1.56758,2.47655,1.33083,1.25557,0,0.82419,0.52336,0.60519,0.39375,0.82522,0.5224,0.60534,0.39476,1.37925,2.31227,1.24545,1.25751,0,0.0009505,0.0009505,0.0009505
17,375.118,1.52276,2.41072,1.28511,1.22481,0,0.87452,0.50334,0.60531,0.39865,0.89975,0.50477,0.60362,0.39015,1.311,2.30646,1.24146,1.22063,0,0.0009472,0.0009472,0.0009472
18,394.892,1.47226,2.39892,1.24723,1.20118,0,0.826,0.51588,0.59591,0.40033,0.8242,0.51859,0.59536,0.39504,1.30102,2.24761,1.18008,1.20743,0,0.0009439,0.0009439,0.0009439
