epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,108.075,3.80902,5.0794,3.809,4.11598,0,0.14167,0.1586,0.06563,0.01946,0.13804,0.14265,0.0596,0.01443,2.96736,11.578,3.12565,4.32317,0,0.00996528,0.00332176,0.00996528,0.00332176,0.00996528,0.00332176,0.00996528,0.00332176
2,194.297,2.59042,3.34883,2.64764,2.92549,0,0.42148,0.31168,0.29215,0.1144,0.4188,0.2969,0.275,0.10347,2.1412,3.43874,2.3044,2.56812,0,0.0198994,0.00663313,0.0198994,0.00663313,0.0198994,0.00663313,0.0198994,0.00663313
3,277.894,2.04,2.98432,1.98556,2.26482,0,0.46675,0.31603,0.32777,0.14557,0.45086,0.28994,0.29927,0.12628,2.22521,3.25857,3.04663,2.498,0,0.0297675,0.0099225,0.0297675,0.0099225,0.0297675,0.0099225,0.0297675,0.0099225
4,357.496,1.76112,2.70634,1.627,1.99105,0,0.52538,0.35025,0.37073,0.18041,0.53081,0.32879,0.34513,0.15482,2.06536,3.19511,4.34705,2.42271,0,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,434.933,1.56114,2.49466,1.4092,1.82722,0,0.7893,0.58046,0.68038,0.39079,0.77391,0.56799,0.65779,0.3566,1.53412,2.65992,1.44412,1.90045,0,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,510.118,1.45377,2.35626,1.29772,1.72601,0,0.81626,0.64077,0.74033,0.44452,0.80442,0.62569,0.71554,0.40721,1.48705,2.55167,1.29282,1.85438,0,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,584.479,1.38582,2.26404,1.18463,1.66358,0,0.77688,0.67005,0.727,0.39301,0.77618,0.66831,0.72262,0.36956,1.54558,2.60154,1.36971,1.90952,0,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,658.513,1.3314,2.14896,1.13449,1.61249,0,0.80354,0.58771,0.69438,0.4263,0.79463,0.58,0.67719,0.39106,1.43325,2.43515,1.31155,1.8119,0,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,737.024,1.29491,2.10265,1.0662,1.56285,0,0.84047,0.65381,0.75899,0.46788,0.8327,0.6428,0.74181,0.42985,1.39479,2.40058,1.20942,1.77001,0,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,815.63,1.2558,2.04392,1.01718,1.54002,0,0.8402,0.67527,0.77914,0.49613,0.83632,0.66048,0.75776,0.4457,1.32341,2.28944,1.13661,1.68471,0,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
