epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,111.569,3.93712,6.45904,3.90899,4.16831,0,0.00344,0.24384,0.00222,0.00038,0.00155,0.00029,3e-05,1e-05,3.76193,47.9467,3.69104,5.92655,0,0.00996528,0.00332176,0.00996528,0.00332176,0.00996528,0.00332176,0.00996528,0.00332176
2,202.123,2.89651,3.69486,2.96011,3.28565,0,0.29858,0.24935,0.18471,0.0675,0.26206,0.24152,0.16945,0.0508,2.24132,4.20813,3.02181,2.71614,0,0.0198994,0.00663313,0.0198994,0.00663313,0.0198994,0.00663313,0.0198994,0.00663313
3,284.237,2.16863,3.19827,2.24184,2.40274,0,0.27759,0.24789,0.17163,0.05548,0.26613,0.24152,0.1637,0.04973,2.4736,3.89704,3.4858,2.86949,0,0.0297675,0.0099225,0.0297675,0.0099225,0.0297675,0.0099225,0.0297675,0.0099225
4,367.01,1.87038,2.86237,1.78182,2.07737,0,0.64556,0.43251,0.49637,0.26288,0.62371,0.42244,0.47167,0.22718,1.72295,3.00012,2.0259,2.0789,0,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,448.241,1.65017,2.64221,1.55499,1.89932,0,0.69549,0.4311,0.50341,0.27351,0.68557,0.41533,0.47715,0.24116,1.93894,2.93864,1.99701,2.28673,0,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,528.688,1.53231,2.49783,1.44889,1.79147,0,0.61688,0.36532,0.41096,0.22132,0.6074,0.35303,0.39385,0.20113,1.78523,3.02771,2.28821,2.17904,0,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,609.94,1.45548,2.39392,1.33146,1.71926,0,0.74013,0.50206,0.58523,0.3427,0.72952,0.48954,0.56703,0.31127,1.57912,2.66006,1.72807,1.92981,0,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,691.878,1.39182,2.2777,1.26381,1.66082,0,0.69776,0.44825,0.51297,0.3035,0.68281,0.42911,0.48514,0.26999,1.83899,2.7789,1.78899,2.17126,0,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,772.273,1.35708,2.22817,1.19825,1.60948,0,0.72648,0.47666,0.55751,0.33332,0.70963,0.46912,0.53551,0.30273,1.7764,2.68532,1.69665,2.11736,0,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,854.223,1.31132,2.16049,1.13816,1.5827,0,0.78081,0.57756,0.65334,0.39466,0.77375,0.56625,0.6384,0.35888,1.4789,2.60785,1.4828,1.84469,0,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,941.44,1.29886,2.09582,1.08897,1.56068,0,0.7401,0.39867,0.46192,0.28126,0.72234,0.3891,0.44288,0.25635,1.93024,2.86549,1.93817,2.35986,0,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,1024.9,1.27083,2.04788,1.05216,1.55002,0,0.75657,0.50739,0.59017,0.34975,0.74888,0.49261,0.56953,0.31933,1.60888,2.63485,1.58311,1.9472,0,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,1110.81,1.25174,2.04496,1.04344,1.5276,0,0.77937,0.57049,0.6466,0.37952,0.77482,0.56166,0.63369,0.35304,1.54231,2.51433,1.47348,1.91158,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,1195.48,1.23447,1.9951,1.02769,1.50651,0,0.74206,0.47961,0.55523,0.34765,0.72902,0.46912,0.53548,0.31638,1.58335,2.64429,1.87963,1.93333,0,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,1277.83,1.21973,1.99359,0.98413,1.5053,0,0.81418,0.56661,0.67064,0.38864,0.80567,0.55523,0.64997,0.35503,1.53705,2.49892,1.46547,1.87109,0,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,1361.67,1.2002,1.95275,0.96315,1.48656,0,0.6669,0.4207,0.47624,0.28266,0.65129,0.40649,0.44965,0.25613,2.11396,2.80985,1.67281,2.37065,0,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,1447.42,1.19587,1.94585,0.94636,1.47557,0,0.73852,0.48333,0.51258,0.31443,0.71992,0.46448,0.48342,0.28121,1.7255,2.62984,1.93484,2.04003,0,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
18,1530.45,1.18797,1.9042,0.92182,1.47082,0,0.81384,0.57756,0.67037,0.37884,0.79959,0.56567,0.65062,0.34849,1.63538,2.56047,1.50493,1.97187,0,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
19,1614.1,1.17192,1.88375,0.91658,1.46266,0,0.77534,0.50633,0.57947,0.36704,0.76061,0.49287,0.55793,0.33223,1.82761,2.62304,1.60869,2.1618,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
20,1697.13,1.16023,1.859,0.88957,1.45368,0,0.70578,0.42128,0.46922,0.30043,0.69608,0.41113,0.4506,0.27305,1.91029,2.79228,1.77277,2.37684,0,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373
21,1782.54,1.15816,1.87635,0.88645,1.4422,0,0.84217,0.63149,0.71735,0.40778,0.83637,0.62714,0.7116,0.37936,1.6151,2.47153,1.33903,1.98071,0,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
22,1865.54,1.13345,1.81328,0.85995,1.43378,0,0.76804,0.43375,0.48493,0.31342,0.79081,0.412,0.46684,0.28802,1.68173,2.54139,1.97327,2.0148,0,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
23,1948.62,1.12759,1.81775,0.861,1.42598,0,0.76062,0.50392,0.55918,0.3567,0.75129,0.49058,0.53828,0.31718,1.77124,2.69195,1.41013,2.17478,0,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
24,2032.01,1.12576,1.82343,0.85381,1.4155,0,0.80814,0.63091,0.71633,0.45288,0.79981,0.6232,0.70095,0.42129,1.41179,2.32265,1.25269,1.77617,0,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241
