epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,111.266,3.78698,4.88896,3.77169,4.11207,0,0.05548,0.09423,0.02586,0.0076,0.07946,0.08785,0.03222,0.00851,2.72509,4.18262,3.43833,3.93314,0,0.00996528,0.00332176,0.00996528,0.00332176,0.00996528,0.00332176,0.00996528,0.00332176
2,197.133,2.74281,3.55054,2.7589,3.06154,0,0.13585,0.17686,0.07447,0.02622,0.13697,0.17831,0.07426,0.02534,2.23854,4.03641,3.03013,2.60757,0,0.0198994,0.00663313,0.0198994,0.00663313,0.0198994,0.00663313,0.0198994,0.00663313
3,275.869,2.27955,3.23737,2.31867,2.47269,0,0.32581,0.27718,0.23682,0.10237,0.32895,0.27167,0.23058,0.0948,2.00708,3.43216,2.64865,2.3875,0,0.0297675,0.0099225,0.0297675,0.0099225,0.0297675,0.0099225,0.0297675,0.0099225
4,357.128,2.00064,2.98314,1.89598,2.18033,0,0.52545,0.29632,0.31411,0.12959,0.52472,0.28095,0.29241,0.12194,2.44983,3.38017,2.67823,2.8767,0,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,440.334,1.79072,2.78115,1.66897,2.01266,0,0.21013,0.3372,0.13943,0.07005,0.20317,0.32531,0.13037,0.06387,2.18737,3.23179,2.99635,2.52651,0,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,518.399,1.67702,2.64247,1.56472,1.90386,0,0.69771,0.43346,0.51162,0.274,0.69279,0.41142,0.48217,0.24273,1.93369,2.95785,1.93871,2.28352,0,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,594.605,1.59058,2.52468,1.44468,1.81733,0,0.65142,0.4381,0.48738,0.25045,0.65206,0.42447,0.47447,0.2379,1.84416,2.9858,2.04448,2.15608,0,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,669.129,1.52431,2.42172,1.38246,1.75563,0,0.66433,0.46595,0.5189,0.26326,0.65317,0.46158,0.5075,0.25385,1.875,2.91656,1.94617,2.24251,0,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,745.494,1.48278,2.37787,1.31647,1.69983,0,0.73055,0.53668,0.62088,0.34156,0.73449,0.50855,0.59783,0.3127,1.62621,2.65566,1.637,1.96349,0,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,819.921,1.44495,2.3114,1.25516,1.66634,0,0.76195,0.55204,0.63634,0.34006,0.74941,0.53064,0.60389,0.29922,1.68106,2.72811,1.60056,2.01198,0,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,894.045,1.42448,2.24099,1.20314,1.64564,0,0.68556,0.41606,0.4759,0.26995,0.68652,0.40562,0.46342,0.25325,1.76401,2.90059,2.15134,2.08217,0,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,968.335,1.37807,2.18965,1.16158,1.61266,0,0.71603,0.48617,0.56199,0.28268,0.71345,0.48246,0.55564,0.26657,1.84553,2.78017,1.8205,2.15788,0,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,1042.02,1.37015,2.1897,1.168,1.5961,0,0.74164,0.49812,0.56917,0.32421,0.73117,0.48159,0.54156,0.29189,1.71303,2.73358,1.7146,2.03377,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,1118.65,1.34496,2.1384,1.13514,1.56365,0,0.75325,0.38852,0.44687,0.26932,0.742,0.38272,0.4325,0.24892,1.95748,2.86325,2.09924,2.30249,0,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,1192.9,1.32855,2.12375,1.0917,1.55793,0,0.75061,0.48188,0.55026,0.2635,0.74576,0.48159,0.54738,0.25025,2.01734,2.89175,1.91254,2.32413,0,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,1268.39,1.30675,2.10114,1.07739,1.53739,0,0.60931,0.4264,0.4563,0.26327,0.60314,0.41345,0.43529,0.24165,1.95301,2.8093,1.96033,2.27012,0,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,1341.58,1.2923,2.08021,1.05602,1.51486,0,0.77985,0.51522,0.60223,0.3063,0.77283,0.51058,0.59106,0.28635,1.89378,2.7734,1.79574,2.19126,0,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
18,1415.23,1.28643,2.04264,1.04121,1.51391,0,0.83248,0.60713,0.70961,0.40804,0.82373,0.60075,0.69528,0.39264,1.58061,2.49614,1.51056,1.9101,0,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
