epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,118.031,1.87637,2.94754,2.08981,1.95148,0,0.79326,0.51319,0.59673,0.35355,0.77608,0.49945,0.57421,0.31733,1.55811,2.61462,1.56214,1.56557,0,0.000664352,0.000664352,0.000664352
2,234.493,1.2845,2.02957,1.04699,1.37906,0,0.80132,0.59119,0.67855,0.40157,0.79272,0.57031,0.64892,0.35583,1.57632,2.56453,1.45855,1.53464,0,0.00130466,0.00130466,0.00130466
3,359.211,1.15757,1.81342,0.86965,1.28155,0,0.83528,0.61641,0.70399,0.43481,0.81598,0.60365,0.6834,0.39405,1.45375,2.53461,1.3987,1.47214,0,0.00191858,0.00191858,0.00191858
4,488.907,1.08437,1.70359,0.79298,1.24001,0,0.83844,0.61699,0.70323,0.41939,0.81956,0.60182,0.67866,0.38312,1.54028,2.44534,1.40213,1.49492,0,0.0018812,0.0018812,0.0018812
5,616.626,1.04368,1.62814,0.74105,1.19657,0,0.85191,0.61712,0.71374,0.43898,0.82829,0.60001,0.6793,0.39375,1.48316,2.44294,1.4151,1.48862,0,0.0018416,0.0018416,0.0018416
6,740.947,1.05357,1.60123,0.7231,1.20535,0,0.84696,0.62772,0.72439,0.45647,0.82475,0.60993,0.70109,0.40606,1.47296,2.50607,1.43167,1.46105,0,0.001802,0.001802,0.001802
7,865.209,0.9991,1.57104,0.688,1.17099,0,0.83673,0.64424,0.74138,0.47117,0.82752,0.63062,0.72357,0.42791,1.38746,2.32054,1.31582,1.43543,0,0.0017624,0.0017624,0.0017624
8,989.124,0.9695,1.51937,0.66361,1.15541,0,0.84693,0.6512,0.75379,0.46884,0.83291,0.63294,0.73055,0.42811,1.49342,2.54995,1.31485,1.4598,0,0.0017228,0.0017228,0.0017228
9,1113.51,0.97058,1.52423,0.65028,1.14849,0,0.80815,0.62279,0.7057,0.44313,0.79408,0.60858,0.6854,0.40687,1.47947,2.49988,1.45905,1.49198,0,0.0016832,0.0016832,0.0016832
10,1236.02,0.93197,1.4439,0.62065,1.12691,0,0.85986,0.65647,0.74546,0.45679,0.83317,0.63642,0.71294,0.40389,1.55491,2.5649,1.25259,1.50779,0,0.0016436,0.0016436,0.0016436
11,1358.87,0.93697,1.46681,0.62269,1.12641,0,0.84459,0.6454,0.74725,0.47647,0.83447,0.63291,0.72864,0.44039,1.44131,2.49043,1.39086,1.44931,0,0.001604,0.001604,0.001604
12,1482.18,0.92267,1.42642,0.61099,1.12284,0,0.82926,0.65198,0.74689,0.45696,0.81486,0.64193,0.72859,0.41943,1.4982,2.49679,1.27209,1.49627,0,0.0015644,0.0015644,0.0015644
13,1604.9,0.9166,1.41087,0.60026,1.11247,0,0.84358,0.64685,0.74649,0.47438,0.82598,0.63265,0.72109,0.42897,1.4803,2.56246,1.299,1.44165,0,0.0015248,0.0015248,0.0015248
14,1728.34,0.90446,1.39489,0.58845,1.10573,0,0.8382,0.69556,0.76912,0.4769,0.83534,0.66657,0.74268,0.43324,1.50604,2.44769,1.12665,1.47448,0,0.0014852,0.0014852,0.0014852
