epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,115.134,3.36864,5.63486,4.06854,4.15609,0,0.10321,0.02059,0.01386,0.00424,0.0814,0.01624,0.00985,0.00243,3.16837,6.41502,3.63798,4.52157,0,0.00996528,0.00332176,0.00996528,0.00332176,0.00996528,0.00332176,0.00996528,0.00332176
2,210.693,2.42774,3.34791,2.71068,2.98436,0,0.35764,0.31719,0.27257,0.12557,0.35791,0.30038,0.25393,0.10994,2.30264,3.25565,2.34227,2.61338,0,0.0198994,0.00663313,0.0198994,0.00663313,0.0198994,0.00663313,0.0198994,0.00663313
3,299.477,1.90623,2.8991,1.94729,2.34842,0,0.03429,0.12815,0.03691,0.01718,0.07964,0.07596,0.0351,0.01373,4.0347,17.0278,4.99641,4.79058,0,0.0297675,0.0099225,0.0297675,0.0099225,0.0297675,0.0099225,0.0297675,0.0099225
4,388.986,1.62029,2.57477,1.60265,2.05096,0,0.17752,0.14526,0.08211,0.02834,0.16322,0.13308,0.07016,0.02351,3.02391,3.39445,3.22251,3.34106,0,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,470.461,1.44186,2.30815,1.3091,1.84156,0,0.78674,0.56741,0.66859,0.41114,0.76855,0.55359,0.64547,0.37095,1.49571,2.5582,1.43072,1.87269,0,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,552.343,1.33675,2.19607,1.17351,1.74338,0,0.78813,0.5522,0.6432,0.41847,0.77738,0.54306,0.62782,0.38006,1.41349,2.57732,1.53673,1.78921,0,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,633.93,1.239,2.0695,1.05791,1.66281,0,0.827,0.65149,0.75563,0.46143,0.81324,0.63468,0.72791,0.41354,1.42583,2.36988,1.23257,1.78158,0,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,724.515,1.18655,1.97592,0.97557,1.62652,0,0.76211,0.57437,0.66393,0.38664,0.73866,0.54914,0.62334,0.33818,1.58504,2.57904,1.47299,1.93229,0,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,813.902,1.14715,1.93017,0.93423,1.56119,0,0.80999,0.61438,0.71163,0.42744,0.79465,0.60568,0.69437,0.38144,1.52834,2.53065,1.42085,1.90039,0,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,898.443,1.11227,1.86748,0.87827,1.54283,0,0.82541,0.68252,0.77083,0.50878,0.81581,0.67292,0.75182,0.45221,1.27738,2.33371,1.17603,1.65225,0,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,980.522,1.09629,1.83905,0.84952,1.52712,0,0.83157,0.65613,0.75319,0.5062,0.82131,0.64337,0.73549,0.45438,1.29074,2.30015,1.23546,1.66715,0,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,1063.19,1.07745,1.78788,0.82392,1.50535,0,0.85623,0.73905,0.82812,0.55215,0.84074,0.735,0.80705,0.50267,1.23152,2.08917,0.98478,1.60205,0,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,1144.58,1.06229,1.77154,0.7986,1.48406,0,0.86242,0.70397,0.81518,0.50531,0.85046,0.68803,0.79192,0.45927,1.37447,2.20352,1.14621,1.75621,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,1226.04,1.04513,1.73729,0.7769,1.47322,0,0.88383,0.74557,0.85414,0.5827,0.87611,0.72171,0.82821,0.52747,1.17595,2.05651,0.91143,1.55163,0,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,1307.27,1.02925,1.71508,0.75769,1.44827,0,0.88912,0.74543,0.84731,0.57688,0.87747,0.72717,0.82404,0.52351,1.20489,2.13751,0.95697,1.57442,0,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,1388.04,1.0242,1.69471,0.74305,1.44032,0,0.87467,0.68393,0.78696,0.51059,0.85609,0.66922,0.76462,0.45676,1.32252,2.26708,1.197,1.69156,0,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
