epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,86.8493,1.455,2.43326,1.34638,1.50696,0,0.7954,0.59738,0.68727,0.38772,0.7837,0.57176,0.65476,0.34147,1.50086,2.63557,1.58552,1.60628,0,3.32176e-05,3.32176e-05,0.0668156
2,169.878,1.42268,2.3795,1.30244,1.48461,0,0.79793,0.62163,0.72597,0.41552,0.78535,0.59032,0.69153,0.37275,1.45847,2.56237,1.52701,1.57799,0,6.62874e-05,6.62874e-05,0.0335154
3,251.578,1.39485,2.33086,1.27099,1.46974,0,0.84071,0.66718,0.76957,0.43462,0.83499,0.63823,0.7411,0.38415,1.52921,2.66355,1.32971,1.62499,0,9.90932e-05,9.90932e-05,0.000214834
4,333.925,1.38462,2.30615,1.25582,1.46272,0,0.83963,0.66106,0.76382,0.43427,0.81099,0.64691,0.73745,0.39105,1.51882,2.5407,1.34351,1.61171,0,9.8812e-05,9.8812e-05,9.8812e-05
5,415.762,1.38666,2.33672,1.25284,1.46432,0,0.82996,0.6483,0.75109,0.42241,0.81049,0.64366,0.73342,0.38439,1.55313,2.59886,1.36156,1.66667,0,9.8416e-05,9.8416e-05,9.8416e-05
6,498.148,1.36442,2.27941,1.22192,1.44165,0,0.84061,0.66541,0.77319,0.45095,0.83363,0.64212,0.74816,0.40638,1.49198,2.58224,1.3177,1.58202,0,9.802e-05,9.802e-05,9.802e-05
7,579.383,1.36782,2.28046,1.21284,1.44518,0,0.83407,0.66022,0.76015,0.42418,0.81971,0.66044,0.74733,0.39994,1.5619,2.54889,1.32908,1.66071,0,9.7624e-05,9.7624e-05,9.7624e-05
8,661.235,1.36157,2.27951,1.2164,1.44222,0,0.8427,0.64771,0.74898,0.41644,0.82811,0.63787,0.73152,0.38231,1.57412,2.62678,1.33248,1.66469,0,9.7228e-05,9.7228e-05,9.7228e-05
9,743.028,1.34477,2.25306,1.19723,1.43348,0,0.83196,0.66751,0.76879,0.44804,0.82202,0.65236,0.74775,0.40898,1.48047,2.51572,1.29623,1.59603,0,9.6832e-05,9.6832e-05,9.6832e-05
10,825.038,1.3393,2.24451,1.20311,1.43001,0,0.83005,0.6514,0.75288,0.40314,0.81638,0.64067,0.7328,0.364,1.59322,2.72088,1.3832,1.70237,0,9.6436e-05,9.6436e-05,9.6436e-05
11,906.891,1.34221,2.24609,1.18396,1.43141,0,0.83029,0.66773,0.7608,0.42367,0.8202,0.65961,0.7414,0.38455,1.5828,2.65257,1.3185,1.67514,0,9.604e-05,9.604e-05,9.604e-05
12,988.623,1.33347,2.22252,1.16975,1.42419,0,0.84213,0.67741,0.78182,0.46185,0.82342,0.65932,0.75642,0.41374,1.47137,2.54996,1.25046,1.57873,0,9.5644e-05,9.5644e-05,9.5644e-05
13,1070.45,1.33847,2.22937,1.16758,1.42301,0,0.81522,0.6626,0.75945,0.42718,0.80903,0.65961,0.74601,0.3948,1.56851,2.54466,1.33669,1.66209,0,9.5248e-05,9.5248e-05,9.5248e-05
14,1152.41,1.33822,2.22672,1.1706,1.42348,0,0.82764,0.68368,0.78097,0.45407,0.81294,0.67208,0.75917,0.41369,1.49071,2.49997,1.26077,1.58527,0,9.4852e-05,9.4852e-05,9.4852e-05
15,1234.32,1.30987,2.18784,1.14643,1.40652,0,0.84156,0.66527,0.77874,0.45265,0.8274,0.65463,0.75436,0.41364,1.47213,2.54567,1.26431,1.59103,0,9.4456e-05,9.4456e-05,9.4456e-05
16,1315.64,1.31111,2.19596,1.13388,1.39965,0,0.83364,0.67121,0.77407,0.44292,0.8276,0.66253,0.75557,0.40438,1.51944,2.58234,1.25986,1.63192,0,9.406e-05,9.406e-05,9.406e-05
17,1397.09,1.30912,2.18569,1.13333,1.40471,0,0.83805,0.68397,0.78311,0.46696,0.81966,0.67266,0.7597,0.42145,1.45986,2.51717,1.22239,1.57106,0,9.3664e-05,9.3664e-05,9.3664e-05
18,1479.25,1.31577,2.19224,1.13893,1.40948,0,0.81428,0.66338,0.76073,0.42708,0.81462,0.65671,0.74733,0.39469,1.5495,2.589,1.28913,1.65993,0,9.3268e-05,9.3268e-05,9.3268e-05
19,1560.93,1.31255,2.17738,1.13052,1.40025,0,0.84063,0.66068,0.76418,0.42073,0.8172,0.65976,0.74945,0.38857,1.6001,2.62172,1.26697,1.71162,0,9.2872e-05,9.2872e-05,9.2872e-05
20,1642.96,1.30417,2.16557,1.11408,1.39594,0,0.82665,0.67005,0.77298,0.42906,0.81815,0.66919,0.75905,0.39613,1.59222,2.57144,1.24925,1.69791,0,9.2476e-05,9.2476e-05,9.2476e-05
21,1725.02,1.30117,2.1738,1.11774,1.39658,0,0.83096,0.70252,0.79421,0.46518,0.81509,0.69353,0.7745,0.42412,1.49098,2.5167,1.19715,1.60645,0,9.208e-05,9.208e-05,9.208e-05
22,1806.47,1.3053,2.18212,1.11853,1.40091,0,0.83209,0.67904,0.77952,0.42612,0.81881,0.6773,0.76768,0.3954,1.59112,2.55792,1.24525,1.69114,0,9.1684e-05,9.1684e-05,9.1684e-05
23,1888.03,1.29302,2.15851,1.09793,1.3899,0,0.8479,0.68803,0.79217,0.47367,0.83205,0.6773,0.77197,0.4299,1.46011,2.47563,1.18839,1.55529,0,9.1288e-05,9.1288e-05,9.1288e-05
24,1970.41,1.2904,2.12545,1.10429,1.39199,0,0.82988,0.67044,0.76858,0.4444,0.82199,0.66406,0.75638,0.41007,1.53004,2.48253,1.2468,1.62651,0,9.0892e-05,9.0892e-05,9.0892e-05
25,2052.44,1.27916,2.15077,1.09505,1.38306,0,0.83125,0.63613,0.74542,0.38633,0.81776,0.64308,0.74025,0.36867,1.72474,2.63946,1.30651,1.84841,0,9.0496e-05,9.0496e-05,9.0496e-05
26,2134.7,1.282,2.12611,1.07796,1.37822,0,0.81932,0.68832,0.77518,0.42817,0.81238,0.67759,0.75926,0.39409,1.57941,2.63704,1.28959,1.70445,0,9.01e-05,9.01e-05,9.01e-05
27,2216.89,1.27817,2.1331,1.06873,1.37595,0,0.8272,0.67585,0.77805,0.43532,0.82243,0.67546,0.7622,0.39542,1.56927,2.6313,1.25234,1.68464,0,8.9704e-05,8.9704e-05,8.9704e-05
28,2298.47,1.26611,2.11923,1.07876,1.36931,0,0.82898,0.68582,0.79056,0.46138,0.81528,0.68339,0.77086,0.41257,1.51742,2.62011,1.18499,1.61656,0,8.9308e-05,8.9308e-05,8.9308e-05
29,2380.16,1.25671,2.10854,1.06342,1.36355,0,0.84303,0.6773,0.78134,0.46199,0.83076,0.66744,0.76353,0.41086,1.47873,2.6026,1.19767,1.58235,0,8.8912e-05,8.8912e-05,8.8912e-05
30,2462.38,1.27366,2.12209,1.07378,1.37219,0,0.83061,0.6739,0.77235,0.426,0.81903,0.67187,0.75853,0.39498,1.59566,2.58506,1.29556,1.72596,0,8.8516e-05,8.8516e-05,8.8516e-05
31,2544.31,1.24936,2.09014,1.04437,1.35561,0,0.84075,0.67655,0.78441,0.45564,0.82889,0.67237,0.77008,0.41956,1.49958,2.45724,1.20545,1.61654,0,8.812e-05,8.812e-05,8.812e-05
