Epoch,Train Loss,Train Acc (%),Test Loss,Test Acc (%),,,Epoch,Train Loss,Test Loss,,,,Epoch,Train Acc (%),Test Acc (%)
1,3.4395,6.42,3.2018,10.54,,,1,3.4395,3.2018,,,,1,6.42,10.54
2,3.0406,10.37,2.593,18.52,,,2,3.0406,2.593,,,,2,10.37,18.52
3,2.7173,16.69,2.3114,25.93,,,3,2.7173,2.3114,,,,3,16.69,25.93
4,2.4226,24.01,2.1508,28.49,,,4,2.4226,2.1508,,,,4,24.01,28.49
5,2.2071,31.36,2.0467,35.61,,,5,2.2071,2.0467,,,,5,31.36,35.61
6,2.0334,37.34,1.7789,47.86,,,6,2.0334,1.7789,,,,6,37.34,47.86
7,1.8906,42.38,1.3631,53.85,,,7,1.8906,1.3631,,,,7,42.38,53.85
8,1.756,44.62,1.5668,52.71,,,8,1.756,1.5668,,,,8,44.62,52.71
9,1.6776,45.17,1.089,66.38,,,9,1.6776,1.089,,,,9,45.17,66.38
10,1.5047,52.01,1.1775,61.25,,,10,1.5047,1.1775,,,,10,52.01,61.25
11,1.3956,55.47,1.1085,66.38,,,11,1.3956,1.1085,,,,11,55.47,66.38
12,1.3209,56.57,0.9255,67.81,,,12,1.3209,0.9255,,,,12,56.57,67.81
13,1.1994,62.02,0.8995,66.1,,,13,1.1994,0.8995,,,,13,62.02,66.1
14,1.034,66.48,0.9486,71.79,,,14,1.034,0.9486,,,,14,66.48,71.79
15,1.0034,67.45,0.6708,77.49,,,15,1.0034,0.6708,,,,15,67.45,77.49
16,0.8548,71.94,0.6125,80.34,,,16,0.8548,0.6125,,,,16,71.94,80.34
17,0.7966,73.58,0.456,86.04,,,17,0.7966,0.456,,,,17,73.58,86.04
18,0.7153,77.17,0.4686,86.61,,,18,0.7153,0.4686,,,,18,77.17,86.61
19,0.6379,78.97,0.4603,87.75,,,19,0.6379,0.4603,,,,19,78.97,87.75
20,0.6706,77.95,0.4795,86.04,,,20,0.6706,0.4795,,,,20,77.95,86.04
21,0.5289,82.89,0.2586,93.16,,,21,0.5289,0.2586,,,,21,82.89,93.16
22,0.3692,88.09,0.2604,94.02,,,22,0.3692,0.2604,,,,22,88.09,94.02
