epoch,train_loss_all,train_acc_all,val_loss_all,val_acc_all
1,2.244098998451233,0.1297,1.987047161579132,0.26
2,1.4770915386199952,0.4431,1.2716487288475036,0.589
3,1.0602710411071776,0.6208,0.855668963432312,0.705
4,0.7199954947471618,0.7415,0.722396505177021,0.747
5,0.5056940643787384,0.8241,0.4836524184299633,0.847
6,0.4103407126426697,0.8587,0.421902559787035,0.861
7,0.33014713393449785,0.8863000000000001,0.7230503640174866,0.771
8,0.28028849866390226,0.9021,0.34499503966560585,0.894
9,0.2450652668595314,0.9153,0.2906095467582345,0.894
10,0.20918518499732017,0.926,0.33165243512392045,0.901
11,0.21140075058937072,0.9269000000000001,0.26774403822422027,0.904
12,0.1934767857760191,0.9335,0.6022424886673688,0.802
13,0.16365884627699853,0.9402,0.21983493238314986,0.926
14,0.15216571419239044,0.9475,0.190527449503541,0.9400000000000001
15,0.11559495952129364,0.9602,0.19665088722109794,0.935
16,0.1360736790165305,0.9523,0.2390925044491887,0.924
17,0.10288126134201885,0.9650000000000001,0.18904754094034434,0.9440000000000001
18,0.1333803671233356,0.9540000000000001,0.20324776639789344,0.936
19,0.10686492885053157,0.9657,0.2015023367702961,0.936
20,0.11583746243417263,0.9603,0.20361705015599726,0.934
21,0.09397396183758974,0.9677,0.3373605782263912,0.91
22,0.07428495489768684,0.9756,0.2418643563464284,0.936
23,0.11104545239116996,0.9610000000000001,0.22715035312622786,0.934
24,0.09739935640282929,0.9682000000000001,0.3214005204439163,0.91
25,0.07073575575053692,0.9758,0.26631473389267923,0.914
26,0.08292318572122603,0.9724,0.2069416234344244,0.932
27,0.06572422312535346,0.9776,0.23722852611541748,0.922
28,0.08466797642335296,0.9718,0.24602916179597378,0.926
29,0.07257082871254533,0.9770000000000001,0.1753718764875084,0.9420000000000001
30,0.06615465651722625,0.9768,0.2379521446437575,0.933
