epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,47.4925,3.68408,5.6419,3.75428,3.89349,0,0,0.00029,0,0,0,0.00029,0,0,2.33728,3.99513,3.58052,3.15019,0,3.28704e-05,3.28704e-05,0.0671625
2,79.3124,3.45069,4.0354,3.49644,3.1409,0,0.00295,0.20905,0.00066,0.00014,0.00302,0.21398,0.00072,0.00016,2.78426,4.0188,3.53462,2.6908,0,6.60726e-05,6.60726e-05,0.0338624
3,109.453,3.44446,3.87989,3.44706,3.08457,0,0.00661,0.46796,0.00377,0.00075,0.00689,0.48797,0.0042,0.00094,2.79165,4.01837,3.43562,2.70839,0,9.91429e-05,9.91429e-05,0.000562106
4,140.703,3.38957,3.84017,3.35051,3.04245,0,0.00909,0.32763,0.00718,0.00127,0.01569,0.38678,0.01734,0.00353,3.25113,3.95612,4.45092,3.04475,0,9.9406e-05,9.9406e-05,9.9406e-05
5,171.968,3.21009,3.74271,3.26297,2.97181,0,0.00525,0.37199,0.01007,0.00235,0.00787,0.55697,0.01857,0.00435,3.73753,3.84404,3.54288,3.47362,0,9.9208e-05,9.9208e-05,9.9208e-05
6,203.983,3.04454,3.68202,3.20009,2.98454,0,0.00968,0.68542,0.04609,0.01203,0.01048,0.74166,0.05762,0.01489,3.04681,3.79784,3.37529,2.90745,0,9.901e-05,9.901e-05,9.901e-05
7,233.264,2.93177,3.61627,3.02119,2.99806,0,0.0871,0.03972,0.01148,0.00287,0.10105,0.04407,0.01686,0.00433,3.26713,4.47915,4.06277,3.00132,0,9.8812e-05,9.8812e-05,9.8812e-05
8,262.816,2.85577,3.5203,2.83838,2.85691,0,0.03533,0.02233,0.00669,0.00117,0.05585,0.03769,0.00975,0.00161,4.04498,4.30718,4.27089,3.8185,0,9.8614e-05,9.8614e-05,9.8614e-05
9,291.029,2.76218,3.49272,2.76031,2.79731,0,0.00069,0.04726,6e-05,1e-05,0.0032,0.0058,0.00015,3e-05,4.9057,4.46149,3.87499,6.36735,0,9.8416e-05,9.8416e-05,9.8416e-05
10,319.215,2.67236,3.42671,2.66704,2.78481,0,0.02349,0.02175,0.0015,0.00019,0.03624,0.04117,0.00557,0.00081,4.36038,4.00864,3.5113,4.3793,0,9.8218e-05,9.8218e-05,9.8218e-05
