Epoch,Train Loss,Train Acc (%),Test Loss,Test Acc (%)
1,3.4395,6.42,3.2018,10.54
2,3.0406,10.37,2.5930,18.52
3,2.7173,16.69,2.3114,25.93
4,2.4226,24.01,2.1508,28.49
5,2.2071,31.36,2.0467,35.61
6,2.0334,37.34,1.7789,47.86
7,1.8906,42.38,1.3631,53.85
8,1.7560,44.62,1.5668,52.71
9,1.6776,45.17,1.0890,66.38
10,1.5047,52.01,1.1775,61.25
11,1.3956,55.47,1.1085,66.38
12,1.3209,56.57,0.9255,67.81
13,1.1994,62.02,0.8995,66.10
14,1.0340,66.48,0.9486,71.79
15,1.0034,67.45,0.6708,77.49
16,0.8548,71.94,0.6125,80.34
17,0.7966,73.58,0.4560,86.04
18,0.7153,77.17,0.4686,86.61
19,0.6379,78.97,0.4603,87.75
20,0.6706,77.95,0.4795,86.04
21,0.5289,82.89,0.2586,93.16
22,0.3692,88.09,0.2604,94.02
23,0.2932,90.95,0.2395,94.59
24,0.2461,92.74,0.2629,94.02
25,0.2592,92.17,0.3125,92.02
26,0.3013,90.34,0.3615,91.17
27,0.3995,87.45,0.3144,93.45
28,0.3609,88.51,0.3215,93.45
29,0.2619,91.40,0.2271,95.16
30,0.2011,94.03,0.2918,93.73
31,0.1835,94.48,0.2580,95.16
32,0.1509,95.89,0.2126,96.01
33,0.1428,95.47,0.2309,95.73
34,0.1294,95.89,0.2033,96.58
35,0.1356,95.86,0.2189,95.73
36,0.1996,93.96,0.3974,90.60
37,0.1823,94.25,0.2838,94.02
38,0.2117,93.68,0.2143,95.16
39,0.2269,93.00,0.3273,90.60
40,0.2014,93.93,0.2153,95.73
41,0.1374,95.70,0.2283,95.44
42,0.1909,93.71,0.3006,93.73
43,0.2103,93.26,0.2358,95.16
44,0.1544,95.18,0.2445,94.59
45,0.1346,95.70,0.2583,95.73
46,0.1162,96.60,0.1667,96.01
47,0.1152,96.31,0.1928,96.30
48,0.0967,96.85,0.2077,96.01
49,0.1308,95.83,0.2186,95.44
50,0.1170,96.28,0.2412,94.87
51,0.1586,94.54,0.2796,94.02
52,0.1902,94.13,0.2690,94.87
53,0.1566,95.12,0.2730,94.87
54,0.1686,94.90,0.2769,95.16
55,0.1364,95.96,0.2037,95.73
56,0.1167,96.53,0.2387,94.87
57,0.1140,96.57,0.2987,93.45
58,0.1138,96.18,0.1877,96.30
59,0.0954,96.76,0.1713,95.73
60,0.0814,97.08,0.2506,94.87
61,0.0830,97.05,0.1560,96.01
62,0.0708,97.24,0.2012,96.30
63,0.0776,97.17,0.2336,96.58
64,0.0840,97.30,0.2004,96.30
65,0.1103,96.28,0.2172,95.16
66,0.1028,96.24,0.2452,94.30
67,0.1325,95.63,0.3339,93.73
68,0.1399,95.15,0.2599,94.02
69,0.1113,96.15,0.2031,95.44
70,0.0826,97.08,0.2000,96.58
71,0.1099,96.50,0.2324,95.44
72,0.0856,96.85,0.1768,96.30
73,0.0797,97.59,0.2174,95.73
74,0.0668,97.43,0.2985,96.58
75,0.0942,96.69,0.2354,96.58
76,0.1190,96.08,0.2106,95.44
77,0.1026,96.44,0.2321,94.59
78,0.1720,94.57,0.2636,94.87
79,0.1590,94.96,0.2490,95.44
80,0.0942,96.92,0.2646,95.73
81,0.0713,97.46,0.2306,96.58
82,0.0691,97.62,0.1859,96.87
83,0.0627,97.85,0.2850,95.44
84,0.0444,98.27,0.2024,96.01
85,0.0401,98.36,0.2181,95.73
86,0.0681,97.69,0.2428,95.73
87,0.0636,97.75,0.2517,95.44
88,0.1037,96.44,0.4195,94.30
89,0.0923,97.11,0.2809,95.44
90,0.0932,96.85,0.2813,96.30
91,0.1264,95.70,0.3087,95.44
92,0.1211,95.63,0.2434,96.01
93,0.0816,97.30,0.1856,95.44
94,0.0863,96.92,0.2590,96.01
95,0.0939,96.82,0.2317,95.16
96,0.0592,97.78,0.2406,96.01
97,0.0452,98.56,0.2461,95.73
98,0.0525,98.01,0.2862,95.44
99,0.0577,97.91,0.2645,96.01
100,0.0479,98.07,0.3059,95.44
