split,order,image,output,gt_count,pred_count,extra_predictions,missing_predictions,abs_count_diff,max_conf,mean_conf
train,58,E:\mastercode\data\test\images\train\IMG20231120161340_BURST000_COVER.jpg,E:\mastercode\9_archive\low_confidence\train\000058_extra+169_gt36_pred205_IMG20231120161340_BURST000_COVER.jpg,36,205,169,0,169,0.9490941762924194,0.17956704187956524
train,125,E:\mastercode\data\test\images\train\IMG_20260706_100454.jpg,E:\mastercode\9_archive\low_confidence\train\000125_extra+157_gt22_pred179_IMG_20260706_100454.jpg,22,179,157,0,157,0.9442914128303528,0.07587003641288374
train,59,E:\mastercode\data\test\images\train\IMG20231120161340_BURST001.jpg,E:\mastercode\9_archive\low_confidence\train\000059_extra+141_gt27_pred168_IMG20231120161340_BURST001.jpg,27,168,141,0,141,0.9390600919723511,0.19652022874825412
train,81,E:\mastercode\data\test\images\train\IMG20231120172606.jpg,E:\mastercode\9_archive\low_confidence\train\000081_extra+125_gt17_pred142_IMG20231120172606.jpg,17,142,125,0,125,0.9524447917938232,0.126638628916264
train,82,E:\mastercode\data\test\images\train\IMG20231120172611.jpg,E:\mastercode\9_archive\low_confidence\train\000082_extra+99_gt21_pred120_IMG20231120172611.jpg,21,120,99,0,99,0.9436631798744202,0.14542602833826096
train,430,E:\mastercode\data\test\images\train\IMG_20260706_105149.jpg,E:\mastercode\9_archive\low_confidence\train\000430_extra+91_gt23_pred114_IMG_20260706_105149.jpg,23,114,91,0,91,0.8667734861373901,0.10218884262436054
train,476,E:\mastercode\data\test\images\train\IMG_20260706_105623.jpg,E:\mastercode\9_archive\low_confidence\train\000476_extra+88_gt22_pred110_IMG_20260706_105623.jpg,22,110,88,0,88,0.8567193746566772,0.06957750795409083
val,108,E:\mastercode\data\test\images\val\IMG_20260706_105018.jpg,E:\mastercode\9_archive\low_confidence\val\000108_extra+83_gt07_pred90_IMG_20260706_105018.jpg,7,90,83,0,83,0.9338712692260742,0.08211941616609693
train,77,E:\mastercode\data\test\images\train\IMG20231120162013.jpg,E:\mastercode\9_archive\low_confidence\train\000077_extra+77_gt32_pred109_IMG20231120162013.jpg,32,109,77,0,77,0.9521679282188416,0.2982442563297142
train,415,E:\mastercode\data\test\images\train\IMG_20260706_105035.jpg,E:\mastercode\9_archive\low_confidence\train\000415_extra+76_gt12_pred88_IMG_20260706_105035.jpg,12,88,76,0,76,0.8368421792984009,0.05309041958852587
train,343,E:\mastercode\data\test\images\train\IMG_20260706_103910.jpg,E:\mastercode\9_archive\low_confidence\train\000343_extra+75_gt19_pred94_IMG_20260706_103910.jpg,19,94,75,0,75,0.9574517011642456,0.18014014637137346
test,70,E:\mastercode\data\test\images\test\IMG_20260706_105705.jpg,E:\mastercode\9_archive\low_confidence\test\000070_extra+75_gt10_pred85_IMG_20260706_105705.jpg,10,85,75,0,75,0.9420346021652222,0.11750275850953425
train,417,E:\mastercode\data\test\images\train\IMG_20260706_105039.jpg,E:\mastercode\9_archive\low_confidence\train\000417_extra+73_gt08_pred81_IMG_20260706_105039.jpg,8,81,73,0,73,0.9439632892608643,0.05842806063132522
train,15,E:\mastercode\data\test\images\train\IMG20231120160352.jpg,E:\mastercode\9_archive\low_confidence\train\000015_extra+70_gt36_pred106_IMG20231120160352.jpg,36,106,70,0,70,0.9471078515052795,0.2994093014331499
train,54,E:\mastercode\data\test\images\train\IMG20231120161328.jpg,E:\mastercode\9_archive\low_confidence\train\000054_extra+66_gt32_pred98_IMG20231120161328.jpg,32,98,66,0,66,0.9439893960952759,0.3162622893970384
train,297,E:\mastercode\data\test\images\train\IMG_20260706_103451.jpg,E:\mastercode\9_archive\low_confidence\train\000297_extra+65_gt15_pred80_IMG_20260706_103451.jpg,15,80,65,0,65,0.9361598491668701,0.18996495275059716
val,78,E:\mastercode\data\test\images\val\IMG_20260706_103017.jpg,E:\mastercode\9_archive\low_confidence\val\000078_extra+64_gt07_pred71_IMG_20260706_103017.jpg,7,71,64,0,64,0.9008579254150391,0.10034410773553479
train,109,E:\mastercode\data\test\images\train\IMG_20260706_100243.jpg,E:\mastercode\9_archive\low_confidence\train\000109_extra+63_gt11_pred74_IMG_20260706_100243.jpg,11,74,63,0,63,0.9034497737884521,0.09097467851195787
train,306,E:\mastercode\data\test\images\train\IMG_20260706_103533.jpg,E:\mastercode\9_archive\low_confidence\train\000306_extra+62_gt16_pred78_IMG_20260706_103533.jpg,16,78,62,0,62,0.907433271408081,0.15909914881325302
train,439,E:\mastercode\data\test\images\train\IMG_20260706_105254.jpg,E:\mastercode\9_archive\low_confidence\train\000439_extra+62_gt06_pred68_IMG_20260706_105254.jpg,6,68,62,0,62,0.661304771900177,0.04768777318189249
train,161,E:\mastercode\data\test\images\train\IMG_20260706_101012.jpg,E:\mastercode\9_archive\low_confidence\train\000161_extra+60_gt16_pred76_IMG_20260706_101012.jpg,16,76,60,0,60,0.9633311033248901,0.18349829004881413
train,590,E:\mastercode\data\test\images\train\IMG_20260706_111422.jpg,E:\mastercode\9_archive\low_confidence\train\000590_extra+59_gt01_pred60_IMG_20260706_111422.jpg,1,60,59,0,59,0.3043355941772461,0.034681423598279554
train,466,E:\mastercode\data\test\images\train\IMG_20260706_105506.jpg,E:\mastercode\9_archive\low_confidence\train\000466_extra+58_gt14_pred72_IMG_20260706_105506.jpg,14,72,58,0,58,0.9539769887924194,0.17353875752693662
val,126,E:\mastercode\data\test\images\val\IMG_20260706_105408.jpg,E:\mastercode\9_archive\low_confidence\val\000126_extra+57_gt05_pred62_IMG_20260706_105408.jpg,5,62,57,0,57,0.9531100988388062,0.09245550474752823
train,344,E:\mastercode\data\test\images\train\IMG_20260706_103912.jpg,E:\mastercode\9_archive\low_confidence\train\000344_extra+56_gt13_pred69_IMG_20260706_103912.jpg,13,69,56,0,56,0.9439911246299744,0.2087248074349718
val,173,E:\mastercode\data\test\images\val\IMG_20260706_111425.jpg,E:\mastercode\9_archive\low_confidence\val\000173_extra+56_gt14_pred70_IMG_20260706_111425.jpg,14,70,56,0,56,0.2665175795555115,0.03619053844096405
val,59,E:\mastercode\data\test\images\val\IMG_20260706_102114.jpg,E:\mastercode\9_archive\low_confidence\val\000059_extra+55_gt01_pred56_IMG_20260706_102114.jpg,1,56,55,0,55,0.9250224828720093,0.04064812145328948
train,407,E:\mastercode\data\test\images\train\IMG_20260706_104500.jpg,E:\mastercode\9_archive\low_confidence\train\000407_extra+54_gt12_pred66_IMG_20260706_104500.jpg,12,66,54,0,54,0.9137211441993713,0.13977352693451173
val,88,E:\mastercode\data\test\images\val\IMG_20260706_103621.jpg,E:\mastercode\9_archive\low_confidence\val\000088_extra+54_gt09_pred63_IMG_20260706_103621.jpg,9,63,54,0,54,0.8757961988449097,0.08146927869390874
train,575,E:\mastercode\data\test\images\train\IMG_20260706_111212.jpg,E:\mastercode\9_archive\low_confidence\train\000575_extra+54_gt10_pred64_IMG_20260706_111212.jpg,10,64,54,0,54,0.8458392024040222,0.14680931459588464
train,57,E:\mastercode\data\test\images\train\IMG20231120161338.jpg,E:\mastercode\9_archive\low_confidence\train\000057_extra+53_gt22_pred75_IMG20231120161338.jpg,22,75,53,0,53,0.9732032418251038,0.25248315326869486
train,307,E:\mastercode\data\test\images\train\IMG_20260706_103534.jpg,E:\mastercode\9_archive\low_confidence\train\000307_extra+53_gt14_pred67_IMG_20260706_103534.jpg,14,67,53,0,53,0.8918713927268982,0.15414861165709906
train,317,E:\mastercode\data\test\images\train\IMG_20260706_103616.jpg,E:\mastercode\9_archive\low_confidence\train\000317_extra+53_gt03_pred56_IMG_20260706_103616.jpg,3,56,53,0,53,0.7417815923690796,0.04563755924547357
train,16,E:\mastercode\data\test\images\train\IMG20231120160410.jpg,E:\mastercode\9_archive\low_confidence\train\000016_extra+52_gt27_pred79_IMG20231120160410.jpg,27,79,52,0,52,0.958331286907196,0.32246367058044745
train,451,E:\mastercode\data\test\images\train\IMG_20260706_105352.jpg,E:\mastercode\9_archive\low_confidence\train\000451_extra+50_gt10_pred60_IMG_20260706_105352.jpg,10,60,50,0,50,0.9270572066307068,0.09252078134256105
val,172,E:\mastercode\data\test\images\val\IMG_20260706_111407.jpg,E:\mastercode\9_archive\low_confidence\val\000172_extra+50_gt24_pred74_IMG_20260706_111407.jpg,24,74,50,0,50,0.8559356927871704,0.17468329532877416
test,89,E:\mastercode\data\test\images\test\IMG_20260706_111423.jpg,E:\mastercode\9_archive\low_confidence\test\000089_extra+50_gt01_pred51_IMG_20260706_111423.jpg,1,51,50,0,50,0.09086877852678299,0.02338559949295778
train,27,E:\mastercode\data\test\images\train\IMG20231120160730.jpg,E:\mastercode\9_archive\low_confidence\train\000027_extra+49_gt26_pred75_IMG20231120160730.jpg,26,75,49,0,49,0.9472655057907104,0.34611186316857734
train,568,E:\mastercode\data\test\images\train\IMG_20260706_111047.jpg,E:\mastercode\9_archive\low_confidence\train\000568_extra+49_gt01_pred50_IMG_20260706_111047.jpg,1,50,49,0,49,0.9349368810653687,0.044798056781291964
train,259,E:\mastercode\data\test\images\train\IMG_20260706_102941.jpg,E:\mastercode\9_archive\low_confidence\train\000259_extra+49_gt02_pred51_IMG_20260706_102941.jpg,2,51,49,0,49,0.8540682792663574,0.06361517671714811
train,487,E:\mastercode\data\test\images\train\IMG_20260706_105733.jpg,E:\mastercode\9_archive\low_confidence\train\000487_extra+48_gt10_pred58_IMG_20260706_105733.jpg,10,58,48,0,48,0.9067604541778564,0.13067008087668439
train,414,E:\mastercode\data\test\images\train\IMG_20260706_105034.jpg,E:\mastercode\9_archive\low_confidence\train\000414_extra+48_gt05_pred53_IMG_20260706_105034.jpg,5,53,48,0,48,0.8939788937568665,0.06152688205804465
train,460,E:\mastercode\data\test\images\train\IMG_20260706_105433.jpg,E:\mastercode\9_archive\low_confidence\train\000460_extra+47_gt04_pred51_IMG_20260706_105433.jpg,4,51,47,0,47,0.9714474678039551,0.10472003394263048
train,482,E:\mastercode\data\test\images\train\IMG_20260706_105703.jpg,E:\mastercode\9_archive\low_confidence\train\000482_extra+46_gt06_pred52_IMG_20260706_105703.jpg,6,52,46,0,46,0.9411299824714661,0.10602027690038085
train,270,E:\mastercode\data\test\images\train\IMG_20260706_103042.jpg,E:\mastercode\9_archive\low_confidence\train\000270_extra+45_gt06_pred51_IMG_20260706_103042.jpg,6,51,45,0,45,0.9182059168815613,0.15188619428697755
train,6,E:\mastercode\data\test\images\train\IMG20231120154841.jpg,E:\mastercode\9_archive\low_confidence\train\000006_extra+44_gt10_pred54_IMG20231120154841.jpg,10,54,44,0,44,0.9467058181762695,0.20139526391263912
train,323,E:\mastercode\data\test\images\train\IMG_20260706_103710.jpg,E:\mastercode\9_archive\low_confidence\train\000323_extra+44_gt10_pred54_IMG_20260706_103710.jpg,10,54,44,0,44,0.8932578563690186,0.13253955296413214
test,34,E:\mastercode\data\test\images\test\IMG_20260706_102950.jpg,E:\mastercode\9_archive\low_confidence\test\000034_extra+44_gt07_pred51_IMG_20260706_102950.jpg,7,51,44,0,44,0.8906112909317017,0.11606965776459843
val,24,E:\mastercode\data\test\images\val\IMG_20260706_095454.jpg,E:\mastercode\9_archive\low_confidence\val\000024_extra+43_gt07_pred50_IMG_20260706_095454.jpg,7,50,43,0,43,0.1324150413274765,0.022642130237072705
val,109,E:\mastercode\data\test\images\val\IMG_20260706_105114.jpg,E:\mastercode\9_archive\low_confidence\val\000109_extra+41_gt01_pred42_IMG_20260706_105114.jpg,1,42,41,0,41,0.9525706768035889,0.0496486416751785
train,21,E:\mastercode\data\test\images\train\IMG20231120160442.jpg,E:\mastercode\9_archive\low_confidence\train\000021_extra+40_gt23_pred63_IMG20231120160442.jpg,23,63,40,0,40,0.9504671096801758,0.38038067642362816
val,20,E:\mastercode\data\test\images\val\IMG20231120161728.jpg,E:\mastercode\9_archive\low_confidence\val\000020_extra+40_gt23_pred63_IMG20231120161728.jpg,23,63,40,0,40,0.9487963318824768,0.32311789896930493
train,266,E:\mastercode\data\test\images\train\IMG_20260706_103032.jpg,E:\mastercode\9_archive\low_confidence\train\000266_extra+40_gt11_pred51_IMG_20260706_103032.jpg,11,51,40,0,40,0.844278872013092,0.0757435205593413
train,318,E:\mastercode\data\test\images\train\IMG_20260706_103618.jpg,E:\mastercode\9_archive\low_confidence\train\000318_extra+40_gt00_pred40_IMG_20260706_103618.jpg,0,40,40,0,40,0.3841138184070587,0.033624790888279674
train,399,E:\mastercode\data\test\images\train\IMG_20260706_104430.jpg,E:\mastercode\9_archive\low_confidence\train\000399_extra+39_gt10_pred49_IMG_20260706_104430.jpg,10,49,39,0,39,0.9486325979232788,0.17041308041281847
test,71,E:\mastercode\data\test\images\test\IMG_20260706_105707.jpg,E:\mastercode\9_archive\low_confidence\test\000071_extra+38_gt12_pred50_IMG_20260706_105707.jpg,12,50,38,0,38,0.9625109434127808,0.21727186562493445
train,236,E:\mastercode\data\test\images\train\IMG_20260706_102655.jpg,E:\mastercode\9_archive\low_confidence\train\000236_extra+38_gt12_pred50_IMG_20260706_102655.jpg,12,50,38,0,38,0.9415100812911987,0.21534699831157922
train,465,E:\mastercode\data\test\images\train\IMG_20260706_105453.jpg,E:\mastercode\9_archive\low_confidence\train\000465_extra+38_gt03_pred41_IMG_20260706_105453.jpg,3,41,38,0,38,0.9353262186050415,0.08792456575646633
val,8,E:\mastercode\data\test\images\val\IMG20231120160745.jpg,E:\mastercode\9_archive\low_confidence\val\000008_extra+37_gt13_pred50_IMG20231120160745.jpg,13,50,37,0,37,0.953423798084259,0.24035560375079512
train,646,E:\mastercode\data\test\images\train\IMG_20260706_112000.jpg,E:\mastercode\9_archive\low_confidence\train\000646_extra+36_gt04_pred40_IMG_20260706_112000.jpg,4,40,36,0,36,0.9550864100456238,0.1621117578819394
train,55,E:\mastercode\data\test\images\train\IMG20231120161334.jpg,E:\mastercode\9_archive\low_confidence\train\000055_extra+35_gt23_pred58_IMG20231120161334.jpg,23,58,35,0,35,0.9493775367736816,0.37897595634748193
val,110,E:\mastercode\data\test\images\val\IMG_20260706_105119.jpg,E:\mastercode\9_archive\low_confidence\val\000110_extra+35_gt16_pred51_IMG_20260706_105119.jpg,16,51,35,0,35,0.9202525615692139,0.274338287173533
val,181,E:\mastercode\data\test\images\val\IMG_20260706_111732.jpg,E:\mastercode\9_archive\low_confidence\val\000181_extra+35_gt05_pred40_IMG_20260706_111732.jpg,5,40,35,0,35,0.8452745676040649,0.07769462440628558
train,48,E:\mastercode\data\test\images\train\IMG20231120161128.jpg,E:\mastercode\9_archive\low_confidence\train\000048_extra+34_gt26_pred60_IMG20231120161128.jpg,26,60,34,0,34,0.9541935920715332,0.3993075078508506
val,1,E:\mastercode\data\test\images\val\IMG20231120154847.jpg,E:\mastercode\9_archive\low_confidence\val\000001_extra+33_gt04_pred37_IMG20231120154847.jpg,4,37,33,0,33,0.9597148895263672,0.13853389362024293
train,19,E:\mastercode\data\test\images\train\IMG20231120160427.jpg,E:\mastercode\9_archive\low_confidence\train\000019_extra+33_gt21_pred54_IMG20231120160427.jpg,21,54,33,0,33,0.9594535827636719,0.36860942569802757
test,6,E:\mastercode\data\test\images\test\IMG20231120161709.jpg,E:\mastercode\9_archive\low_confidence\test\000006_extra+33_gt16_pred49_IMG20231120161709.jpg,16,49,33,0,33,0.948553204536438,0.29021185695440793
train,257,E:\mastercode\data\test\images\train\IMG_20260706_102928.jpg,E:\mastercode\9_archive\low_confidence\train\000257_extra+33_gt02_pred35_IMG_20260706_102928.jpg,2,35,33,0,33,0.9282197952270508,0.09766718489783151
train,586,E:\mastercode\data\test\images\train\IMG_20260706_111336.jpg,E:\mastercode\9_archive\low_confidence\train\000586_extra+33_gt11_pred44_IMG_20260706_111336.jpg,11,44,33,0,33,0.9279729127883911,0.21802442870102823
train,503,E:\mastercode\data\test\images\train\IMG_20260706_105854.jpg,E:\mastercode\9_archive\low_confidence\train\000503_extra+33_gt03_pred36_IMG_20260706_105854.jpg,3,36,33,0,33,0.7402855157852173,0.07192231849249867
test,53,E:\mastercode\data\test\images\test\IMG_20260706_104126.jpg,E:\mastercode\9_archive\low_confidence\test\000053_extra+32_gt01_pred33_IMG_20260706_104126.jpg,1,33,32,0,32,0.9254244565963745,0.047304595058614556
val,184,E:\mastercode\data\test\images\val\IMG_20260706_111741.jpg,E:\mastercode\9_archive\low_confidence\val\000184_extra+32_gt06_pred38_IMG_20260706_111741.jpg,6,38,32,0,32,0.9238886833190918,0.14507071963070253
test,64,E:\mastercode\data\test\images\test\IMG_20260706_105328.jpg,E:\mastercode\9_archive\low_confidence\test\000064_extra+32_gt06_pred38_IMG_20260706_105328.jpg,6,38,32,0,32,0.9199101328849792,0.11022640201018045
val,5,E:\mastercode\data\test\images\val\IMG20231120160659.jpg,E:\mastercode\9_archive\low_confidence\val\000005_extra+31_gt23_pred54_IMG20231120160659.jpg,23,54,31,0,31,0.9680135846138,0.40442256365592283
train,201,E:\mastercode\data\test\images\train\IMG_20260706_102209.jpg,E:\mastercode\9_archive\low_confidence\train\000201_extra+31_gt07_pred38_IMG_20260706_102209.jpg,7,38,31,0,31,0.9535694718360901,0.17986124508867138
train,308,E:\mastercode\data\test\images\train\IMG_20260706_103541.jpg,E:\mastercode\9_archive\low_confidence\train\000308_extra+30_gt09_pred39_IMG_20260706_103541.jpg,9,39,30,0,30,0.9523444771766663,0.1908659086538813
train,520,E:\mastercode\data\test\images\train\IMG_20260706_110102.jpg,E:\mastercode\9_archive\low_confidence\train\000520_extra+30_gt05_pred35_IMG_20260706_110102.jpg,5,35,30,0,30,0.9505202174186707,0.151608136509146
train,319,E:\mastercode\data\test\images\train\IMG_20260706_103619.jpg,E:\mastercode\9_archive\low_confidence\train\000319_extra+30_gt03_pred33_IMG_20260706_103619.jpg,3,33,30,0,30,0.9241339564323425,0.12301590022715655
train,310,E:\mastercode\data\test\images\train\IMG_20260706_103546.jpg,E:\mastercode\9_archive\low_confidence\train\000310_extra+30_gt19_pred49_IMG_20260706_103546.jpg,19,49,30,0,30,0.917843759059906,0.37857062901769367
train,389,E:\mastercode\data\test\images\train\IMG_20260706_104246.jpg,E:\mastercode\9_archive\low_confidence\train\000389_extra+30_gt02_pred32_IMG_20260706_104246.jpg,2,32,30,0,30,0.7771466374397278,0.10660425006062724
