epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,53.0086,3.82821,7.41606,3.96311,4.1389,0,0.00068,0.04813,3e-05,0,0.00027,0.01943,0,0,3.40648,4.00044,3.59384,3.84247,0,3.28704e-05,3.28704e-05,0.0671625
2,92.087,3.54132,5.00054,3.60542,3.73721,0,0.00636,0.45057,0.00361,0.0008,0.00501,0.3546,0.00215,0.00036,2.2816,4.17512,3.61759,3.38908,0,6.60398e-05,6.60398e-05,0.0338623
3,128.151,3.42289,4.1885,3.5112,3.48651,0,0.0037,0.26182,0.00098,0.00017,0.00288,0.20412,0.00059,9e-05,2.81865,32.9108,5.39213,6.40869,0,9.90443e-05,9.90443e-05,0.000562007
4,164.344,3.44975,3.93962,3.47434,3.40103,0,0.00488,0.34561,0.0017,0.00036,0.00429,0.30357,0.00132,0.00026,2.36358,4.3243,3.57561,3.49502,0,9.92575e-05,9.92575e-05,9.92575e-05
5,200.595,3.41813,3.85587,3.43567,3.35414,0,0.00446,0.31603,0.00141,0.00028,0.00466,0.33024,0.00157,0.00031,2.77957,4.25659,3.58027,3.82398,0,9.901e-05,9.901e-05,9.901e-05
6,236.747,3.25169,3.81877,3.4496,3.32976,0,0.00244,0.1728,0.00044,7e-05,0.00347,0.24587,0.00086,0.00014,3.84115,3.99432,3.62472,3.97215,0,9.87625e-05,9.87625e-05,9.87625e-05
7,273.455,3.11029,3.78003,3.42883,3.24935,0,0.00111,0.07886,0.0001,2e-05,0.00218,0.15454,0.00037,6e-05,4.25632,3.99289,3.65808,4.05262,0,9.8515e-05,9.8515e-05,9.8515e-05
8,310.053,2.95494,3.68629,3.32281,3.08421,0,0.00781,0.5532,0.01988,0.00449,0.009,0.637,0.02552,0.00625,3.19898,4.00514,3.59209,3.25054,0,9.82675e-05,9.82675e-05,9.82675e-05
9,346.596,2.77568,3.59267,3.08694,2.92239,0,0.21695,0.24732,0.14254,0.04645,0.19406,0.21513,0.11344,0.02892,2.44359,3.85767,13.7893,2.76763,0,9.802e-05,9.802e-05,9.802e-05
10,383.165,2.69797,3.5022,2.92225,2.83007,0,0.19676,0.24297,0.13505,0.04126,0.20969,0.2334,0.13594,0.04058,2.42496,4.0495,5.63004,2.7188,0,9.77725e-05,9.77725e-05,9.77725e-05
11,419.12,2.57763,3.43165,2.74147,2.71462,0,0.17562,0.17918,0.08756,0.02581,0.21258,0.18643,0.10553,0.0329,3.02816,3.71403,3.63156,3.17406,0,9.7525e-05,9.7525e-05,9.7525e-05
12,453.89,2.49603,3.35727,2.62877,2.63497,0,0.18222,0.2047,0.10207,0.02904,0.20146,0.19629,0.10777,0.028,3.0358,3.86214,3.29221,3.11802,0,9.72775e-05,9.72775e-05,9.72775e-05
13,489.185,2.43393,3.29331,2.50558,2.54062,0,0.2415,0.27254,0.17423,0.06629,0.26143,0.245,0.17136,0.06042,2.42619,3.64227,4.0977,2.58632,0,9.703e-05,9.703e-05,9.703e-05
14,524.762,2.40692,3.24586,2.41256,2.50532,0,0.24049,0.24848,0.17102,0.06077,0.25837,0.23833,0.17528,0.0609,2.45646,3.66738,3.43092,2.61729,0,9.67825e-05,9.67825e-05,9.67825e-05
15,559.556,2.37048,3.23268,2.34602,2.48189,0,0.29109,0.29313,0.21009,0.07848,0.28242,0.29052,0.20512,0.07499,2.27035,3.58361,3.04942,2.48612,0,9.6535e-05,9.6535e-05,9.6535e-05
16,594.694,2.30924,3.19626,2.22058,2.44207,0,0.28392,0.25254,0.18629,0.07608,0.27479,0.24442,0.17558,0.06789,2.29489,3.53609,3.08635,2.53417,0,9.62875e-05,9.62875e-05,9.62875e-05
17,629.615,2.26555,3.13415,2.12938,2.406,0,0.39552,0.35518,0.30269,0.12142,0.39584,0.3406,0.29464,0.11505,2.14362,3.45411,3.0113,2.39715,0,9.604e-05,9.604e-05,9.604e-05
18,664.661,2.22048,3.0832,2.02689,2.35677,0,0.43261,0.36938,0.33616,0.15672,0.42541,0.36155,0.32271,0.13618,2.03137,3.40549,2.82715,2.30588,0,9.57925e-05,9.57925e-05,9.57925e-05
19,699.64,2.1738,3.05052,1.94666,2.30966,0,0.46746,0.42012,0.40122,0.17575,0.47411,0.40464,0.3912,0.15971,2.03826,3.38745,2.81515,2.27708,0,9.5545e-05,9.5545e-05,9.5545e-05
20,734.914,2.08779,3.00543,1.85319,2.25254,0,0.49816,0.36474,0.37155,0.16814,0.49567,0.35649,0.36194,0.15746,1.94261,3.35579,2.6692,2.2196,0,9.52975e-05,9.52975e-05,9.52975e-05
21,769.807,2.04324,2.97151,1.76933,2.21348,0,0.54751,0.37397,0.40285,0.18599,0.53859,0.36788,0.3913,0.17022,1.97659,3.32728,2.48265,2.25299,0,9.505e-05,9.505e-05,9.505e-05
22,804.34,1.99896,2.93061,1.70863,2.18059,0,0.58054,0.43781,0.4869,0.23191,0.57756,0.42128,0.4586,0.19717,1.9927,3.32232,2.2812,2.27025,0,9.48025e-05,9.48025e-05,9.48025e-05
23,839.348,1.97501,2.88521,1.67279,2.1579,0,0.62965,0.46825,0.52815,0.25422,0.60617,0.46071,0.49807,0.21897,1.9447,3.22586,2.08076,2.2329,0,9.4555e-05,9.4555e-05,9.4555e-05
24,873.813,1.94497,2.86851,1.62575,2.11667,0,0.6364,0.46788,0.5192,0.24394,0.62298,0.45561,0.49448,0.22064,1.93893,3.19977,2.07516,2.2278,0,9.43075e-05,9.43075e-05,9.43075e-05
25,908.149,1.90712,2.82584,1.58223,2.08614,0,0.61658,0.46477,0.50794,0.24711,0.60111,0.44535,0.47027,0.21211,2.02639,3.23335,2.19983,2.3729,0,9.406e-05,9.406e-05,9.406e-05
