epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,39.6675,3.89623,11.0688,3.9717,4.18456,0,0.00116,0.08205,0.0001,1e-05,0,0,0,0,3.4814,6.21324,3.61404,3.86026,0,3.28704e-05,3.28704e-05,0.0671625
2,69.8088,3.52115,5.32055,3.58327,3.69343,0,0.00355,0.25138,0.00091,0.00024,0.00342,0.24239,0.00084,0.00017,2.2532,4.05418,3.6048,3.27515,0,6.60398e-05,6.60398e-05,0.0338623
3,97.6807,3.38273,4.09047,3.47067,3.36286,0,0.00347,0.24587,0.0009,0.00017,0.00287,0.20325,0.00061,0.00011,2.75682,5.48191,3.82368,3.76754,0,9.90443e-05,9.90443e-05,0.000562007
4,125.767,3.35322,3.89553,3.34363,3.25181,0,0.0018,0.12728,0.00027,5e-05,0.00204,0.14468,0.00036,6e-05,3.82427,4.68431,4.10521,4.14808,0,9.92575e-05,9.92575e-05,9.92575e-05
5,154.414,3.16816,3.7875,3.14738,3.14372,0,0.00474,0.00725,0.0003,5e-05,0.02585,0.0116,0.00175,0.00024,4.29016,4.04845,3.96936,4.21945,0,9.901e-05,9.901e-05,9.901e-05
6,183.159,2.9207,3.64992,2.94112,3.02833,0,0.05584,0.06234,0.01296,0.00312,0.06446,0.09307,0.02515,0.00538,3.71313,3.87645,3.32596,3.73979,0,9.87625e-05,9.87625e-05,9.87625e-05
7,213.188,2.76545,3.53284,2.79406,2.91326,0,0.04585,0.07654,0.01406,0.00281,0.08808,0.08669,0.03422,0.00735,3.93739,3.98737,12.362,4.86327,0,9.8515e-05,9.8515e-05,9.8515e-05
8,242.943,2.66906,3.45012,2.68165,2.77632,0,0.10225,0.16034,0.05189,0.01452,0.13427,0.1394,0.06235,0.01762,3.06962,3.82979,4.60755,3.37095,0,9.82675e-05,9.82675e-05,9.82675e-05
9,271.602,2.57873,3.40699,2.59616,2.69462,0,0.1933,0.23021,0.12459,0.04512,0.18929,0.22847,0.1185,0.04237,2.70115,3.66307,2.84533,3.01582,0,9.802e-05,9.802e-05,9.802e-05
10,300.223,2.52705,3.32803,2.50106,2.64685,0,0.15341,0.14443,0.07325,0.02759,0.15643,0.14555,0.07332,0.02587,2.61639,3.70991,3.15907,2.90071,0,9.77725e-05,9.77725e-05,9.77725e-05
11,328.383,2.44347,3.28725,2.42092,2.56355,0,0.137,0.13395,0.05525,0.01959,0.13604,0.12844,0.04973,0.01786,3.17747,3.62187,3.1069,3.44216,0,9.7525e-05,9.7525e-05,9.7525e-05
12,356.545,2.38067,3.24992,2.30791,2.49643,0,0.21984,0.17947,0.11396,0.04141,0.24135,0.17106,0.11355,0.04327,3.15431,3.56028,3.76039,3.44457,0,9.72775e-05,9.72775e-05,9.72775e-05
13,384.542,2.3154,3.20412,2.18422,2.41576,0,0.13863,0.15164,0.05772,0.01436,0.12549,0.1383,0.04699,0.01228,3.54215,3.63849,3.88065,4.12081,0,9.703e-05,9.703e-05,9.703e-05
14,412.371,2.27536,3.15607,2.0922,2.37627,0,0.31466,0.28075,0.22937,0.09546,0.30409,0.27312,0.21352,0.08112,2.39577,3.4831,2.73916,2.66825,0,9.67825e-05,9.67825e-05,9.67825e-05
15,441.035,2.22193,3.14459,2.0153,2.34568,0,0.17307,0.13569,0.05704,0.01761,0.16575,0.1296,0.05243,0.01652,3.43522,3.51689,6.46842,4.01813,0,9.6535e-05,9.6535e-05,9.6535e-05
16,469.023,2.15552,3.09985,1.92809,2.30736,0,0.34867,0.2566,0.21933,0.085,0.32034,0.23688,0.19534,0.07374,2.76777,3.4834,3.33708,3.10898,0,9.62875e-05,9.62875e-05,9.62875e-05
17,496.772,2.12313,3.05182,1.8652,2.28477,0,0.4366,0.34822,0.32881,0.13881,0.42286,0.32714,0.29967,0.11697,2.47091,3.41444,2.58424,2.71953,0,9.604e-05,9.604e-05,9.604e-05
18,525.045,2.08233,3.00444,1.81246,2.23623,0,0.50459,0.41316,0.41066,0.17357,0.49005,0.39432,0.37998,0.1523,2.29381,3.44406,2.33033,2.56895,0,9.57925e-05,9.57925e-05,9.57925e-05
19,553.282,2.0602,2.99109,1.77995,2.20598,0,0.5263,0.42102,0.43272,0.18646,0.51645,0.4035,0.40672,0.17,2.21395,3.32882,2.35404,2.47281,0,9.5545e-05,9.5545e-05,9.5545e-05
20,581.37,2.02072,2.96472,1.7568,2.1837,0,0.58771,0.45433,0.49112,0.21545,0.56607,0.4265,0.4464,0.18437,2.21113,3.44315,2.15158,2.49616,0,9.52975e-05,9.52975e-05,9.52975e-05
21,609.62,1.98734,2.92842,1.69345,2.15135,0,0.56931,0.39809,0.43401,0.18752,0.53863,0.37663,0.39022,0.15702,2.44252,3.41891,2.29444,2.75306,0,9.505e-05,9.505e-05,9.505e-05
22,637.357,1.95064,2.88589,1.65484,2.1228,0,0.54923,0.39664,0.42557,0.19194,0.53622,0.38417,0.39956,0.17343,2.30855,3.30702,2.19672,2.64005,0,9.48025e-05,9.48025e-05,9.48025e-05
23,665.001,1.92501,2.85267,1.6334,2.10103,0,0.63478,0.44158,0.51001,0.24109,0.62897,0.43172,0.48606,0.21615,2.07848,3.1729,1.92998,2.38453,0,9.4555e-05,9.4555e-05,9.4555e-05
24,693.02,1.88267,2.82746,1.59546,2.05245,0,0.66579,0.46612,0.53829,0.25574,0.65813,0.45086,0.51357,0.23543,2.09721,3.11986,1.88173,2.41333,0,9.43075e-05,9.43075e-05,9.43075e-05
25,721.135,1.87192,2.80126,1.57992,2.03322,0,0.65689,0.38243,0.44341,0.19555,0.65904,0.36909,0.42254,0.18172,2.43305,3.18623,2.0893,2.77418,0,9.406e-05,9.406e-05,9.406e-05
26,748.795,1.85939,2.7854,1.56572,2.04389,0,0.63015,0.42795,0.48351,0.214,0.61501,0.41287,0.45071,0.19255,2.32503,3.18418,1.96368,2.62549,0,9.38125e-05,9.38125e-05,9.38125e-05
27,776.647,1.85024,2.76479,1.52787,2.01149,0,0.63103,0.4842,0.53297,0.24848,0.61472,0.47318,0.50531,0.22752,2.14967,3.03339,1.82136,2.4287,0,9.3565e-05,9.3565e-05,9.3565e-05
28,804.302,1.82004,2.72813,1.51006,1.98162,0,0.73553,0.56654,0.65309,0.32714,0.72065,0.55378,0.62387,0.29678,1.85009,3.01682,1.63326,2.13888,0,9.33175e-05,9.33175e-05,9.33175e-05
29,832.356,1.81312,2.7336,1.50723,1.99149,0,0.69856,0.55233,0.62372,0.31688,0.69272,0.53175,0.59003,0.27987,1.87359,3.07218,1.66568,2.19177,0,9.307e-05,9.307e-05,9.307e-05
30,860.253,1.80529,2.69564,1.48146,1.97656,0,0.72628,0.60365,0.67438,0.3358,0.71547,0.59467,0.65581,0.31315,1.76933,2.98831,1.63462,2.09473,0,9.28225e-05,9.28225e-05,9.28225e-05
31,888.634,1.77681,2.7017,1.45147,1.93949,0,0.73795,0.61891,0.69087,0.35367,0.73487,0.60595,0.6707,0.32397,1.70002,2.92307,1.58481,2.03817,0,9.2575e-05,9.2575e-05,9.2575e-05
