epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,33.7428,3.12898,4.91032,3.51778,3.02142,0,0.00709,0.50188,0.00358,0.00077,0.00449,0.31806,0.00142,0.00021,2.59621,4.03389,3.7068,2.20065,0,3.24074e-05,3.24074e-05,0.067625
2,54.1321,2.7814,3.70492,3.06078,2.40178,0,0,0,0,0,0,0,0,0,2.44049,4.35255,4.26482,2.23144,0,6.55238e-05,6.55238e-05,0.0343248
3,74.5093,2.52673,3.4707,2.62634,2.20852,0,0,0,0,0,0,0,0,0,3.1839,4.35554,4.38558,2.62979,0,9.84202e-05,9.84202e-05,0.00102435
4,96.2245,2.2873,3.36583,2.41256,2.06608,0,0.01892,0.04407,0.00678,0.00136,0.00423,0.00986,0.00024,3e-05,3.06506,4.23695,4.38299,2.56135,0,9.901e-05,9.901e-05,9.901e-05
5,118.461,2.10078,3.25376,2.26057,1.93326,0,0.70626,0.07741,0.12314,0.03959,0.60187,0.06531,0.08352,0.02196,2.58286,3.83908,3.92874,2.26698,0,9.868e-05,9.868e-05,9.868e-05
6,140.807,2.00928,3.18412,2.1868,1.87217,0,0.49356,0.22702,0.25207,0.12009,0.4612,0.20934,0.22214,0.09585,2.09605,3.53545,3.07587,1.91815,0,9.835e-05,9.835e-05,9.835e-05
7,163.476,1.94564,3.15104,2.11237,1.81486,0,0.53728,0.28791,0.31523,0.15654,0.51372,0.26993,0.2878,0.13212,1.95394,3.4544,2.7187,1.82383,0,9.802e-05,9.802e-05,9.802e-05
8,186.104,1.89684,3.09546,2.05591,1.77223,0,0.52745,0.33836,0.36528,0.17757,0.50881,0.31566,0.33637,0.15075,1.91189,3.38935,2.52095,1.76817,0,9.769e-05,9.769e-05,9.769e-05
9,209.058,1.85422,3.05719,2.00794,1.75352,0,0.52068,0.30834,0.33158,0.16967,0.50452,0.29878,0.31386,0.14756,1.86056,3.36744,2.60783,1.75218,0,9.736e-05,9.736e-05,9.736e-05
10,231.761,1.81852,3.02822,1.94455,1.71818,0,0.54316,0.31139,0.34049,0.16486,0.5254,0.30357,0.3254,0.15524,1.89098,3.31602,2.549,1.74757,0,9.703e-05,9.703e-05,9.703e-05
