epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,41.8009,3.09083,4.33163,3.48769,3.03098,0,0.00748,0.52972,0.00514,0.00101,0.00346,0.245,0.00123,0.00016,2.53689,4.05933,3.70934,2.38307,0,3.24074e-05,3.24074e-05,0.067625
2,64.7478,2.72764,3.61526,2.96008,2.4458,0,0,0,0,0,0,0,0,0,2.2289,4.05167,4.70837,2.09969,0,6.56106e-05,6.56106e-05,0.0343249
3,91.9502,2.51872,3.41729,2.63647,2.26994,0,0.00517,0.3659,0.01401,0.00217,0.0015,0.10641,0.00103,0.0002,2.52863,4.23969,4.31656,2.29882,0,9.86817e-05,9.86817e-05,0.00102461
4,116.181,2.33461,3.32952,2.45481,2.14651,0,0.00179,0.12699,0.00355,0.00049,0.00035,0.02464,0.00073,0.0001,2.64512,3.86634,4.58864,2.43423,0,9.9406e-05,9.9406e-05,9.9406e-05
5,137.626,2.18146,3.25114,2.30997,2.03679,0,0.37598,0.09608,0.09052,0.02353,0.38361,0.08814,0.07441,0.02115,2.56377,3.68941,3.98532,2.28762,0,9.9208e-05,9.9208e-05,9.9208e-05
6,158.967,2.08518,3.20152,2.22071,1.98008,0,0.51341,0.23224,0.2581,0.11141,0.50758,0.20934,0.22325,0.09106,2.14743,3.52779,3.12214,2.02001,0,9.901e-05,9.901e-05,9.901e-05
7,180.692,2.03577,3.18486,2.13631,1.9278,0,0.51152,0.26413,0.28868,0.14244,0.4854,0.24906,0.26405,0.12035,1.99902,3.48869,2.90197,1.89547,0,9.8812e-05,9.8812e-05,9.8812e-05
8,202.32,1.98262,3.13499,2.06759,1.8799,0,0.52138,0.27805,0.3071,0.15353,0.49884,0.26471,0.28351,0.12855,1.99329,3.4882,2.82769,1.88369,0,9.8614e-05,9.8614e-05,9.8614e-05
9,224.504,1.93509,3.10882,2.00291,1.84825,0,0.5382,0.30908,0.34423,0.17153,0.5175,0.29719,0.32111,0.14709,1.91205,3.43973,2.63324,1.84475,0,9.8416e-05,9.8416e-05,9.8416e-05
10,246.447,1.90863,3.08488,1.95122,1.82143,0,0.49225,0.27884,0.30438,0.14292,0.46766,0.26703,0.28744,0.13479,1.9545,3.46822,2.75776,1.86611,0,9.8218e-05,9.8218e-05,9.8218e-05
11,268.165,1.87909,3.04096,1.91228,1.79802,0,0.55975,0.3027,0.34198,0.17148,0.54296,0.29139,0.32265,0.15247,1.91942,3.40974,2.68125,1.82648,0,9.802e-05,9.802e-05,9.802e-05
12,289.964,1.8576,3.0306,1.87394,1.77945,0,0.50629,0.26224,0.28951,0.13679,0.49248,0.26268,0.28045,0.13141,2.01648,3.42697,2.81225,1.89472,0,9.7822e-05,9.7822e-05,9.7822e-05
13,311.527,1.80012,2.98083,1.80091,1.73282,0,0.55898,0.294,0.33067,0.17086,0.54661,0.28559,0.31831,0.153,1.9081,3.38695,2.68384,1.81255,0,9.7624e-05,9.7624e-05,9.7624e-05
14,333.401,1.79267,2.95847,1.78414,1.72314,0,0.54567,0.30676,0.33512,0.16065,0.53484,0.30067,0.32339,0.14883,1.92428,3.35657,2.63221,1.82565,0,9.7426e-05,9.7426e-05,9.7426e-05
15,354.885,1.78055,2.93514,1.77601,1.71273,0,0.51239,0.2824,0.30031,0.15945,0.49398,0.27225,0.28455,0.13745,1.91161,3.41915,2.82717,1.78554,0,9.7228e-05,9.7228e-05,9.7228e-05
16,376.677,1.73831,2.91182,1.71496,1.68045,0,0.64307,0.31197,0.36312,0.19054,0.62153,0.29893,0.34084,0.16242,1.86464,3.41535,2.61608,1.76018,0,9.703e-05,9.703e-05,9.703e-05
