epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,57.4413,3.11763,4.27076,3.29671,2.99477,0,0.00768,0.54364,0.00472,0.0011,0.00467,0.33053,0.00168,0.00026,2.56622,4.00165,3.90678,2.236,0,3.24074e-05,3.24074e-05,0.067625
2,79.4293,2.71382,3.48623,2.61266,2.39188,0,0,0,0,0,0,0,0,0,2.43977,4.21983,4.60943,2.22201,0,6.56106e-05,6.56106e-05,0.0343249
3,101.67,2.46181,3.27888,2.34361,2.19201,0,0,0,0,0,0,0,0,0,2.49053,4.13401,5.13458,2.41704,0,9.86817e-05,9.86817e-05,0.00102461
4,125.501,2.25104,3.16202,2.1094,2.03982,0,0.07985,0.18179,0.04894,0.01005,0.04687,0.1067,0.02348,0.00541,2.42582,3.87251,4.56863,2.34494,0,9.9406e-05,9.9406e-05,9.9406e-05
5,150.417,2.04392,3.04041,1.91792,1.89184,0,0.6356,0.29574,0.36386,0.1628,0.61249,0.27341,0.31932,0.12953,2.12756,3.49107,3.03963,1.94113,0,9.9208e-05,9.9208e-05,9.9208e-05
6,175.837,1.93201,2.96366,1.79343,1.82006,0,0.71335,0.41316,0.49024,0.23504,0.6987,0.39983,0.46408,0.20855,1.89674,3.28673,2.38314,1.76643,0,9.901e-05,9.901e-05,9.901e-05
7,200.495,1.86703,2.93368,1.7173,1.75772,0,0.75016,0.51799,0.6078,0.29341,0.73803,0.50236,0.57773,0.26235,1.83449,3.15627,1.93363,1.70881,0,9.8812e-05,9.8812e-05,9.8812e-05
8,225.76,1.79308,2.85633,1.62872,1.69591,0,0.7062,0.51406,0.59195,0.27444,0.68381,0.50739,0.56814,0.25282,1.85742,3.15763,1.91023,1.71299,0,9.8614e-05,9.8614e-05,9.8614e-05
9,251.688,1.74347,2.8051,1.55201,1.66312,0,0.73106,0.53639,0.62026,0.27038,0.71575,0.52334,0.59727,0.25647,1.99152,3.15284,1.83737,1.79585,0,9.8416e-05,9.8416e-05,9.8416e-05
10,277.619,1.69818,2.77492,1.50427,1.62418,0,0.68431,0.52015,0.59103,0.25208,0.67704,0.51056,0.57514,0.24598,1.94864,3.09089,1.83746,1.79794,0,9.8218e-05,9.8218e-05,9.8218e-05
11,303.951,1.67039,2.71618,1.45847,1.60062,0,0.67881,0.47796,0.55471,0.26485,0.67547,0.46622,0.53463,0.24232,1.85197,3.06078,2.09594,1.74178,0,9.802e-05,9.802e-05,9.802e-05
12,330.805,1.64538,2.68731,1.429,1.57838,0,0.73057,0.52363,0.61433,0.30197,0.73838,0.50855,0.6001,0.2795,1.79737,3.03311,1.75749,1.68325,0,9.7822e-05,9.7822e-05,9.7822e-05
