epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,35.5074,2.97351,4.0727,3.27432,2.76146,0,0,0,0,0,0,0,0,0,2.46897,4.1479,4.41946,2.16917,0,3.28704e-05,3.28704e-05,0.0671625
2,63.3184,2.50493,3.35252,2.44711,2.20923,0,0,0,0,0,0,0,0,0,2.4707,4.01233,4.90595,2.40554,0,6.60726e-05,6.60726e-05,0.0338624
3,92.098,2.14927,3.13947,2.05217,1.97198,0,0.6157,0.40302,0.45003,0.20139,0.61082,0.35894,0.39198,0.15333,2.05941,3.45753,2.4415,1.8483,0,9.91429e-05,9.91429e-05,0.000562106
4,120.558,1.9584,3.01069,1.83602,1.83581,0,0.70626,0.4958,0.57239,0.28569,0.69329,0.47231,0.53774,0.24352,1.80242,3.18432,2.07374,1.65931,0,9.9406e-05,9.9406e-05,9.9406e-05
5,149.337,1.8339,2.87821,1.68662,1.73921,0,0.74139,0.51986,0.59983,0.30732,0.73653,0.48826,0.56809,0.25968,1.75458,3.10646,1.93542,1.62016,0,9.9208e-05,9.9208e-05,9.9208e-05
6,177.877,1.76169,2.79777,1.60816,1.69863,0,0.72829,0.52131,0.59728,0.27133,0.70736,0.51261,0.5783,0.24863,1.86714,3.0213,1.86966,1.6925,0,9.901e-05,9.901e-05,9.901e-05
7,210.04,1.69232,2.75525,1.52838,1.64653,0,0.72899,0.53697,0.60303,0.30758,0.71058,0.52653,0.58204,0.27522,1.73939,3.01493,1.87268,1.64023,0,9.8812e-05,9.8812e-05,9.8812e-05
8,242.153,1.66066,2.69634,1.48137,1.60867,0,0.76047,0.55088,0.63388,0.31455,0.74365,0.53755,0.61171,0.28245,1.75784,2.9652,1.76536,1.62049,0,9.8614e-05,9.8614e-05,9.8614e-05
9,274.052,1.61153,2.64816,1.42533,1.58027,0,0.79145,0.5706,0.65249,0.33825,0.7728,0.55407,0.62814,0.29967,1.69268,2.92313,1.70205,1.5865,0,9.8416e-05,9.8416e-05,9.8416e-05
10,306.71,1.56448,2.59665,1.38512,1.54831,0,0.76505,0.53958,0.62559,0.31748,0.75352,0.52769,0.6054,0.28611,1.72236,2.92481,1.72526,1.61988,0,9.8218e-05,9.8218e-05,9.8218e-05
11,339.023,1.55229,2.57389,1.35189,1.53038,0,0.78492,0.5793,0.66686,0.35081,0.77521,0.56248,0.64655,0.31266,1.66396,2.89622,1.6383,1.56938,0,9.802e-05,9.802e-05,9.802e-05
12,371.42,1.5234,2.52969,1.3163,1.5131,0,0.76157,0.59084,0.66425,0.32872,0.75553,0.58713,0.65334,0.30513,1.72429,2.81872,1.63892,1.62427,0,9.7822e-05,9.7822e-05,9.7822e-05
13,403.298,1.49043,2.47439,1.27412,1.48025,0,0.77377,0.57319,0.65278,0.31685,0.76854,0.55355,0.62852,0.2756,1.75759,3.09881,1.6145,1.63958,0,9.7624e-05,9.7624e-05,9.7624e-05
14,435.645,1.4828,2.46064,1.26276,1.47263,0,0.83648,0.60481,0.7043,0.38414,0.81835,0.58423,0.6755,0.34257,1.59855,2.77001,1.5006,1.51261,0,9.7426e-05,9.7426e-05,9.7426e-05
15,467.635,1.47348,2.45076,1.24567,1.46831,0,0.83204,0.61699,0.71207,0.36684,0.81526,0.60336,0.68564,0.33062,1.67995,2.76095,1.47882,1.58101,0,9.7228e-05,9.7228e-05,9.7228e-05
16,499.595,1.43249,2.41895,1.20591,1.44233,0,0.84749,0.62995,0.72967,0.39773,0.82647,0.61589,0.70567,0.35768,1.59625,2.67222,1.41867,1.51571,0,9.703e-05,9.703e-05,9.703e-05
17,532.173,1.43292,2.38188,1.19415,1.43648,0,0.80547,0.60423,0.7014,0.35831,0.7952,0.59235,0.68202,0.33421,1.69255,2.76624,1.4741,1.59784,0,9.6832e-05,9.6832e-05,9.6832e-05
18,564.473,1.42392,2.35899,1.1819,1.421,0,0.80618,0.61023,0.705,0.37283,0.7966,0.60298,0.68996,0.34742,1.64477,2.69707,1.46066,1.57415,0,9.6634e-05,9.6634e-05,9.6634e-05
19,596.524,1.4032,2.3491,1.17417,1.40803,0,0.81293,0.61206,0.71218,0.36768,0.80081,0.5938,0.68488,0.32295,1.65682,2.8918,1.43157,1.55763,0,9.6436e-05,9.6436e-05,9.6436e-05
20,628.766,1.396,2.32804,1.1435,1.40198,0,0.82462,0.62981,0.72971,0.39636,0.81995,0.61409,0.711,0.35781,1.59071,2.70081,1.37939,1.51194,0,9.6238e-05,9.6238e-05,9.6238e-05
21,660.741,1.37729,2.30569,1.12475,1.38683,0,0.8404,0.64772,0.74758,0.41144,0.83449,0.62395,0.72511,0.37539,1.57717,2.64111,1.33552,1.5116,0,9.604e-05,9.604e-05,9.604e-05
22,693.192,1.36239,2.27816,1.10638,1.37933,0,0.81747,0.64926,0.74593,0.39207,0.81403,0.62917,0.72429,0.36229,1.63254,2.65089,1.34481,1.55678,0,9.5842e-05,9.5842e-05,9.5842e-05
23,724.924,1.36388,2.25341,1.09718,1.37792,0,0.81985,0.61786,0.71494,0.35456,0.80406,0.61035,0.69511,0.32887,1.73178,2.74174,1.40346,1.63577,0,9.5644e-05,9.5644e-05,9.5644e-05
24,756.852,1.33801,2.25022,1.08285,1.35713,0,0.81459,0.63437,0.72863,0.38757,0.80737,0.62585,0.71128,0.35597,1.63811,2.79886,1.36195,1.57366,0,9.5446e-05,9.5446e-05,9.5446e-05
25,788.719,1.32932,2.23647,1.06593,1.35235,0,0.85291,0.64395,0.75004,0.39562,0.83795,0.62821,0.7254,0.35553,1.64954,2.73682,1.30681,1.56028,0,9.5248e-05,9.5248e-05,9.5248e-05
26,821.228,1.33478,2.22069,1.05973,1.35525,0,0.83842,0.637,0.73453,0.39566,0.82762,0.62364,0.71364,0.35051,1.63574,2.77147,1.32751,1.54762,0,9.505e-05,9.505e-05,9.505e-05
27,853.506,1.31816,2.2107,1.05681,1.33982,0,0.80349,0.65082,0.73215,0.39741,0.78831,0.63729,0.71177,0.35668,1.59802,2.73148,1.35508,1.5219,0,9.4852e-05,9.4852e-05,9.4852e-05
28,885.523,1.30692,2.1705,1.04254,1.33099,0,0.86402,0.64849,0.76284,0.4222,0.85015,0.63874,0.74341,0.38661,1.55944,2.59085,1.26186,1.49267,0,9.4654e-05,9.4654e-05,9.4654e-05
29,918.003,1.32333,2.19245,1.03083,1.34269,0,0.83486,0.65062,0.74269,0.39529,0.81585,0.64337,0.72651,0.35878,1.64838,2.71982,1.29251,1.55051,0,9.4456e-05,9.4456e-05,9.4456e-05
30,949.873,1.30113,2.17877,1.03715,1.32821,0,0.86398,0.64641,0.75388,0.40138,0.84189,0.62989,0.72631,0.35466,1.64708,2.84815,1.28602,1.55282,0,9.4258e-05,9.4258e-05,9.4258e-05
31,981.161,1.28852,2.17524,1.02048,1.31749,0,0.8586,0.66196,0.77254,0.43084,0.84439,0.64507,0.74675,0.38534,1.56586,2.69443,1.21534,1.47904,0,9.406e-05,9.406e-05,9.406e-05
