epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,42.1291,2.96148,4.32327,3.07926,2.76727,0,0,0,0,0,0,0,0,0,2.60087,4.13621,3.92496,2.24265,0,3.28704e-05,3.28704e-05,0.0671625
2,73.8193,2.51749,3.33809,2.38471,2.25791,0,0.00667,0.05799,0.00095,0.0002,0.00294,0.02551,0.00022,3e-05,2.2724,4.22121,4.73755,2.38909,0,6.60726e-05,6.60726e-05,0.0338624
3,103.922,2.24787,3.16126,2.10763,2.06992,0,0.57692,0.35431,0.40155,0.1836,0.55292,0.33061,0.35571,0.14888,2.02626,3.43069,2.6205,1.93165,0,9.91429e-05,9.91429e-05,0.000562106
4,134.345,2.07004,3.06937,1.92668,1.94045,0,0.6499,0.44796,0.50625,0.22998,0.64335,0.42998,0.4759,0.2096,1.96331,3.2827,2.35469,1.86299,0,9.9406e-05,9.9406e-05,9.9406e-05
5,164.274,1.93594,2.97385,1.7854,1.82961,0,0.74652,0.50884,0.59801,0.28847,0.72798,0.49261,0.57146,0.26546,1.87398,3.1485,2.06885,1.75987,0,9.9208e-05,9.9208e-05,9.9208e-05
6,194.805,1.85229,2.89601,1.69799,1.77263,0,0.73289,0.50043,0.58948,0.26873,0.72227,0.49319,0.57535,0.26217,1.9369,3.07506,2.01124,1.81807,0,9.901e-05,9.901e-05,9.901e-05
7,224.564,1.78288,2.8618,1.62273,1.71352,0,0.76415,0.55088,0.64331,0.3248,0.75793,0.53175,0.61789,0.29174,1.76862,3.05827,1.85369,1.67965,0,9.8812e-05,9.8812e-05,9.8812e-05
8,254.903,1.75212,2.80757,1.56873,1.67594,0,0.72879,0.56045,0.62843,0.30194,0.73808,0.52943,0.60417,0.27355,1.8442,3.04287,1.85388,1.71678,0,9.8614e-05,9.8614e-05,9.8614e-05
9,284.772,1.70813,2.7657,1.51215,1.64905,0,0.77193,0.55739,0.64469,0.30822,0.74339,0.5419,0.61006,0.27119,1.84198,3.12263,1.76791,1.71417,0,9.8416e-05,9.8416e-05,9.8416e-05
10,314.795,1.6635,2.70699,1.4753,1.61359,0,0.79111,0.56878,0.65683,0.32234,0.77554,0.55436,0.6306,0.29564,1.79505,2.98573,1.71019,1.66623,0,9.8218e-05,9.8218e-05,9.8218e-05
11,345.494,1.64517,2.68216,1.43481,1.58555,0,0.79549,0.57205,0.66908,0.33742,0.78279,0.55523,0.6412,0.30417,1.71602,2.8924,1.67703,1.62177,0,9.802e-05,9.802e-05,9.802e-05
12,376.005,1.61989,2.65185,1.40052,1.5732,0,0.78102,0.60162,0.68121,0.34718,0.77285,0.59032,0.6628,0.32386,1.71249,2.84675,1.62227,1.60632,0,9.7822e-05,9.7822e-05,9.7822e-05
