epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,35.1211,3.74422,5.90704,3.79172,3.94829,0,0.00533,0.37721,0.00205,0.00047,0.00455,0.32183,0.00151,0.00029,2.25489,3.99453,3.62836,3.32154,0,3.28704e-05,3.28704e-05,0.0671625
2,59.8728,3.44207,3.96835,3.45686,3.15352,0,0.00713,0.50507,0.00609,0.0015,0.00733,0.5187,0.00676,0.00183,2.74154,4.04142,3.44213,2.69786,0,6.60398e-05,6.60398e-05,0.0338623
3,83.9845,3.43026,3.84721,3.30541,3.05752,0,0.00817,0.57872,0.01063,0.00292,0.00813,0.57553,0.01109,0.00342,2.65348,3.97176,3.3364,2.65359,0,9.90443e-05,9.90443e-05,0.000562007
4,108.065,3.34324,3.74771,3.02891,3.04051,0,0.05201,0.04382,0.01391,0.00485,0.04994,0.04208,0.01432,0.00526,3.14297,3.93397,6.40732,3.05937,0,9.92575e-05,9.92575e-05,9.92575e-05
5,132.001,3.10145,3.55096,2.85802,2.94681,0,0.1368,0.19571,0.07196,0.02197,0.13357,0.19832,0.07141,0.01928,3.07129,4.11504,7.32235,3.11727,0,9.901e-05,9.901e-05,9.901e-05
6,155.949,2.90753,3.43117,2.7317,2.89025,0,0.17979,0.22876,0.10129,0.0284,0.1625,0.19832,0.0853,0.02077,2.90902,4.66289,5.24033,3.07393,0,9.87625e-05,9.87625e-05,9.87625e-05
7,179.61,2.79393,3.38087,2.64558,2.82224,0,0.17156,0.18556,0.07768,0.02451,0.17765,0.17976,0.0804,0.02371,3.34971,3.90673,3.95143,3.32479,0,9.8515e-05,9.8515e-05,9.8515e-05
8,203.642,2.68057,3.32428,2.53942,2.71283,0,0.19865,0.29603,0.16046,0.04699,0.20276,0.27225,0.15308,0.0441,2.49671,3.63049,3.4121,2.74552,0,9.82675e-05,9.82675e-05,9.82675e-05
9,227.434,2.57858,3.30287,2.45719,2.65858,0,0.25234,0.30618,0.1829,0.05787,0.25055,0.29786,0.17569,0.05507,2.58913,3.66848,3.45539,2.88825,0,9.802e-05,9.802e-05,9.802e-05
10,250.864,2.50666,3.25103,2.37521,2.61228,0,0.20667,0.20238,0.10879,0.02656,0.19413,0.1815,0.09301,0.02503,3.20567,3.78897,4.49714,3.83605,0,9.77725e-05,9.77725e-05,9.77725e-05
