======================================================================
  Hyperparameters
======================================================================
  image_size              : 128
  batch_size              : 8
  epochs                  : 20
  learning_rate           : 0.001
  optimizer               : Adam
  augment                 : True
  device                  : NVIDIA GeForce RTX 3050 Laptop GPU
  seed                    : 22
  trainable_params        : 16144001
  total_params            : 16144001
  train_time              : 2026-05-15 11:54:25
======================================================================

  Training Log
──────────────────────────────────────────────────────────────────────
        1/20     loss=0.211678  iou=0.119194  dice=0.171703  pB=0.307556  rB=0.151092  mAP50B=0.307556  mAP50-95B=0.138756  pM=0.097778  rM=0.048035  mAP50M=0.097778  mAP50-95M=0.025511
        2/20     loss=0.137764  iou=0.304062  dice=0.423897  pB=0.460647  rB=0.416594  mAP50B=0.460647  mAP50-95B=0.231048  pM=0.200386  rM=0.181223  mAP50M=0.200386  mAP50-95M=0.055336
        3/20     loss=0.124784  iou=0.354172  dice=0.480835  pB=0.513783  rB=0.472052  mAP50B=0.513783  mAP50-95B=0.267300  pM=0.290875  rM=0.267249  mAP50M=0.290875  mAP50-95M=0.083270
        4/20     loss=0.116857  iou=0.383347  dice=0.512852  pB=0.560929  rB=0.516594  mAP50B=0.560929  mAP50-95B=0.303035  pM=0.348032  rM=0.320524  mAP50M=0.348032  mAP50-95M=0.102086
        5/20     loss=0.112489  iou=0.402139  dice=0.533378  pB=0.575630  rB=0.538428  mAP50B=0.575630  mAP50-95B=0.316293  pM=0.382353  rM=0.357642  mAP50M=0.382353  mAP50-95M=0.118067
        6/20     loss=0.106727  iou=0.424892  dice=0.558096  pB=0.604293  rB=0.565502  mAP50B=0.604293  mAP50-95B=0.339291  pM=0.426972  rM=0.399563  mAP50M=0.426972  mAP50-95M=0.132291
        7/20     loss=0.102109  iou=0.446717  dice=0.579872  pB=0.628913  rB=0.596507  mAP50B=0.628913  mAP50-95B=0.361924  pM=0.471455  rM=0.447162  mAP50M=0.471455  mAP50-95M=0.153959
        8/20     loss=0.099283  iou=0.454602  dice=0.587131  pB=0.640185  rB=0.605240  mAP50B=0.640185  mAP50-95B=0.380416  pM=0.487298  rM=0.460699  mAP50M=0.487298  mAP50-95M=0.164249
        9/20     loss=0.094640  iou=0.476152  dice=0.609752  pB=0.657534  rB=0.628821  mAP50B=0.657534  mAP50-95B=0.394886  pM=0.537900  rM=0.514410  mAP50M=0.537900  mAP50-95M=0.181872
       10/20     loss=0.092160  iou=0.492193  dice=0.623728  pB=0.674589  rB=0.644542  mAP50B=0.674589  mAP50-95B=0.413117  pM=0.568556  rM=0.543231  mAP50M=0.568556  mAP50-95M=0.203016
       11/20     loss=0.089471  iou=0.502609  dice=0.633722  pB=0.681839  rB=0.654148  mAP50B=0.681839  mAP50-95B=0.424351  pM=0.596268  rM=0.572052  mAP50M=0.596268  mAP50-95M=0.213746
       12/20     loss=0.087564  iou=0.509932  dice=0.640407  pB=0.690834  rB=0.661572  mAP50B=0.690834  mAP50-95B=0.433698  pM=0.611491  rM=0.585590  mAP50M=0.611491  mAP50-95M=0.226585
       13/20     loss=0.085128  iou=0.523221  dice=0.654374  pB=0.715388  rB=0.688210  mAP50B=0.715388  mAP50-95B=0.449887  pM=0.631866  rM=0.607860  mAP50M=0.631866  mAP50-95M=0.237267
       14/20     loss=0.083038  iou=0.536724  dice=0.666863  pB=0.720835  rB=0.693450  mAP50B=0.720835  mAP50-95B=0.458375  pM=0.662733  rM=0.637555  mAP50M=0.662733  mAP50-95M=0.255197
       15/20     loss=0.079312  iou=0.551093  dice=0.679024  pB=0.749660  rB=0.721834  mAP50B=0.749660  mAP50-95B=0.486485  pM=0.697506  rM=0.671616  mAP50M=0.697506  mAP50-95M=0.277188
       16/20     loss=0.078226  iou=0.557954  dice=0.685788  pB=0.744930  rB=0.721834  mAP50B=0.744930  mAP50-95B=0.494412  pM=0.704371  rM=0.682533  mAP50M=0.704371  mAP50-95M=0.282920
       17/20     loss=0.075681  iou=0.569401  dice=0.697699  pB=0.746625  rB=0.724454  mAP50B=0.746625  mAP50-95B=0.493024  pM=0.737174  rM=0.715284  mAP50M=0.737174  mAP50-95M=0.293339
       18/20     loss=0.074202  iou=0.573910  dice=0.700046  pB=0.761604  rB=0.737991  mAP50B=0.761604  mAP50-95B=0.508382  pM=0.726904  rM=0.704367  mAP50M=0.726904  mAP50-95M=0.303785
       19/20     loss=0.072190  iou=0.582871  dice=0.708368  pB=0.767265  rB=0.747162  mAP50B=0.767265  mAP50-95B=0.521076  pM=0.752018  rM=0.732314  mAP50M=0.752018  mAP50-95M=0.315381
       20/20     loss=0.069801  iou=0.593580  dice=0.717998  pB=0.790583  rB=0.769869  mAP50B=0.790583  mAP50-95B=0.540000  pM=0.767713  rM=0.747598  mAP50M=0.767713  mAP50-95M=0.331076
