epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,45.4166,2.70738,3.73939,2.8853,2.50716,0,0.02506,0.11598,0.01553,0.00518,0.02581,0.11945,0.01608,0.00482,2.32931,4.11473,4.46871,2.31396,0,0.000331019,0.000331019,0.0672292
2,88.3454,1.96417,3.1222,1.97182,1.88991,0,0.5685,0.33401,0.35939,0.1468,0.58129,0.33111,0.3607,0.14733,2.07791,3.39564,2.53341,2.03066,0,0.000662159,0.000662159,0.034227
3,130.517,1.69723,2.8369,1.64214,1.64752,0,0.74044,0.54259,0.61423,0.30697,0.72606,0.51725,0.57946,0.26655,1.70529,3.0449,1.86914,1.69823,0,0.0009911,0.0009911,0.00122258
4,172.358,1.56649,2.64356,1.48651,1.54471,0,0.75559,0.53929,0.61756,0.3193,0.7477,0.52414,0.59595,0.28365,1.65521,2.98506,1.7303,1.6248,0,0.0009901,0.0009901,0.0009901
5,213.944,1.49264,2.53153,1.38243,1.4891,0,0.75706,0.49058,0.57133,0.26723,0.75466,0.47892,0.55918,0.23753,1.94808,3.16498,1.89035,1.74894,0,0.0009868,0.0009868,0.0009868
6,255.57,1.42156,2.40565,1.28747,1.42247,0,0.74197,0.5561,0.61716,0.31429,0.74476,0.54972,0.61834,0.30467,1.69843,2.72705,1.64179,1.62377,0,0.0009835,0.0009835,0.0009835
7,297.264,1.38425,2.29709,1.21022,1.3953,0,0.69486,0.54403,0.58822,0.26152,0.70263,0.55012,0.59437,0.25673,1.98302,2.85059,1.76076,1.85839,0,0.0009802,0.0009802,0.0009802
8,339.147,1.35782,2.27001,1.17589,1.37805,0,0.84829,0.61438,0.71801,0.42182,0.83259,0.59959,0.68967,0.36168,1.50797,2.79667,1.38088,1.46273,0,0.0009769,0.0009769,0.0009769
9,381.135,1.34964,2.24765,1.14017,1.37197,0,0.82,0.63265,0.73639,0.44838,0.80609,0.6183,0.71755,0.4055,1.37644,2.45671,1.34197,1.40122,0,0.0009736,0.0009736,0.0009736
10,422.768,1.29538,2.18506,1.0866,1.3276,0,0.80229,0.6196,0.70784,0.3943,0.783,0.6047,0.67837,0.33392,1.59533,3.05572,1.38571,1.56274,0,0.0009703,0.0009703,0.0009703
11,464.339,1.2674,2.13957,1.04345,1.3165,0,0.7948,0.60083,0.6774,0.39645,0.7936,0.588,0.66168,0.36333,1.52092,2.60889,1.43913,1.48779,0,0.000967,0.000967,0.000967
12,506.048,1.2702,2.10469,1.03935,1.30856,0,0.81583,0.65178,0.75109,0.45837,0.79829,0.63961,0.72754,0.39632,1.38174,2.47967,1.2726,1.34734,0,0.0009637,0.0009637,0.0009637
13,547.754,1.249,2.08544,1.00308,1.28988,0,0.76665,0.62192,0.70107,0.37258,0.75613,0.6196,0.69019,0.33609,1.61589,2.75236,1.36176,1.56004,0,0.0009604,0.0009604,0.0009604
14,588.95,1.22969,2.03605,0.98499,1.28823,0,0.83444,0.64443,0.74029,0.45092,0.82208,0.63381,0.71889,0.40413,1.41631,2.40668,1.3171,1.41414,0,0.0009571,0.0009571,0.0009571
