epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,45.6476,2.71062,3.59641,2.74094,2.49207,0,0.03588,0.39316,0.11596,0.04919,0.02752,0.30154,0.09202,0.0318,2.1613,3.85442,4.40496,2.07128,0,0.000331019,0.000331019,0.0672292
2,87.4223,1.99922,3.06268,1.93662,1.91558,0,0.5886,0.4227,0.47449,0.24732,0.59613,0.40012,0.44954,0.20999,1.80581,3.20874,2.15084,1.73797,0,0.000662159,0.000662159,0.034227
3,129.308,1.72704,2.83127,1.63034,1.68989,0,0.71615,0.50681,0.56977,0.29859,0.69725,0.50348,0.54967,0.26804,1.73351,3.16076,1.96621,1.67699,0,0.0009911,0.0009911,0.00122258
4,171.222,1.57559,2.62512,1.45029,1.57432,0,0.71748,0.51667,0.60823,0.33626,0.71806,0.49609,0.58676,0.3014,1.55642,2.80772,1.82298,1.60382,0,0.0009901,0.0009901,0.0009901
5,212.908,1.51329,2.56057,1.37484,1.5215,0,0.7725,0.55134,0.64602,0.36709,0.76533,0.54306,0.62863,0.32171,1.58062,2.88288,1.67731,1.58252,0,0.0009868,0.0009868,0.0009868
6,254.85,1.43694,2.43554,1.28568,1.45633,0,0.744,0.56712,0.63831,0.34886,0.73894,0.54985,0.61955,0.31721,1.51056,2.80095,1.71875,1.53749,0,0.0009835,0.0009835,0.0009835
7,297.85,1.39194,2.32818,1.20758,1.41991,0,0.75379,0.56567,0.64091,0.36805,0.7473,0.53465,0.61496,0.32611,1.56888,2.77132,1.70923,1.53177,0,0.0009802,0.0009802,0.0009802
8,340.53,1.36085,2.31507,1.16787,1.4011,0,0.77686,0.6097,0.68978,0.39395,0.76924,0.5964,0.67223,0.35637,1.50425,2.679,1.51402,1.54577,0,0.0009769,0.0009769,0.0009769
9,382.448,1.33999,2.2699,1.13247,1.38419,0,0.76543,0.59293,0.67297,0.39776,0.75184,0.5824,0.65371,0.35535,1.48049,2.63836,1.52705,1.48532,0,0.0009736,0.0009736,0.0009736
10,424.568,1.30149,2.20659,1.08435,1.3497,0,0.79849,0.65141,0.72959,0.42585,0.78887,0.64242,0.71085,0.38125,1.4773,2.65686,1.37021,1.51421,0,0.0009703,0.0009703,0.0009703
11,467.124,1.28649,2.17542,1.05389,1.34368,0,0.78001,0.65589,0.73328,0.44251,0.77007,0.64077,0.71114,0.40527,1.40087,2.58686,1.35056,1.46689,0,0.000967,0.000967,0.000967
12,508.571,1.25754,2.11993,1.02122,1.31767,0,0.72571,0.5577,0.62006,0.32933,0.72165,0.52421,0.58683,0.26836,1.65101,3.22943,1.5563,1.63871,0,0.0009637,0.0009637,0.0009637
13,549.574,1.24931,2.11342,1.00316,1.30774,0,0.77837,0.56306,0.65455,0.38594,0.76394,0.55262,0.63299,0.35016,1.5078,2.62705,1.62443,1.50119,0,0.0009604,0.0009604,0.0009604
14,590.43,1.23042,2.06163,0.98275,1.2994,0,0.79084,0.64193,0.72579,0.40196,0.76846,0.62548,0.69729,0.35143,1.5686,2.86901,1.31043,1.5667,0,0.0009571,0.0009571,0.0009571
15,631.629,1.19856,2.02902,0.93601,1.28023,0,0.82083,0.61931,0.71691,0.43763,0.80925,0.61003,0.70164,0.39612,1.40275,2.52265,1.37606,1.43898,0,0.0009538,0.0009538,0.0009538
16,672.572,1.19676,2.003,0.93351,1.27372,0,0.82521,0.64453,0.73305,0.45253,0.81821,0.62377,0.70771,0.40452,1.41554,2.55262,1.2743,1.41747,0,0.0009505,0.0009505,0.0009505
