epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,45.1496,2.65252,3.64495,2.69714,2.47493,0,0.01703,0.34068,0.07113,0.02821,0.01473,0.29458,0.06662,0.02417,2.28314,3.81224,4.37164,2.17661,0,0.000999999,0.000999999,0.000999999
2,87.0394,1.92967,3.0427,1.85863,1.85503,0,0.47775,0.32502,0.33188,0.1387,0.49275,0.33053,0.34303,0.13787,2.08036,3.28331,2.55654,1.95534,0,0.000999901,0.000999901,0.000999901
3,129.232,1.69188,2.81179,1.56225,1.64121,0,0.68505,0.50826,0.56989,0.2848,0.67685,0.50217,0.55505,0.26543,1.72593,3.09353,1.9768,1.67476,0,0.000999742,0.000999742,0.000999742
4,172.208,1.52853,2.57351,1.38486,1.5127,0,0.67474,0.5361,0.58774,0.26712,0.67355,0.539,0.5862,0.26072,1.78569,3.00457,1.99597,1.75945,0,0.000999545,0.000999545,0.000999545
5,213.734,1.48045,2.49139,1.30719,1.47564,0,0.8133,0.57524,0.67463,0.35531,0.80223,0.56741,0.6572,0.32762,1.63437,2.81826,1.62131,1.59138,0,0.000999293,0.000999293,0.000999293
6,255.944,1.39667,2.37278,1.22187,1.40509,0,0.59333,0.45812,0.48652,0.23848,0.59182,0.45696,0.4829,0.22355,1.69798,2.93439,2.06407,1.66293,0,0.000998986,0.000998986,0.000998986
7,297.598,1.35013,2.25038,1.15149,1.36968,0,0.68158,0.49667,0.54244,0.26554,0.6843,0.49901,0.54398,0.25436,1.87716,2.83668,1.87143,1.79703,0,0.000998624,0.000998624,0.000998624
8,339.076,1.35484,2.24351,1.14089,1.36606,0,0.77136,0.58278,0.66093,0.3749,0.7735,0.57292,0.64854,0.3429,1.58459,2.70805,1.61951,1.53712,0,0.000998207,0.000998207,0.000998207
9,380.813,1.30396,2.2157,1.0927,1.34316,0,0.80263,0.64378,0.73604,0.45007,0.78673,0.63102,0.71439,0.40111,1.41604,2.52136,1.39985,1.41332,0,0.000997734,0.000997734,0.000997734
10,422.456,1.27199,2.15157,1.05221,1.30844,0,0.81258,0.62598,0.72323,0.40832,0.80016,0.61641,0.70746,0.37511,1.54113,2.52598,1.42401,1.50777,0,0.000997207,0.000997207,0.000997207
11,464.675,1.24935,2.09852,1.00984,1.29531,0,0.63891,0.51404,0.53301,0.24844,0.60287,0.48504,0.49132,0.19084,1.95375,3.3901,1.90871,1.8505,0,0.000996624,0.000996624,0.000996624
12,506.245,1.23268,2.04582,0.97854,1.27718,0,0.81256,0.63062,0.72723,0.44973,0.80601,0.61873,0.70896,0.41109,1.38859,2.44276,1.34737,1.39511,0,0.000995987,0.000995987,0.000995987
13,548.663,1.21182,2.03956,0.96415,1.26646,0,0.78433,0.62211,0.70504,0.41647,0.77762,0.60527,0.68583,0.3536,1.47127,2.68892,1.37185,1.43296,0,0.000995294,0.000995294,0.000995294
14,591.364,1.19803,1.99734,0.9438,1.26125,0,0.84595,0.66193,0.75968,0.43488,0.83468,0.64994,0.73755,0.38817,1.5748,2.5922,1.19867,1.51212,0,0.000994547,0.000994547,0.000994547
15,636.325,1.18029,1.97999,0.89991,1.24555,0,0.81223,0.68745,0.76134,0.43892,0.80616,0.67817,0.74536,0.40307,1.50269,2.59349,1.28021,1.48075,0,0.000993746,0.000993746,0.000993746
16,685.523,1.16321,1.9356,0.89175,1.23108,0,0.80995,0.63882,0.7159,0.4162,0.79414,0.62636,0.69524,0.35726,1.59459,2.88556,1.34226,1.54386,0,0.000992889,0.000992889,0.000992889
17,736.047,1.1783,1.95443,0.88167,1.23821,0,0.79949,0.64569,0.73422,0.46218,0.79029,0.637,0.71591,0.40821,1.3203,2.39318,1.26257,1.33185,0,0.000991978,0.000991978,0.000991978
18,786.643,1.14776,1.91967,0.86165,1.22246,0,0.84564,0.72112,0.80372,0.49048,0.83741,0.71093,0.7878,0.43412,1.44072,2.43192,1.04927,1.40692,0,0.000991013,0.000991013,0.000991013
19,837.401,1.14896,1.88717,0.86786,1.22264,0,0.79781,0.6483,0.72029,0.40454,0.78756,0.63633,0.70186,0.36729,1.62497,2.65139,1.25089,1.57825,0,0.000989993,0.000989993,0.000989993
20,889.029,1.12116,1.85029,0.82721,1.20292,0,0.81043,0.68793,0.76883,0.45789,0.80197,0.67633,0.75259,0.41797,1.48708,2.46426,1.16193,1.46975,0,0.00098892,0.00098892,0.00098892
21,939.956,1.10872,1.82503,0.82705,1.19522,0,0.85891,0.71093,0.80868,0.53017,0.84845,0.69643,0.78694,0.47167,1.30056,2.26412,1.02839,1.30412,0,0.000987792,0.000987792,0.000987792
22,991.069,1.11053,1.84368,0.82203,1.19941,0,0.85585,0.68859,0.78894,0.51922,0.84215,0.67614,0.76734,0.46124,1.26526,2.27245,1.13807,1.29286,0,0.00098661,0.00098661,0.00098661
23,1041.52,1.08996,1.81835,0.8018,1.1861,0,0.83388,0.67846,0.77047,0.42499,0.81318,0.65753,0.73805,0.35384,1.65237,2.81202,1.14773,1.58377,0,0.000985374,0.000985374,0.000985374
24,1092.34,1.09663,1.79491,0.79888,1.18642,0,0.83671,0.65352,0.74471,0.47148,0.82016,0.64019,0.72155,0.41872,1.40058,2.45514,1.1886,1.37372,0,0.000984085,0.000984085,0.000984085
25,1142.72,1.08097,1.75171,0.78581,1.16929,0,0.84469,0.69006,0.78388,0.50714,0.82588,0.67469,0.75067,0.42062,1.33336,2.60658,1.12782,1.29788,0,0.000982742,0.000982742,0.000982742
26,1193.63,1.07139,1.75899,0.77988,1.17421,0,0.87043,0.74602,0.83095,0.54258,0.85434,0.73355,0.80909,0.47983,1.30052,2.28923,0.93929,1.29213,0,0.000981346,0.000981346,0.000981346
27,1244.33,1.06826,1.75056,0.77067,1.16713,0,0.87051,0.71921,0.81396,0.51339,0.85791,0.70375,0.79305,0.45934,1.35791,2.32792,1.04667,1.34439,0,0.000979897,0.000979897,0.000979897
28,1295.22,1.05571,1.73022,0.75441,1.15773,0,0.81601,0.65581,0.74138,0.43992,0.80728,0.64193,0.7277,0.39907,1.56643,2.46731,1.16112,1.54341,0,0.000978394,0.000978394,0.000978394
29,1345.44,1.04513,1.70098,0.75196,1.15742,0,0.86795,0.66512,0.76761,0.48616,0.85086,0.64345,0.73325,0.42993,1.37946,2.37858,1.37737,1.33911,0,0.000976839,0.000976839,0.000976839
30,1396.44,1.05886,1.7208,0.74869,1.15859,0,0.82755,0.69614,0.78469,0.48929,0.81744,0.68809,0.76806,0.44609,1.39019,2.37686,1.03184,1.37987,0,0.000975231,0.000975231,0.000975231
31,1446.45,1.02645,1.66969,0.72709,1.14455,0,0.87688,0.73718,0.83603,0.54805,0.86754,0.7263,0.81696,0.48872,1.27962,2.26715,0.94474,1.25113,0,0.000973571,0.000973571,0.000973571
32,1497.66,1.02622,1.68729,0.72493,1.14532,0,0.87217,0.72804,0.8363,0.5556,0.85676,0.71451,0.80789,0.47676,1.25261,2.31538,0.94794,1.24449,0,0.000971858,0.000971858,0.000971858
