"mismatch_order","split","order","gt_count","pred_count","extra_predictions","missing_predictions","abs_count_diff","image","output"
"1","train","5","0","1","1","0","1","E:\mastercode\data\test\images\train\IMG_20260706_095609.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_095609_train_gt00_pred01_diff01_extra+01.jpg"
"2","train","13","4","5","1","0","1","E:\mastercode\data\test\images\train\IMG_20260706_095808.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_095808_train_gt04_pred05_diff01_extra+01.jpg"
"3","train","16","1","5","4","0","4","E:\mastercode\data\test\images\train\IMG_20260706_095828.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_095828_train_gt01_pred05_diff04_extra+04.jpg"
"4","train","18","6","7","1","0","1","E:\mastercode\data\test\images\train\IMG_20260706_095915.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_095915_train_gt06_pred07_diff01_extra+01.jpg"
"5","val","3","8","10","2","0","2","E:\mastercode\data\test\images\val\IMG_20260706_100009.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_100009_val_gt08_pred10_diff02_extra+02.jpg"
"6","val","5","6","4","-2","2","2","E:\mastercode\data\test\images\val\IMG_20260706_100025.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_100025_val_gt06_pred04_diff02_extra-02.jpg"
"7","val","6","2","3","1","0","1","E:\mastercode\data\test\images\val\IMG_20260706_100031.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_100031_val_gt02_pred03_diff01_extra+01.jpg"
"8","val","8","2","3","1","0","1","E:\mastercode\data\test\images\val\IMG_20260706_100045.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_100045_val_gt02_pred03_diff01_extra+01.jpg"
"9","val","9","6","4","-2","2","2","E:\mastercode\data\test\images\val\IMG_20260706_100053.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_100053_val_gt06_pred04_diff02_extra-02.jpg"
"10","val","11","1","2","1","0","1","E:\mastercode\data\test\images\val\IMG_20260706_100122.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_100122_val_gt01_pred02_diff01_extra+01.jpg"
