split,order,image,output,gt_count,pred_count,extra_predictions,missing_predictions,abs_count_diff,max_conf,mean_conf
train,1,E:\mastercode\data\test\images\train\IMG_20260706_095454.jpg,E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\train\000001_extra+00_gt01_pred01_IMG_20260706_095454.jpg,1,1,0,0,0,0.2894514203071594,0.2894514203071594
train,2,E:\mastercode\data\test\images\train\IMG_20260706_095458.jpg,E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\train\000002_extra+00_gt00_pred00_IMG_20260706_095458.jpg,0,0,0,0,0,0.0,0.0
train,3,E:\mastercode\data\test\images\train\IMG_20260706_095525.jpg,E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\train\000003_extra+00_gt01_pred01_IMG_20260706_095525.jpg,1,1,0,0,0,0.9152600169181824,0.9152600169181824
train,4,E:\mastercode\data\test\images\train\IMG_20260706_095525_1.jpg,E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\train\000004_extra+00_gt01_pred01_IMG_20260706_095525_1.jpg,1,1,0,0,0,0.9119408130645752,0.9119408130645752
train,5,E:\mastercode\data\test\images\train\IMG_20260706_095609.jpg,E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\train\000005_extra+01_gt00_pred01_IMG_20260706_095609.jpg,0,1,1,0,1,0.39262890815734863,0.39262890815734863
train,6,E:\mastercode\data\test\images\train\IMG_20260706_095647.jpg,E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\train\000006_extra+00_gt05_pred05_IMG_20260706_095647.jpg,5,5,0,0,0,0.9391348361968994,0.7004674792289733
train,7,E:\mastercode\data\test\images\train\IMG_20260706_095659.jpg,E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\train\000007_extra+00_gt01_pred01_IMG_20260706_095659.jpg,1,1,0,0,0,0.9303429126739502,0.9303429126739502
train,8,E:\mastercode\data\test\images\train\IMG_20260706_095713.jpg,E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\train\000008_extra+00_gt02_pred02_IMG_20260706_095713.jpg,2,2,0,0,0,0.9307759404182434,0.9242613315582275
train,9,E:\mastercode\data\test\images\train\IMG_20260706_095734.jpg,E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\train\000009_extra+00_gt01_pred01_IMG_20260706_095734.jpg,1,1,0,0,0,0.9264686703681946,0.9264686703681946
train,10,E:\mastercode\data\test\images\train\IMG_20260706_095742.jpg,E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\train\000010_extra+00_gt01_pred01_IMG_20260706_095742.jpg,1,1,0,0,0,0.9269822239875793,0.9269822239875793
train,11,E:\mastercode\data\test\images\train\IMG_20260706_095754.jpg,E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\train\000011_extra+00_gt01_pred01_IMG_20260706_095754.jpg,1,1,0,0,0,0.9365676641464233,0.9365676641464233
train,12,E:\mastercode\data\test\images\train\IMG_20260706_095801.jpg,E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\train\000012_extra+00_gt04_pred04_IMG_20260706_095801.jpg,4,4,0,0,0,0.9245819449424744,0.8780693411827087
train,13,E:\mastercode\data\test\images\train\IMG_20260706_095808.jpg,E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\train\000013_extra+01_gt04_pred05_IMG_20260706_095808.jpg,4,5,1,0,1,0.942395806312561,0.6926759064197541
train,14,E:\mastercode\data\test\images\train\IMG_20260706_095811.jpg,E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\train\000014_extra+00_gt03_pred03_IMG_20260706_095811.jpg,3,3,0,0,0,0.8998863101005554,0.8288976550102234
train,15,E:\mastercode\data\test\images\train\IMG_20260706_095819.jpg,E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\train\000015_extra+00_gt01_pred01_IMG_20260706_095819.jpg,1,1,0,0,0,0.9290061593055725,0.9290061593055725
train,16,E:\mastercode\data\test\images\train\IMG_20260706_095828.jpg,E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\train\000016_extra+04_gt01_pred05_IMG_20260706_095828.jpg,1,5,4,0,4,0.938313364982605,0.5211767196655274
train,17,E:\mastercode\data\test\images\train\IMG_20260706_095848.jpg,E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\train\000017_extra+00_gt02_pred02_IMG_20260706_095848.jpg,2,2,0,0,0,0.936097264289856,0.8847073316574097
train,18,E:\mastercode\data\test\images\train\IMG_20260706_095915.jpg,E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\train\000018_extra+01_gt06_pred07_IMG_20260706_095915.jpg,6,7,1,0,1,0.935712993144989,0.669779189995357
train,19,E:\mastercode\data\test\images\train\IMG_20260706_095918.jpg,E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\train\000019_extra+00_gt01_pred01_IMG_20260706_095918.jpg,1,1,0,0,0,0.9376406669616699,0.9376406669616699
train,20,E:\mastercode\data\test\images\train\IMG_20260706_095955.jpg,E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\train\000020_extra+00_gt03_pred03_IMG_20260706_095955.jpg,3,3,0,0,0,0.9395735859870911,0.920233945051829
train,21,E:\mastercode\data\test\images\train\IMG_20260706_095959.jpg,E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\train\000021_extra+00_gt01_pred01_IMG_20260706_095959.jpg,1,1,0,0,0,0.9466254115104675,0.9466254115104675
train,22,E:\mastercode\data\test\images\train\IMG_20260706_100207.jpg,E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\train\000022_extra+01_gt07_pred08_IMG_20260706_100207.jpg,7,8,1,0,1,0.933007001876831,0.7048542909324169
train,23,E:\mastercode\data\test\images\train\IMG_20260706_100211.jpg,E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\train\000023_extra+00_gt04_pred04_IMG_20260706_100211.jpg,4,4,0,0,0,0.9350330829620361,0.7730001732707024
train,24,E:\mastercode\data\test\images\train\IMG_20260706_100215.jpg,E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\train\000024_extra-01_gt05_pred04_IMG_20260706_100215.jpg,5,4,-1,1,1,0.9136337041854858,0.7079040631651878
train,25,E:\mastercode\data\test\images\train\IMG_20260706_100220.jpg,E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\train\000025_extra+00_gt05_pred05_IMG_20260706_100220.jpg,5,5,0,0,0,0.9172316193580627,0.7453850030899047
