epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,31.3195,3.59171,4.55699,3.64185,2.63109,0,0.00761,0.40757,0.02675,0.00901,0.00674,0.3608,0.01871,0.00507,3.02895,4.36103,3.59434,2.35723,0,0.000331313,0.000331313,0.0672
2,58.9097,3.04061,4.15603,3.09033,2.20599,0,0.25075,0.16592,0.11789,0.04607,0.24262,0.16258,0.10751,0.03599,2.56944,4.10947,3.05782,2.06349,0,0.000662453,0.000662453,0.0341978
3,86.4176,2.71456,3.92981,2.65952,2.04334,0,0.46629,0.28619,0.26881,0.09794,0.4611,0.28619,0.26425,0.09337,2.51176,3.87568,2.53776,1.96252,0,0.000991393,0.000991393,0.00119341
4,113.709,2.49137,3.79022,2.38621,1.89669,0,0.42284,0.29176,0.2647,0.11813,0.40608,0.29621,0.25595,0.10035,2.27399,3.79004,2.42162,1.8202,0,0.0009901,0.0009901,0.0009901
5,140.858,2.36571,3.62,2.19661,1.79656,0,0.56427,0.35969,0.36828,0.18002,0.56431,0.35049,0.35963,0.16781,2.07058,3.51682,2.07153,1.71886,0,0.0009868,0.0009868,0.0009868
6,168.021,2.24007,3.50117,2.07628,1.73084,0,0.68069,0.37751,0.42468,0.22339,0.67393,0.37528,0.41107,0.2032,1.95211,3.32301,1.88402,1.64589,0,0.0009835,0.0009835,0.0009835
7,195.352,2.1119,3.2891,1.93321,1.66307,0,0.74014,0.38976,0.45466,0.23958,0.73802,0.38864,0.44556,0.22386,1.83594,3.27287,1.77164,1.57735,0,0.0009802,0.0009802,0.0009802
8,222.538,2.04484,3.27364,1.87181,1.59988,0,0.72521,0.44766,0.50432,0.2807,0.71258,0.43987,0.49511,0.26911,1.74727,3.10658,1.65327,1.51249,0,0.0009769,0.0009769,0.0009769
9,249.7,2.00954,3.21055,1.85345,1.57306,0,0.7207,0.44321,0.48442,0.27231,0.71405,0.43318,0.47161,0.25902,1.71595,3.04418,1.65383,1.47794,0,0.0009736,0.0009736,0.0009736
10,276.435,1.92828,3.05149,1.75976,1.53075,0,0.7669,0.44432,0.50609,0.27458,0.74156,0.44209,0.49571,0.26877,1.75643,3.06656,1.66173,1.49305,0,0.0009703,0.0009703,0.0009703
11,303.455,1.88001,2.99231,1.68585,1.48797,0,0.75921,0.4588,0.51871,0.31002,0.74263,0.44878,0.4977,0.28418,1.59985,2.87834,1.53082,1.40593,0,0.000967,0.000967,0.000967
12,330.479,1.85847,2.97551,1.68173,1.47384,0,0.78702,0.49332,0.54894,0.3262,0.78628,0.48775,0.53965,0.31339,1.56257,2.77461,1.45799,1.3825,0,0.0009637,0.0009637,0.0009637
13,357.484,1.74172,2.8655,1.58667,1.43127,0,0.82394,0.47946,0.5493,0.34149,0.81401,0.47274,0.53637,0.31741,1.52124,2.8069,1.45207,1.36994,0,0.0009604,0.0009604,0.0009604
14,384.617,1.71656,2.8174,1.56452,1.40143,0,0.85314,0.49109,0.57597,0.35901,0.84202,0.48441,0.56259,0.3367,1.49339,2.7201,1.41285,1.34109,0,0.0009571,0.0009571,0.0009571
15,411.79,1.74334,2.76442,1.60741,1.41551,0,0.72994,0.47857,0.49179,0.30163,0.723,0.47378,0.48626,0.28428,1.48865,2.66856,1.50401,1.33827,0,0.0009538,0.0009538,0.0009538
16,438.822,1.68115,2.76411,1.52338,1.38807,0,0.79909,0.47327,0.55753,0.3378,0.80012,0.47327,0.55496,0.32764,1.57179,2.70847,1.46755,1.37123,0,0.0009505,0.0009505,0.0009505
17,465.894,1.72548,2.78229,1.55729,1.40859,0,0.81993,0.48775,0.5646,0.36216,0.78547,0.48927,0.55834,0.34528,1.43152,2.5924,1.40185,1.30471,0,0.0009472,0.0009472,0.0009472
18,492.962,1.63387,2.71196,1.51909,1.36669,0,0.8412,0.49551,0.58487,0.36431,0.8377,0.4943,0.58107,0.35629,1.45759,2.55585,1.34954,1.29879,0,0.0009439,0.0009439,0.0009439
19,520.093,1.63363,2.61921,1.45268,1.34926,0,0.79946,0.51893,0.5863,0.36471,0.79897,0.51782,0.57896,0.35397,1.40457,2.48575,1.32035,1.28285,0,0.0009406,0.0009406,0.0009406
20,547.44,1.62324,2.55444,1.42742,1.35435,0,0.77465,0.52826,0.60143,0.38374,0.77459,0.5245,0.59403,0.36465,1.38057,2.47517,1.31617,1.27227,0,0.0009373,0.0009373,0.0009373
21,574.676,1.58689,2.54025,1.44097,1.32008,0,0.80089,0.53563,0.59124,0.38409,0.79601,0.53786,0.59111,0.36942,1.33864,2.38369,1.28036,1.24223,0,0.000934,0.000934,0.000934
22,601.834,1.5529,2.50841,1.36537,1.29633,0,0.80299,0.53103,0.59918,0.37824,0.7912,0.52324,0.59002,0.36469,1.36754,2.38241,1.28099,1.25272,0,0.0009307,0.0009307,0.0009307
23,628.841,1.52832,2.4746,1.35118,1.29476,0,0.80212,0.52227,0.60806,0.39847,0.80339,0.52227,0.602,0.38411,1.33084,2.34741,1.30107,1.23352,0,0.0009274,0.0009274,0.0009274
24,655.917,1.56027,2.47716,1.39681,1.30613,0,0.86128,0.51225,0.61426,0.39554,0.85259,0.50557,0.60038,0.38253,1.3547,2.41667,1.26299,1.24856,0,0.0009241,0.0009241,0.0009241
25,683.107,1.53583,2.50749,1.37124,1.3022,0,0.85343,0.54467,0.63639,0.40534,0.85343,0.54467,0.62704,0.38828,1.35047,2.31539,1.22623,1.24455,0,0.0009208,0.0009208,0.0009208
26,710.13,1.50693,2.40463,1.34461,1.2914,0,0.815,0.54454,0.62821,0.41029,0.79841,0.54247,0.61923,0.38703,1.27648,2.2286,1.21337,1.20661,0,0.0009175,0.0009175,0.0009175
27,737.441,1.47996,2.39568,1.3278,1.26076,0,0.78472,0.55791,0.63117,0.40922,0.80562,0.54677,0.62352,0.38613,1.28759,2.23483,1.23122,1.2063,0,0.0009142,0.0009142,0.0009142
28,764.384,1.47258,2.39511,1.29254,1.26057,0,0.74801,0.55234,0.60787,0.40582,0.74324,0.54566,0.59766,0.39034,1.26788,2.21022,1.22745,1.20543,0,0.0009109,0.0009109,0.0009109
29,791.895,1.49306,2.41129,1.29134,1.25424,0,0.79243,0.56968,0.64109,0.41519,0.80054,0.55345,0.6289,0.39891,1.297,2.23425,1.20893,1.1992,0,0.0009076,0.0009076,0.0009076
30,819.195,1.42422,2.29736,1.25501,1.23474,0,0.8493,0.55855,0.64199,0.42564,0.84379,0.55338,0.62864,0.40191,1.23735,2.20862,1.17257,1.17595,0,0.0009043,0.0009043,0.0009043
31,846.291,1.42861,2.32443,1.25988,1.22786,0,0.85494,0.56125,0.63942,0.43056,0.85155,0.55902,0.62892,0.39909,1.21501,2.2502,1.17233,1.17019,0,0.000901,0.000901,0.000901
32,873.32,1.42438,2.26551,1.24501,1.21937,0,0.82895,0.56347,0.6437,0.42681,0.82658,0.56013,0.63446,0.42093,1.26284,2.11605,1.1788,1.18219,0,0.0008977,0.0008977,0.0008977
33,900.424,1.42801,2.23644,1.26176,1.23028,0,0.78422,0.57795,0.64957,0.42717,0.8384,0.53786,0.64178,0.41741,1.25151,2.18064,1.15815,1.17417,0,0.0008944,0.0008944,0.0008944
34,927.341,1.37939,2.21728,1.20378,1.19209,0,0.83962,0.56682,0.65451,0.44122,0.86173,0.54829,0.64097,0.42037,1.1994,2.07579,1.09287,1.14995,0,0.0008911,0.0008911,0.0008911
35,954.329,1.37879,2.22575,1.2222,1.2049,0,0.82192,0.55791,0.63257,0.42455,0.81322,0.55271,0.62336,0.40786,1.18593,2.13619,1.14197,1.14962,0,0.0008878,0.0008878,0.0008878
36,981.413,1.34571,2.20922,1.18182,1.17858,0,0.81743,0.58686,0.65711,0.44841,0.82153,0.58437,0.64732,0.42621,1.14676,2.04028,1.07886,1.13653,0,0.0008845,0.0008845,0.0008845
