epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,42.2352,3.68548,4.6168,3.71703,2.74753,0,0.0056,0.32517,0.01482,0.00516,0.0043,0.24944,0.01129,0.00157,3.04601,4.49887,3.91997,2.42391,0,0.000331313,0.000331313,0.0672
2,81.3565,3.05928,4.11358,3.13036,2.29145,0,0.3484,0.15813,0.13817,0.05143,0.34104,0.15479,0.12926,0.04154,2.67549,4.14272,3.02633,2.20014,0,0.000662453,0.000662453,0.0341978
3,119.962,2.66654,3.80456,2.56648,2.06048,0,0.47916,0.29287,0.27645,0.12749,0.47109,0.28842,0.26661,0.10187,2.31436,3.80059,2.39118,1.94652,0,0.000991393,0.000991393,0.00119341
4,158.479,2.44604,3.6263,2.27815,1.92328,0,0.54486,0.30958,0.32356,0.14844,0.51867,0.31292,0.31329,0.13387,2.2339,3.56615,2.28558,1.82303,0,0.0009901,0.0009901,0.0009901
5,196.761,2.25792,3.39178,2.08899,1.76602,0,0.6844,0.38976,0.43744,0.22127,0.69816,0.39087,0.43751,0.2095,1.95112,3.22326,1.86648,1.67515,0,0.0009868,0.0009868,0.0009868
6,235.31,2.13428,3.28136,1.9872,1.70239,0,0.68709,0.43318,0.47586,0.25876,0.68993,0.43207,0.47052,0.25322,1.80335,3.09025,1.71238,1.59301,0,0.0009835,0.0009835,0.0009835
7,273.723,2.02228,3.06638,1.8633,1.62722,0,0.69453,0.40312,0.47402,0.26871,0.69069,0.40089,0.46389,0.25829,1.7681,3.02097,1.73185,1.54728,0,0.0009802,0.0009802,0.0009802
8,312.006,1.97429,3.07989,1.82728,1.5687,0,0.73862,0.451,0.50589,0.30751,0.74494,0.44989,0.50417,0.28754,1.64456,2.81299,1.588,1.45816,0,0.0009769,0.0009769,0.0009769
9,350.222,1.89018,3.00952,1.76375,1.52875,0,0.78959,0.47327,0.53602,0.32257,0.78879,0.47216,0.53222,0.31673,1.61554,2.77984,1.5001,1.4445,0,0.0009736,0.0009736,0.0009736
10,388.495,1.79763,2.81093,1.67363,1.47792,0,0.85337,0.46882,0.56454,0.34396,0.85277,0.46659,0.5578,0.33996,1.56027,2.67403,1.43587,1.39807,0,0.0009703,0.0009703,0.0009703
11,427.026,1.75244,2.74374,1.57828,1.43306,0,0.74427,0.47439,0.51563,0.32006,0.72785,0.46882,0.50653,0.30577,1.57025,2.75295,1.52912,1.40804,0,0.000967,0.000967,0.000967
12,465.537,1.72882,2.74842,1.61306,1.4263,0,0.76071,0.52116,0.58896,0.37252,0.75485,0.51893,0.58158,0.36194,1.45577,2.56779,1.3598,1.3441,0,0.0009637,0.0009637,0.0009637
13,503.97,1.62927,2.63483,1.5108,1.36554,0,0.75014,0.52116,0.55621,0.3561,0.75579,0.51225,0.54535,0.33964,1.38963,2.4821,1.37509,1.31423,0,0.0009604,0.0009604,0.0009604
14,542.382,1.61438,2.55982,1.50007,1.35904,0,0.78483,0.53675,0.59975,0.38944,0.77406,0.53793,0.59226,0.38059,1.38194,2.5044,1.30509,1.30026,0,0.0009571,0.0009571,0.0009571
15,580.7,1.59638,2.48377,1.47497,1.34513,0,0.8295,0.49303,0.57613,0.37872,0.75969,0.5167,0.56915,0.36006,1.34394,2.44327,1.28238,1.27262,0,0.0009538,0.0009538,0.0009538
16,619.05,1.54344,2.47308,1.40296,1.33206,0,0.82143,0.5481,0.61482,0.40223,0.81487,0.54407,0.6119,0.38908,1.31038,2.39846,1.25647,1.26175,0,0.0009505,0.0009505,0.0009505
17,657.3,1.53127,2.5072,1.4118,1.32749,0,0.85608,0.52004,0.60488,0.39333,0.83534,0.5141,0.59281,0.37859,1.33041,2.45019,1.23739,1.26685,0,0.0009472,0.0009472,0.0009472
18,695.652,1.52658,2.52214,1.42945,1.32031,0,0.80875,0.53452,0.60356,0.40038,0.79741,0.53007,0.59422,0.38548,1.31089,2.31474,1.23526,1.24726,0,0.0009439,0.0009439,0.0009439
19,734.002,1.49584,2.37783,1.37629,1.28294,0,0.85308,0.54314,0.62352,0.40245,0.83381,0.53898,0.61241,0.39231,1.30306,2.29253,1.22265,1.24273,0,0.0009406,0.0009406,0.0009406
20,772.355,1.46572,2.34746,1.34159,1.28345,0,0.83747,0.54343,0.61475,0.41022,0.8234,0.53998,0.60618,0.39505,1.24462,2.25998,1.23041,1.20789,0,0.0009373,0.0009373,0.0009373
21,810.418,1.42994,2.30095,1.34682,1.26152,0,0.83743,0.54496,0.62288,0.42298,0.84705,0.5427,0.62199,0.40963,1.23021,2.2225,1.18085,1.20474,0,0.000934,0.000934,0.000934
22,848.775,1.39932,2.22775,1.2787,1.2268,0,0.88745,0.54009,0.64181,0.43473,0.84783,0.546,0.62739,0.42002,1.21285,2.16683,1.13828,1.18361,0,0.0009307,0.0009307,0.0009307
23,887.192,1.41223,2.26156,1.30202,1.24123,0,0.85654,0.55122,0.63176,0.42436,0.85061,0.54677,0.62573,0.41005,1.2363,2.15379,1.16636,1.19618,0,0.0009274,0.0009274,0.0009274
24,925.352,1.41763,2.22896,1.31528,1.24602,0,0.85551,0.53229,0.62509,0.43046,0.82785,0.5355,0.61354,0.41132,1.20274,2.16694,1.16494,1.18304,0,0.0009241,0.0009241,0.0009241
