epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,57.4012,4.01868,4.1552,2.79537,2.21231,0,0.04807,0.52058,0.10449,0.03324,0.04553,0.49314,0.0872,0.02465,3.28559,2.90385,3.05864,1.71176,0,0.000330383,0.000330383,0.067292
2,101.696,2.93477,3.59767,2.08752,1.63603,0,0.39375,0.36426,0.28123,0.08398,0.40381,0.37705,0.30445,0.097,2.6728,2.38995,1.9823,1.49764,0,0.000661527,0.000661527,0.0342898
3,146.622,2.44729,3.33315,1.78736,1.40896,0,0.55171,0.52115,0.50095,0.21134,0.53358,0.48736,0.45447,0.16132,2.067,2.47563,1.74774,1.26123,0,0.00099047,0.00099047,0.00128545
4,189.399,2.23679,3.13557,1.62498,1.32885,0,0.56755,0.58371,0.52893,0.23481,0.5568,0.54513,0.4888,0.18382,1.92665,2.20613,1.46479,1.18859,0,0.0009901,0.0009901,0.0009901
5,231.932,2.04701,2.97543,1.49161,1.2339,0,0.59952,0.5852,0.55624,0.25916,0.56584,0.53971,0.48867,0.17008,1.84339,2.33907,1.46392,1.15054,0,0.0009868,0.0009868,0.0009868
6,274.293,1.94536,2.91594,1.41552,1.20986,0,0.6213,0.60758,0.62077,0.31643,0.55327,0.53285,0.50289,0.17176,1.70144,2.43208,1.40751,1.10277,0,0.0009835,0.0009835,0.0009835
7,315.841,1.90335,2.86559,1.37128,1.17048,0,0.64372,0.63755,0.6526,0.33253,0.61351,0.57077,0.56935,0.21924,1.67517,2.20038,1.28528,1.08668,0,0.0009802,0.0009802,0.0009802
8,357.011,1.85682,2.82801,1.33334,1.16287,0,0.65513,0.60555,0.6404,0.3418,0.58283,0.50589,0.49042,0.16016,1.6271,2.42514,1.32513,1.0699,0,0.0009769,0.0009769,0.0009769
9,400.136,1.76648,2.73904,1.25864,1.12205,0,0.65916,0.65523,0.68294,0.37092,0.62175,0.56374,0.56134,0.19895,1.53768,2.27992,1.27475,1.04434,0,0.0009736,0.0009736,0.0009736
10,444.878,1.72056,2.71618,1.24749,1.1051,0,0.68096,0.64404,0.69473,0.36626,0.65825,0.54404,0.57659,0.23084,1.61488,2.23183,1.16057,1.05992,0,0.0009703,0.0009703,0.0009703
