epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,11.5991,1.32755,2.63668,2.17483,1.15547,0,0.00147,0.12865,0.00332,0.00058,0.00087,0.07602,0.00032,0.00011,2.74129,135.023,4.28276,5.45745,0,0.00325758,0.00325758,0.0706818
2,20.7348,1.60426,2.37598,1.73424,1.32761,0,0.00983,0.15789,0.0049,0.00156,0.00213,0.18713,0.00047,0.0001,2.75484,202.683,4.69956,2.58554,0,0.00656916,0.00656916,0.0406601
3,30.0403,1.58583,2.4042,1.83637,1.30581,0,7e-05,0.00585,0,0,0,0,0,0,3.31154,3828.15,12815.6,11.5865,0,0.00985874,0.00985874,0.0106163
4,39.6087,1.50895,2.54344,1.60465,1.29298,0,0.00708,0.40936,0.00353,0.00146,0.00358,0.18713,0.00084,0.00027,2.40684,44.7448,458.691,2.73882,0,0.009901,0.009901,0.009901
5,49.5136,1.55505,2.41265,1.67042,1.31621,0,0.00479,0.30994,0.00175,0.00072,0.00479,0.30994,0.00175,0.0007,2.71121,53.8499,4928.27,3.28967,0,0.009868,0.009868,0.009868
6,58.706,1.60563,2.35783,1.6057,1.28578,0,0.10757,0.39766,0.07342,0.0363,0.10915,0.40351,0.07452,0.04,1.73009,6.58463,51.4702,1.72597,0,0.009835,0.009835,0.009835
7,67.7821,1.49535,2.39971,1.50585,1.30813,0,0.4606,0.46199,0.42129,0.22609,0.44568,0.45029,0.41178,0.24149,1.67273,2.94403,6.13197,1.50903,0,0.009802,0.009802,0.009802
8,76.3488,1.44027,2.16609,1.51607,1.23229,0,0.6759,0.45029,0.49237,0.3214,0.68852,0.47831,0.50548,0.34275,1.4784,13.7175,3.21258,1.36877,0,0.009769,0.009769,0.009769
9,84.8973,1.45509,2.19097,1.59691,1.2335,0,0.6225,0.5111,0.53289,0.31664,0.62579,0.5281,0.53544,0.35133,1.44776,4.77613,6.65854,1.30287,0,0.009736,0.009736,0.009736
10,93.8036,1.37715,2.14898,1.36398,1.23853,0,0.52585,0.18713,0.17408,0.09595,0.5059,0.18713,0.17269,0.10909,2.25477,6.39099,3.95323,2.11525,0,0.009703,0.009703,0.009703
