epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,19.0448,1.43104,2.51582,2.11048,1.18968,0,0.00245,0.18929,0.00089,0.00015,0,0,0,0,3.54902,158.693,4.37633,4.97625,0,0.00328125,0.00328125,0.0704687
2,34.1422,1.5525,2.23418,1.6449,1.25868,0,0.25714,0.325,0.18454,0.08843,0.0013,0.1,0.00013,3e-05,2.03641,80.8086,6.75989,2.25804,0,0.00659276,0.00659276,0.0404469
3,47.4053,1.46846,2.30066,1.56363,1.21052,0,0.03328,0.75,0.04217,0.02208,0.02552,0.575,0.02468,0.00608,1.43588,8.09116,88.6681,1.39979,0,0.00988226,0.00988226,0.0104031
4,60.2382,1.41185,2.11818,1.48868,1.198,0,0.1115,0.53929,0.08682,0.04825,0.10964,0.56786,0.08626,0.04908,1.45004,3.03152,15.6435,1.38984,0,0.009901,0.009901,0.009901
5,74.1128,1.37113,2.16915,1.47121,1.19514,0,0.76519,0.58191,0.66551,0.4526,0.76519,0.58191,0.66307,0.46843,1.18158,2.16965,2.98347,1.1408,0,0.009868,0.009868,0.009868
6,88.3595,1.37307,2.06686,1.43547,1.1867,0,0.79069,0.56786,0.68045,0.4506,0.79656,0.57143,0.67997,0.48075,1.2226,2.33048,1.64224,1.14705,0,0.009835,0.009835,0.009835
7,101.492,1.29107,1.91353,1.34998,1.161,0,0.8105,0.58046,0.68951,0.47347,0.80574,0.57772,0.68173,0.47218,1.23621,2.23684,2.15788,1.17186,0,0.009802,0.009802,0.009802
8,116.397,1.26595,1.84941,1.31827,1.1545,0,0.75057,0.63407,0.67184,0.4554,0.75057,0.63407,0.66042,0.4288,1.17287,2.63071,1.58628,1.13622,0,0.009769,0.009769,0.009769
9,129.699,1.26306,1.84999,1.30547,1.12201,0,0.73107,0.38929,0.48417,0.33556,0.73107,0.38929,0.47597,0.34391,1.37877,3.05204,2.31964,1.26687,0,0.009736,0.009736,0.009736
10,142.693,1.15647,1.6834,1.17043,1.08718,0,0.80376,0.62857,0.7063,0.52895,0.79919,0.625,0.6974,0.51109,1.05517,2.01082,1.43721,1.06559,0,0.009703,0.009703,0.009703
11,157.372,1.16268,1.60434,1.27541,1.0895,0,0.857,0.675,0.76611,0.55859,0.86514,0.68733,0.7662,0.56184,1.04614,1.85781,1.43649,1.06816,0,0.00967,0.00967,0.00967
12,170.691,1.15795,1.74563,1.22872,1.07427,0,0.67949,0.60714,0.66364,0.4813,0.68349,0.61071,0.66207,0.4739,1.08942,1.86467,1.97192,1.11139,0,0.009637,0.009637,0.009637
13,183.676,1.18431,1.75407,1.21443,1.10588,0,0.87357,0.66429,0.76759,0.57226,0.86887,0.66071,0.76499,0.56544,1.02713,1.73731,1.1718,1.06079,0,0.009604,0.009604,0.009604
14,196.992,1.13076,1.6592,1.12386,1.06103,0,0.88108,0.71444,0.79979,0.59175,0.88108,0.71444,0.79905,0.60329,0.99648,1.62806,0.98707,1.04607,0,0.009571,0.009571,0.009571
15,211.347,1.10885,1.64994,1.13727,1.07235,0,0.84056,0.675,0.77143,0.58985,0.83775,0.67143,0.7683,0.56497,0.97526,1.72031,1.36068,1.0429,0,0.009538,0.009538,0.009538
16,226.404,1.10381,1.59015,1.18293,1.05176,0,0.89164,0.66786,0.77083,0.56875,0.89164,0.66786,0.77081,0.5634,0.98815,1.76322,1.18212,1.05641,0,0.009505,0.009505,0.009505
17,239.603,1.06737,1.60554,1.13003,1.05208,0,0.85175,0.72143,0.79167,0.59921,0.84809,0.72143,0.78822,0.59369,0.955,1.63852,1.0826,1.02326,0,0.009472,0.009472,0.009472
18,252.864,1.03825,1.45096,1.08045,1.0436,0,0.90626,0.69643,0.79071,0.6041,0.90162,0.69286,0.79118,0.61,0.95535,1.66931,1.29421,1.0179,0,0.009439,0.009439,0.009439
19,266.973,1.0397,1.49967,1.02918,1.02619,0,0.82831,0.675,0.76376,0.57521,0.86439,0.66015,0.76569,0.54465,0.97132,1.56843,1.81868,1.02934,0,0.009406,0.009406,0.009406
20,280.818,1.08969,1.52617,1.15049,1.06475,0,0.83931,0.6529,0.74033,0.57454,0.83931,0.6529,0.74034,0.55603,0.98603,1.66197,1.47128,1.04562,0,0.009373,0.009373,0.009373
21,295.315,1.02989,1.41069,1.06447,1.03636,0,0.86673,0.70714,0.81229,0.61484,0.86673,0.70714,0.81113,0.61748,0.91702,1.45585,0.98368,1.012,0,0.00934,0.00934,0.00934
22,310.239,1.00549,1.39436,0.97763,1.01699,0,0.84162,0.725,0.81038,0.60989,0.84162,0.725,0.8094,0.59733,0.9309,1.48624,1.10639,1.02166,0,0.009307,0.009307,0.009307
23,326.539,0.98022,1.39493,0.98386,1.01484,0,0.88699,0.73571,0.82134,0.62262,0.89654,0.73929,0.82067,0.61893,0.93122,1.50962,0.91931,1.00066,0,0.009274,0.009274,0.009274
24,341.314,0.98289,1.40604,0.98347,1.0206,0,0.88638,0.71786,0.80972,0.62751,0.88638,0.71786,0.80734,0.62189,0.89154,1.53463,0.93087,0.99428,0,0.009241,0.009241,0.009241
25,357.407,0.94299,1.41782,0.94758,1.0053,0,0.85318,0.72857,0.80039,0.63251,0.85318,0.72857,0.80109,0.60657,0.85665,1.448,1.22772,0.98782,0,0.009208,0.009208,0.009208
26,375.331,0.98543,1.43512,0.98461,1.00476,0,0.84359,0.73196,0.80533,0.63463,0.8438,0.73214,0.80216,0.62379,0.88143,1.41675,1.35946,0.98823,0,0.009175,0.009175,0.009175
27,389.484,0.94926,1.31017,0.93394,1.00489,0,0.84387,0.77211,0.82947,0.6418,0.84387,0.77211,0.82833,0.6171,0.8764,1.43014,0.93466,0.99372,0,0.009142,0.009142,0.009142
28,403.39,0.93659,1.3333,0.93491,0.97973,0,0.85489,0.75749,0.83954,0.65812,0.85489,0.75749,0.83534,0.65908,0.85124,1.34321,0.9532,0.98099,0,0.009109,0.009109,0.009109
29,417.575,0.90538,1.25562,0.9095,0.973,0,0.85024,0.75,0.82888,0.65008,0.85024,0.75,0.82602,0.62145,0.84876,1.33642,0.92106,0.98284,0,0.009076,0.009076,0.009076
30,432.016,0.96633,1.39463,0.98215,0.99578,0,0.89544,0.73571,0.82101,0.63484,0.89544,0.73571,0.81944,0.64267,0.88174,1.47908,0.85861,0.9791,0,0.009043,0.009043,0.009043
31,448.107,0.92545,1.30781,0.90628,0.99038,0,0.79466,0.70357,0.77038,0.58981,0.78659,0.69643,0.76433,0.56288,0.86982,1.61288,1.22571,0.99478,0,0.00901,0.00901,0.00901
32,462.549,0.97407,1.32461,0.98162,0.99396,0,0.83696,0.7517,0.82075,0.63789,0.83679,0.75074,0.81564,0.63087,0.85914,2.69718,1.06583,0.98398,0,0.008977,0.008977,0.008977
33,478.58,0.91778,1.32971,0.86934,0.96455,0,0.88656,0.78214,0.83878,0.67171,0.88656,0.78214,0.83461,0.64179,0.80764,2.86635,1.17078,0.96537,0,0.008944,0.008944,0.008944
34,495.115,0.91716,1.33033,0.91137,0.96991,0,0.90795,0.675,0.80551,0.64199,0.90795,0.675,0.79901,0.63624,0.83525,1.51513,1.39835,0.9794,0,0.008911,0.008911,0.008911
35,509.276,0.93993,1.22768,0.95,0.98099,0,0.87926,0.76429,0.82219,0.65921,0.87926,0.76429,0.82004,0.64825,0.80388,1.31209,1.31551,0.95723,0,0.008878,0.008878,0.008878
36,524.315,0.88779,1.21223,0.89909,0.97564,0,0.89471,0.74643,0.84363,0.67369,0.89471,0.74643,0.83823,0.65738,0.79571,1.26429,0.88484,0.94689,0,0.008845,0.008845,0.008845
37,538.631,0.92398,1.39397,0.9191,0.98155,0,0.87872,0.7763,0.82623,0.64906,0.87872,0.7763,0.82432,0.63209,0.79399,1.2149,0.84896,0.95077,0,0.008812,0.008812,0.008812
38,553.409,0.88357,1.23518,0.88333,0.97883,0,0.9099,0.75742,0.85578,0.67451,0.92278,0.75,0.84985,0.66118,0.84726,1.36742,0.79472,0.95813,0,0.008779,0.008779,0.008779
39,566.936,0.9646,1.31782,0.95639,1.00261,0,0.90283,0.79637,0.86637,0.68052,0.88575,0.80295,0.86857,0.66727,0.82384,1.24923,0.77899,0.96347,0,0.008746,0.008746,0.008746
40,580.141,0.89969,1.21392,0.90822,0.98509,0,0.85621,0.77857,0.83603,0.67864,0.85308,0.76731,0.84102,0.65508,0.79513,1.27429,0.91812,0.95547,0,0.008713,0.008713,0.008713
41,594.873,0.85567,1.13833,0.87157,0.9556,0,0.90918,0.74286,0.85365,0.69311,0.90948,0.73929,0.8504,0.67655,0.77391,1.34602,0.75166,0.94197,0,0.00868,0.00868,0.00868
42,609.922,0.86043,1.13716,0.85101,0.96263,0,0.88912,0.80188,0.86776,0.68684,0.88912,0.80188,0.8676,0.67635,0.78899,1.35346,0.81492,0.93909,0,0.008647,0.008647,0.008647
43,624.756,0.85606,1.13797,0.83617,0.95349,0,0.9141,0.775,0.87136,0.69793,0.9141,0.775,0.86709,0.67746,0.7761,1.26265,0.81825,0.93234,0,0.008614,0.008614,0.008614
44,641.224,0.89203,1.16401,0.8524,0.95415,0,0.89673,0.8,0.86774,0.69408,0.92398,0.78135,0.86354,0.65107,0.75981,1.35484,0.77594,0.93663,0,0.008581,0.008581,0.008581
