epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,43.6657,2.68758,3.67322,2.73858,2.50461,0,0.06073,0.04233,0.00436,0.00094,0.06323,0.04407,0.00438,0.00099,2.94217,5.05209,4.80271,2.48681,0,0.000331019,0.000331019,0.0672292
2,85.1446,1.97129,3.09159,1.91035,1.87179,0,0.35321,0.20876,0.17633,0.05247,0.38846,0.23601,0.20897,0.06391,2.51136,3.52588,3.07164,2.32093,0,0.000662159,0.000662159,0.034227
3,127.541,1.72282,2.87301,1.61416,1.66466,0,0.61815,0.40823,0.44315,0.19678,0.6381,0.40128,0.444,0.18895,1.94191,3.23483,2.29716,1.80259,0,0.0009911,0.0009911,0.00122258
4,170.23,1.57598,2.67741,1.41936,1.55036,0,0.63248,0.49846,0.5101,0.22762,0.61984,0.49232,0.49582,0.21181,1.88227,3.14989,2.21847,1.86383,0,0.0009901,0.0009901,0.0009901
5,211.692,1.50223,2.57581,1.3282,1.49429,0,0.74476,0.50507,0.59085,0.32984,0.73609,0.49411,0.57757,0.29909,1.62037,2.97019,2.01806,1.60788,0,0.0009868,0.0009868,0.0009868
6,253.553,1.42585,2.4405,1.2425,1.42336,0,0.71306,0.5187,0.59119,0.309,0.70581,0.51232,0.57417,0.27758,1.71691,3.02889,1.74509,1.62104,0,0.0009835,0.0009835,0.0009835
7,294.789,1.38929,2.32862,1.18532,1.39893,0,0.659,0.48942,0.52246,0.23919,0.663,0.48362,0.5205,0.22735,1.96069,3.02167,1.93577,1.80817,0,0.0009802,0.0009802,0.0009802
8,336.111,1.35918,2.30233,1.14507,1.3776,0,0.79807,0.55059,0.63768,0.35306,0.79872,0.53291,0.61868,0.31717,1.62104,2.81369,1.65358,1.55008,0,0.0009769,0.0009769,0.0009769
9,377.351,1.32868,2.26233,1.10891,1.35403,0,0.72535,0.50309,0.56479,0.28712,0.71064,0.4958,0.55146,0.24656,1.79719,3.14227,1.76813,1.67703,0,0.0009736,0.0009736,0.0009736
10,418.501,1.29144,2.19149,1.06143,1.31888,0,0.78074,0.6051,0.68336,0.38043,0.77782,0.59176,0.66546,0.33746,1.53137,2.86639,1.47485,1.45595,0,0.0009703,0.0009703,0.0009703
11,460.463,1.26995,2.14476,1.03737,1.31024,0,0.77856,0.61931,0.68961,0.38173,0.76524,0.60974,0.66937,0.32314,1.55589,2.99936,1.57903,1.49054,0,0.000967,0.000967,0.000967
12,502.259,1.25589,2.11886,1.01658,1.29341,0,0.79745,0.6225,0.70235,0.40709,0.78894,0.61467,0.68878,0.36707,1.51389,2.63571,1.40348,1.45464,0,0.0009637,0.0009637,0.0009637
13,544.283,1.23744,2.09034,0.99006,1.27701,0,0.84358,0.65047,0.74306,0.4451,0.8301,0.64366,0.72851,0.39659,1.42097,2.55497,1.28281,1.38586,0,0.0009604,0.0009604,0.0009604
14,586.03,1.21383,2.03273,0.96389,1.2686,0,0.78631,0.58573,0.66324,0.37574,0.78125,0.58196,0.65572,0.33947,1.61642,2.63999,1.47133,1.54396,0,0.0009571,0.0009571,0.0009571
15,627.45,1.19656,2.01353,0.92371,1.25594,0,0.81549,0.62105,0.71302,0.3996,0.80952,0.61979,0.70215,0.36897,1.59695,2.60024,1.30886,1.5396,0,0.0009538,0.0009538,0.0009538
16,668.738,1.17556,1.95952,0.90391,1.23857,0,0.6722,0.4497,0.49393,0.24834,0.64577,0.43201,0.46381,0.1959,1.94286,3.28252,1.82695,1.88114,0,0.0009505,0.0009505,0.0009505
