epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,57.0238,3.59631,4.91359,3.6677,3.66184,0,0.00611,0.43288,0.00486,0.00103,0.00636,0.45057,0.00518,0.00117,2.71643,19.044,3.52897,2.98788,0,0.000331019,0.000331019,0.0672292
2,104.077,3.33318,3.64568,3.01281,3.07437,0,0.06231,0.07046,0.00818,0.00231,0.06002,0.0635,0.00709,0.00172,3.20163,259.172,5.74551,4.50958,0,0.000662159,0.000662159,0.034227
3,152.841,2.78158,3.37909,2.64103,2.83619,0,0.19347,0.19948,0.09735,0.02795,0.19197,0.18382,0.08912,0.02541,2.97195,21.7645,5.34996,3.31926,0,0.0009911,0.0009911,0.00122258
4,201.646,2.43058,3.20859,2.36602,2.51839,0,0.14627,0.14961,0.06612,0.02083,0.14943,0.15367,0.06872,0.02073,3.08658,125.653,4.1331,3.89734,0,0.0009901,0.0009901,0.0009901
5,249.852,2.20832,3.14091,2.14197,2.32949,0,0.24368,0.17512,0.12835,0.04934,0.24018,0.1757,0.12566,0.04743,2.58902,53.72,3.30233,3.20045,0,0.0009868,0.0009868,0.0009868
6,300.56,2.08513,3.05878,1.9924,2.20935,0,0.23607,0.27428,0.15161,0.06148,0.23636,0.26239,0.14895,0.05517,2.26757,75.8343,3.60356,2.93716,0,0.0009835,0.0009835,0.0009835
7,349.788,1.98361,2.976,1.86243,2.1184,0,0.40145,0.29574,0.26674,0.12478,0.39733,0.29052,0.25973,0.10578,2.09294,26.9796,2.73957,2.789,0,0.0009802,0.0009802,0.0009802
8,398.466,1.88214,2.94625,1.75555,2.03345,0,0.28089,0.35054,0.24792,0.11593,0.27605,0.34358,0.24078,0.09874,2.14543,25.1345,2.68861,2.72263,0,0.0009769,0.0009769,0.0009769
9,447.452,1.81725,2.91651,1.67755,1.96596,0,0.51362,0.43955,0.40873,0.19194,0.51737,0.4283,0.40301,0.17564,1.82821,7.95491,2.561,2.23403,0,0.0009736,0.0009736,0.0009736
10,497.411,1.75115,2.84666,1.59102,1.89581,0,0.5564,0.46477,0.48196,0.24851,0.55482,0.45346,0.464,0.2091,1.75095,5.60925,2.83856,2.15296,0,0.0009703,0.0009703,0.0009703
