epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,5.21122,3.13537,3.27982,0.73682,7.14841,2.48105,0,0,0,0,0,0,0,0,2.878,2.52584,0.69947,5.02367,2.19386,0.00015,5e-05,0.00015,5e-05,0.09515,0.09505,0.00015,5e-05
2,8.21196,2.83963,3.45212,0.72534,6.25967,2.31295,0,0,0,0,0,0,0,0,2.77929,2.53402,0.6989,4.95192,2.11955,0.000329991,0.000109997,0.000329991,0.000109997,0.08933,0.08911,0.000329991,0.000109997
3,11.2862,2.94356,3.38559,0.72987,6.09289,2.4288,0,0,0,0,0,0,0,0,2.64223,2.51986,0.6974,4.87188,2.01256,0.000509945,0.000169982,0.000509945,0.000169982,0.0835099,0.08317,0.000509945,0.000169982
4,13.9323,2.78301,3.35697,0.72503,6.02223,2.12689,0,0,0,0,0,0,0,0,2.47072,2.56628,0.697,4.76417,1.91629,0.000689831,0.000229944,0.000689831,0.000229944,0.0776898,0.0772299,0.000689831,0.000229944
5,16.5978,2.57231,3.13478,0.71591,5.73479,1.95751,0.00011,0.04,3e-05,0,0,0,0,0,2.23136,2.58316,0.69568,4.61627,1.72988,0.000869622,0.000289874,0.000869622,0.000289874,0.0718696,0.0712899,0.000869622,0.000289874
6,19.231,2.10411,3.23645,0.72246,5.17047,1.74646,0.0001,0.04,9e-05,2e-05,0,0,0,0,2.07311,2.60207,0.69394,4.43437,1.57161,0.00104929,0.000349763,0.00104929,0.000349763,0.0660493,0.0653498,0.00104929,0.000349763
7,21.8872,2.06373,3.24205,0.71811,5.02971,1.5931,0.00027,0.05429,5e-05,2e-05,0,0,0,0,1.85284,2.61555,0.69316,4.26032,1.45126,0.0012288,0.0004096,0.0012288,0.0004096,0.0602288,0.0594096,0.0012288,0.0004096
8,24.5177,1.81491,3.35375,0.72464,4.62086,1.42029,0.8598,0.02857,0.01792,0.0126,0,0,0,0,1.82149,2.65714,0.69324,3.94013,1.38467,0.00140813,0.000469375,0.00140813,0.000469375,0.0544081,0.0534694,0.00140813,0.000469375
9,27.1413,1.96242,3.25677,0.72048,4.65313,1.47696,0.83169,0.07143,0.03713,0.0202,0.00021,0.02222,4e-05,1e-05,1.73852,2.64047,0.69434,5.08467,1.35158,0.00158724,0.00052908,0.00158724,0.00052908,0.0485872,0.0475291,0.00158724,0.00052908
10,29.6027,1.68441,3.28535,0.72648,3.69925,1.36196,0.66471,0.1,0.05869,0.03176,0.00032,0.06222,0.00035,7e-05,1.69997,2.59441,0.69503,4.6105,1.33191,0.00176611,0.000588704,0.00176611,0.000588704,0.0427661,0.0415887,0.00176611,0.000588704
11,32.0591,1.6533,2.96438,0.7235,3.37759,1.3541,0.65825,0.12797,0.079,0.05142,0.40185,0.02222,0.00148,0.00021,1.60091,2.5704,0.69456,5.25246,1.29538,0.00194471,0.000648237,0.00194471,0.000648237,0.0369447,0.0356482,0.00194471,0.000648237
12,34.4862,1.45098,3.2681,0.71613,3.31796,1.28844,0.67138,0.15873,0.11093,0.06672,0.20207,0.02222,0.00087,0.00017,1.55667,2.55408,0.69475,4.6824,1.28278,0.00212301,0.000707671,0.00212301,0.000707671,0.031123,0.0297077,0.00212301,0.000707671
13,36.9312,1.58925,3.08074,0.71571,3.12752,1.31178,0.13264,0.41333,0.12626,0.07665,0.00749,0.05079,0.00306,0.00061,1.54243,2.55324,0.69423,5.01998,1.25189,0.00230098,0.000766995,0.00230098,0.000766995,0.025301,0.023767,0.00230098,0.000766995
14,39.4532,1.58762,2.79117,0.70362,3.18647,1.28528,0.22011,0.37683,0.17959,0.10493,0.00653,0.01429,0.0035,0.00058,1.55894,2.52671,0.6933,3.24691,1.22965,0.0024786,0.000826199,0.0024786,0.000826199,0.0194786,0.0178262,0.0024786,0.000826199
15,41.7612,1.47265,2.80303,0.7041,2.72112,1.21631,0.17425,0.42762,0.18367,0.10245,0.2157,0.02857,0.00458,0.00058,1.53689,2.50502,0.69226,4.77905,1.22961,0.00265582,0.000885274,0.00265582,0.000885274,0.0136558,0.0118853,0.00265582,0.000885274
16,44.3599,1.49659,2.79464,0.70194,2.7544,1.22239,0.26238,0.55454,0.22166,0.12677,0.22645,0.13426,0.01142,0.00121,1.5333,2.46695,0.69249,3.89915,1.22404,0.00283263,0.00094421,0.00283263,0.00094421,0.00783263,0.00594421,0.00283263,0.00094421
17,46.6461,1.48109,2.80579,0.69913,2.71647,1.21661,0.31668,0.40625,0.22671,0.13032,0.02816,0.10857,0.00993,0.00114,1.53591,2.47388,0.69103,2.6274,1.19982,0.0029792,0.000993068,0.0029792,0.000993068,0.0029792,0.000993068,0.0029792,0.000993068
18,49.1812,1.42616,2.74633,0.69823,2.62422,1.12955,0.28187,0.4,0.19915,0.11787,0.01338,0.05429,0.00693,0.00179,1.48613,2.45362,0.69052,2.6162,1.1744,0.00297653,0.000992177,0.00297653,0.000992177,0.00297653,0.000992177,0.00297653,0.000992177
19,51.5493,1.35208,2.71312,0.70128,2.58882,1.1413,0.34572,0.36095,0.16967,0.10332,0.23184,0.01429,0.00832,0.00191,1.47835,2.39621,0.69056,3.10529,1.17276,0.0029737,0.000991232,0.0029737,0.000991232,0.0029737,0.000991232,0.0029737,0.000991232
20,54.2651,1.45879,2.87367,0.69923,2.6007,1.18295,0.30328,0.52984,0.20696,0.10621,0.21484,0.02857,0.01067,0.0046,1.44279,2.35185,0.69133,3.2496,1.14315,0.0029707,0.000990234,0.0029707,0.000990234,0.0029707,0.000990234,0.0029707,0.000990234
21,56.6884,1.31131,2.67822,0.69931,2.54503,1.1241,0.313,0.48698,0.20744,0.11864,0.21676,0.06857,0.01728,0.0047,1.44727,2.37102,0.68894,2.59086,1.12418,0.00296755,0.000989183,0.00296755,0.000989183,0.00296755,0.000989183,0.00296755,0.000989183
22,59.1986,1.39529,2.88076,0.69869,2.52675,1.14817,0.31155,0.54413,0.18958,0.10831,0.8196,0.02857,0.01067,0.00341,1.43126,2.31134,0.69021,2.73567,1.12662,0.00296424,0.000988079,0.00296424,0.000988079,0.00296424,0.000988079,0.00296424,0.000988079
23,61.5595,1.39345,2.78018,0.70011,2.37085,1.0785,0.28863,0.50413,0.18,0.09972,0.21268,0.06508,0.00415,0.00046,1.41048,2.30285,0.69137,2.89649,1.1169,0.00296076,0.000986922,0.00296076,0.000986922,0.00296076,0.000986922,0.00296076,0.000986922
24,64.1757,1.30888,2.63102,0.69776,2.34761,1.08612,0.30045,0.55206,0.16277,0.08899,0.21498,0.07651,0.00763,0.00103,1.44023,2.24429,0.69479,3.0967,1.13416,0.00295713,0.000985711,0.00295713,0.000985711,0.00295713,0.000985711,0.00295713,0.000985711
25,66.5668,1.29301,2.50582,0.69931,2.20385,1.06834,0.20195,0.5127,0.19619,0.10477,0.4222,0.06857,0.00884,0.00122,1.44765,2.22108,0.6959,3.02458,1.1397,0.00295335,0.000984449,0.00295335,0.000984449,0.00295335,0.000984449,0.00295335,0.000984449
26,69.1825,1.27072,2.72001,0.69695,2.24712,1.05337,0.24742,0.5254,0.18924,0.10558,0.61835,0.04286,0.00631,0.00114,1.45375,2.20658,0.69357,2.85316,1.14732,0.0029494,0.000983133,0.0029494,0.000983133,0.0029494,0.000983133,0.0029494,0.000983133
