epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.36945,5.24112,0.63657,0.71305,8.14007,4.50158,0,0,0,0,0.00507,0.63235,0.00754,0.00599,4.59286,0.98657,0.59743,5.56729,4.04576,8e-05,8e-05,0.09208
2,7.37241,4.36754,0.42663,0.54154,5.37288,3.86888,0,0,0,0,0,0,0,0,4.11514,1.05191,0.4288,4.55536,3.40305,0.000169958,0.000169958,0.08317
3,10.2709,4.02598,0.37937,0.50435,4.64043,3.28319,0,0,0,0,0,0,0,0,4.14159,1.00472,0.40026,4.48144,3.1567,0.000259746,0.000259746,0.0742597
4,13.1725,3.92096,0.24131,0.49156,4.30368,3.0286,0,0,0,0,0,0,0,0,4.13677,0.99419,0.40004,4.53291,3.05552,0.000349231,0.000349231,0.0653492
5,15.9644,3.71681,0.20625,0.53956,3.81247,2.77026,0,0,0,0,0,0,0,0,4.08476,0.993,0.41103,4.63829,2.97882,0.000438283,0.000438283,0.0564383
6,18.7618,3.43601,0.17892,0.52089,3.49249,2.62009,0,0,0,0,0,0,0,0,3.9784,0.99687,0.4208,4.75627,2.92512,0.00052677,0.00052677,0.0475268
7,21.5145,3.03176,0.16423,0.49146,3.14054,2.51102,0,0,0,0,0,0,0,0,3.92123,0.99838,0.42331,4.84485,2.90586,0.000614564,0.000614564,0.0386146
8,24.3615,2.84893,0.1927,0.41557,2.80487,2.35561,0,0,0,0,0,0,0,0,3.87859,0.99864,0.42049,4.90985,2.88588,0.000701536,0.000701536,0.0297015
9,27.1432,2.62496,0.19275,0.47879,2.72468,2.27998,0,0,0,0,0,0,0,0,3.66891,0.98417,0.40925,4.87834,2.77593,0.000787559,0.000787559,0.0207876
10,29.8528,2.51759,0.21913,0.42811,2.39837,2.15214,0,0,0,0,0,0,0,0,3.32716,0.96903,0.38844,4.60186,2.62734,0.000872507,0.000872507,0.0118725
11,32.7189,2.33029,0.11731,0.43578,2.52363,2.10629,0.06667,0.11765,0.09022,0.03739,0.06667,0.11765,0.09002,0.09001,3.05643,0.95353,0.38169,4.08153,2.56531,0.000956258,0.000956258,0.00295626
12,35.5963,2.3392,0.19131,0.57633,2.34802,2.0852,0.02458,0.24294,0.07031,0.01468,0.04488,0.37647,0.12186,0.12174,3.11598,0.94396,0.36606,3.43458,2.72024,0.000970736,0.000970736,0.000970736
13,38.4448,2.07693,0.08572,0.42216,2.2197,1.97609,0.46931,0.11855,0.10584,0.02492,0.67532,0.12794,0.14417,0.14051,2.89588,0.93966,0.35548,3.01207,2.50471,0.000965239,0.000965239,0.000965239
14,41.2892,2.1473,0.19051,0.48191,2.22759,1.84898,0.55615,0.17499,0.15943,0.06332,0.54032,0.16618,0.16182,0.15842,2.39755,0.95352,0.35919,2.52429,2.14247,0.000959289,0.000959289,0.000959289
15,44.1392,2.14249,0.10122,0.49831,2.30474,1.89514,0.55179,0.17133,0.15377,0.07493,0.55896,0.18853,0.14051,0.1389,2.25873,0.94401,0.37354,2.74782,1.96459,0.000952889,0.000952889,0.000952889
16,47.0141,1.98448,0.17904,0.49305,2.07164,1.73079,0.36985,0.19565,0.16038,0.08518,0.3678,0.20029,0.13898,0.1379,2.11374,0.9551,0.35581,2.69955,1.92447,0.000946048,0.000946048,0.000946048
17,49.9225,1.87665,0.11997,0.4698,2.00835,1.7078,0.36833,0.24827,0.17146,0.08977,0.3465,0.25706,0.15388,0.15362,2.01261,0.96324,0.34679,2.34745,1.84296,0.000938772,0.000938772,0.000938772
18,52.8221,2.05348,0.08986,0.42063,2.17681,1.79611,0.63284,0.13912,0.13321,0.06311,0.62221,0.12735,0.1222,0.12124,1.98775,0.96567,0.34751,2.61732,1.76937,0.000931067,0.000931067,0.000931067
19,55.7656,1.8888,0.17943,0.45259,1.98309,1.61624,0.3724,0.28032,0.17848,0.07709,0.35946,0.24294,0.16971,0.16814,1.82278,0.96094,0.34992,2.71892,1.71612,0.000922942,0.000922942,0.000922942
20,58.7159,1.92521,0.18103,0.50668,2.0334,1.69415,0.33348,0.40324,0.22437,0.11071,0.31037,0.37147,0.20887,0.20571,1.87274,0.95895,0.35546,2.55945,1.7066,0.000914405,0.000914405,0.000914405
21,61.5892,1.86837,0.15615,0.42733,1.95116,1.583,0.33346,0.40324,0.22104,0.10804,0.31427,0.37147,0.20632,0.20418,1.83394,0.93997,0.35612,2.29747,1.63872,0.000905463,0.000905463,0.000905463
22,64.4693,1.8457,0.12975,0.41405,2.02707,1.56623,0.34638,0.27824,0.21115,0.10369,0.32465,0.37548,0.19554,0.19307,1.75657,0.93486,0.36124,2.19057,1.59357,0.000896127,0.000896127,0.000896127
