epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.44393,4.20261,6.92763,0.75313,15.6436,4.03129,0.00023,0.05405,3e-05,0,0.0008,0.18919,0.00043,0.00023,3.83418,7.92112,0.62949,5.41313,4.13158,0.00016,0.00016,0.08416
2,9.13864,3.50339,7.51609,0.63063,7.41465,3.66301,0,0,0,0,0.00225,0.10811,0.00052,0.00032,3.91576,8.60163,0.55726,3.93546,3.77491,0.000329919,0.000329919,0.0673299
3,12.5521,3.71623,7.59162,0.58454,5.3494,3.75523,0,0,0,0,0.00156,0.08108,0.00017,0.00012,3.82102,8.83425,0.53769,4.16527,3.70896,0.000499512,0.000499512,0.0504995
4,15.8191,3.458,7.82047,0.53387,5.30464,3.60086,0,0,0,0,0,0,0,0,3.79178,8.69289,0.52721,4.27567,3.66749,0.000668528,0.000668528,0.0336685
5,19.0439,3.52836,7.09743,0.51168,5.04823,3.58272,0,0,0,0,0,0,0,0,3.79475,8.52732,0.52149,4.32518,3.62539,0.000836721,0.000836721,0.0168367
6,22.118,3.9236,7.3473,0.4933,5.05573,3.68344,0,0,0,0,0,0,0,0,3.78217,8.45611,0.52215,4.313,3.59338,0.000993906,0.000993906,0.000993906
7,25.2155,3.81979,6.63657,0.52288,4.9767,3.74754,0,0,0,0,0,0,0,0,3.75312,8.349,0.5251,4.31338,3.58332,0.000991232,0.000991232,0.000991232
8,28.3628,3.89927,6.99251,0.50132,5.02433,3.76,0,0,0,0,0,0,0,0,3.74657,8.16962,0.52958,4.31377,3.57103,0.000988079,0.000988079,0.000988079
9,31.5093,3.82407,6.71319,0.51028,4.8619,3.80443,0,0,0,0,0,0,0,0,3.6923,7.94204,0.53537,4.30767,3.54655,0.000984449,0.000984449,0.000984449
10,34.8197,3.76748,6.77943,0.52906,4.89773,3.58894,0,0,0,0,0,0,0,0,3.7511,7.55324,0.53613,4.41486,3.5346,0.000980345,0.000980345,0.000980345
11,38.172,3.60017,6.25521,0.5229,4.94172,3.67202,0,0,0,0,0,0,0,0,3.73074,7.54982,0.53898,4.72976,3.51272,0.000975773,0.000975773,0.000975773
