epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,19.2669,1.2083,1.93551,3.22624,1.04466,0,0.2,0.0022,0.003,0.0027,0.2,0.0022,0.003,0.0006,1.02674,11.6023,4.25823,0.98485,0,0.000326389,0.000326389,0.0676875
2,35.3341,1.07573,1.47051,2.0239,1.01854,0,0.15362,0.47773,0.17736,0.12472,0.15526,0.52297,0.17967,0.12953,1.11052,1.56927,3.71513,0.99925,0,0.000659561,0.000659561,0.0346873
3,51.299,1.02822,1.32463,1.80868,0.99238,0,0.54528,0.28136,0.18709,0.13244,0.54528,0.28136,0.18666,0.13508,1.1125,1.59874,2.16871,1.02939,0,0.000992086,0.000992086,0.00168653
4,67.2201,1.0113,1.28507,1.70158,0.99168,0,0.20612,0.36872,0.23775,0.17499,0.20458,0.36652,0.2333,0.17787,1.03597,1.40609,2.01223,1.00352,0,0.000997803,0.000997803,0.000997803
5,83.0643,0.96618,1.2616,1.64065,0.9674,0,0.32175,0.45974,0.32525,0.24527,0.32144,0.45956,0.32416,0.23311,0.9018,1.33773,1.57831,0.94698,0,0.000996097,0.000996097,0.000996097
6,98.9001,0.97052,1.26728,1.59602,0.96121,0,0.29397,0.51252,0.34137,0.25085,0.27828,0.48927,0.33549,0.23064,0.88737,1.42164,1.54167,0.93553,0,0.000993906,0.000993906,0.000993906
7,114.743,0.93422,1.26932,1.53225,0.94651,0,0.35296,0.39702,0.33647,0.24979,0.35127,0.39482,0.32833,0.23104,0.84296,1.29233,1.59068,0.94479,0,0.000991232,0.000991232,0.000991232
8,130.578,0.88442,1.15559,1.48411,0.91757,0,0.36635,0.46734,0.35693,0.26392,0.36237,0.46056,0.35484,0.24265,0.87707,1.33147,1.60746,0.93816,0,0.000988079,0.000988079,0.000988079
9,146.439,0.90422,1.20577,1.44768,0.9367,0,0.32158,0.57304,0.38308,0.28654,0.32415,0.58037,0.37834,0.26843,0.80395,1.23536,1.57626,0.91548,0,0.000984449,0.000984449,0.000984449
10,162.244,0.89427,1.15219,1.44187,0.93256,0,0.40301,0.43965,0.36824,0.27702,0.39781,0.41809,0.36438,0.25086,0.84353,1.18458,1.55514,0.93281,0,0.000980345,0.000980345,0.000980345
