epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,59.4577,0.62059,0.84016,0.6945,0.83572,0,0.51019,0.53956,0.51257,0.39599,0.22854,0.37487,0.20029,0.09605,0.80078,10.8653,1.36804,0.93265,0,0.000326389,0.000326389,0.0676875
2,75.8189,0.61868,0.82584,0.68949,0.83456,0,0.53454,0.47702,0.49359,0.39129,0.54131,0.48403,0.49921,0.3358,0.71328,2.05753,1.29124,0.89502,0,0.000643739,0.000643739,0.0346715
3,91.7922,0.61238,0.81525,0.6671,0.83101,0,0.71881,0.55256,0.64306,0.49448,0.71537,0.5478,0.6344,0.4598,0.73405,1.22744,1.08446,0.88851,0,0.000899175,0.000899175,0.00159362
4,107.544,0.63331,0.81904,0.67605,0.83356,0,0.60977,0.55832,0.54146,0.424,0.61181,0.55927,0.54328,0.39504,0.73335,1.11756,1.1692,0.89671,0,0.000795954,0.000795954,0.000795954
5,123.333,0.61224,0.79776,0.63158,0.83023,0,0.59338,0.72663,0.69163,0.53729,0.6122,0.71626,0.69015,0.50747,0.71661,1.16212,0.97762,0.8785,0,0.000657963,0.000657963,0.000657963
6,138.995,0.59467,0.77944,0.586,0.83458,0,0.64642,0.62109,0.63004,0.50177,0.64642,0.62109,0.63505,0.46502,0.66193,1.02,1.02008,0.87745,0,0.000505,0.000505,0.000505
7,154.836,0.5798,0.74297,0.58041,0.83019,0,0.63277,0.62616,0.65968,0.52997,0.72071,0.56277,0.65343,0.49228,0.67703,1.04426,0.97476,0.89392,0,0.000352037,0.000352037,0.000352037
8,170.643,0.55795,0.75619,0.52736,0.81898,0,0.74737,0.58127,0.68169,0.54766,0.74828,0.58112,0.68118,0.50294,0.66936,1.00274,0.9497,0.88236,0,0.000214046,0.000214046,0.000214046
9,186.405,0.55174,0.72152,0.51487,0.81769,0,0.74046,0.60364,0.70153,0.56787,0.73714,0.60126,0.69593,0.52128,0.63707,0.97372,0.93676,0.87822,0,0.000104537,0.000104537,0.000104537
10,202.15,0.53653,0.71934,0.49211,0.8194,0,0.71941,0.61323,0.71013,0.56888,0.72182,0.61034,0.7025,0.53023,0.64412,0.98582,0.92206,0.88095,0,3.4227e-05,3.4227e-05,3.4227e-05
