epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.7747,2.41483,3.41014,3.1695,0.0046,0.5,0.11024,0.03176,2.24213,3.73489,2.5651,0.000330935,0.000330935,0.0672374
2,44.4612,2.27905,2.37874,2.81236,0.56931,0.54545,0.53016,0.26762,1.91543,2.28967,2.62604,0.000662076,0.000662076,0.0342352
3,64.1534,1.98199,1.92548,2.54566,0.90089,0.74376,0.81483,0.39271,1.70558,1.69632,2.19202,0.000991018,0.000991018,0.00123083
4,84.048,1.82506,1.69124,2.37616,0.9048,0.8,0.8738,0.50219,1.43368,1.30887,2.05764,0.0009901,0.0009901,0.0009901
5,103.525,1.66503,1.53909,2.18911,0.92383,0.83636,0.87491,0.52583,1.40053,1.05938,1.93106,0.0009868,0.0009868,0.0009868
6,123.257,1.54739,1.4386,2.07436,0.89595,0.86112,0.88011,0.50975,1.34345,1.10698,1.90045,0.0009835,0.0009835,0.0009835
7,142.854,1.46704,1.35403,1.97385,0.89016,0.79091,0.83321,0.52617,1.27128,1.24529,1.8594,0.0009802,0.0009802,0.0009802
8,162.734,1.41983,1.30701,1.91709,0.89332,0.83738,0.88529,0.59412,1.17944,0.96648,1.72714,0.0009769,0.0009769,0.0009769
9,182.302,1.36476,1.27295,1.85615,0.9013,0.85455,0.89839,0.58513,1.12741,1.01689,1.69502,0.0009736,0.0009736,0.0009736
10,201.602,1.29778,1.203,1.79477,0.89797,0.84545,0.9072,0.64293,1.0769,0.94239,1.62597,0.0009703,0.0009703,0.0009703
11,221.107,1.26232,1.15675,1.73931,0.85623,0.86625,0.8855,0.63022,1.0581,0.89434,1.58333,0.000967,0.000967,0.000967
12,240.345,1.23135,1.13431,1.71996,0.89172,0.84545,0.89478,0.63901,1.08174,0.90282,1.6099,0.0009637,0.0009637,0.0009637
13,259.901,1.22633,1.13701,1.71959,0.91904,0.84545,0.88522,0.60746,1.08841,0.93658,1.67976,0.0009604,0.0009604,0.0009604
14,279.156,1.21415,1.12323,1.682,0.90809,0.84545,0.89618,0.61715,1.11168,0.94481,1.59547,0.0009571,0.0009571,0.0009571
15,298.947,1.18694,1.09699,1.67062,0.88818,0.86651,0.91029,0.66335,1.01849,0.85055,1.55239,0.0009538,0.0009538,0.0009538
16,320.341,1.15094,1.06792,1.64113,0.90582,0.86364,0.896,0.63557,1.07401,0.86594,1.64432,0.0009505,0.0009505,0.0009505
17,341.223,1.13517,1.06427,1.63037,0.92356,0.87867,0.91178,0.63939,0.99603,0.7941,1.55304,0.0009472,0.0009472,0.0009472
18,362.105,1.12942,1.04755,1.61401,0.90103,0.82766,0.91398,0.66014,0.97707,0.81899,1.53539,0.0009439,0.0009439,0.0009439
19,382.298,1.10539,1.02822,1.58727,0.90452,0.86121,0.90883,0.65293,0.98236,0.84353,1.4788,0.0009406,0.0009406,0.0009406
20,403.612,1.07991,0.99937,1.55762,0.91443,0.9,0.90028,0.67851,0.94089,0.77601,1.48628,0.0009373,0.0009373,0.0009373
21,423.063,1.07234,0.99197,1.54835,0.91597,0.87273,0.91609,0.68959,0.90957,0.77544,1.43131,0.000934,0.000934,0.000934
22,442.301,1.04895,0.99651,1.53345,0.91312,0.85455,0.89874,0.67306,0.96579,0.86054,1.4991,0.0009307,0.0009307,0.0009307
23,461.092,1.05534,1.00495,1.55156,0.90504,0.88182,0.91641,0.68186,0.92309,0.81746,1.46663,0.0009274,0.0009274,0.0009274
24,479.965,1.05479,0.97825,1.53483,0.84991,0.82368,0.91329,0.65754,0.97433,0.91219,1.50152,0.0009241,0.0009241,0.0009241
25,498.867,1.02824,0.9674,1.51758,0.90269,0.84337,0.90202,0.6996,0.8644,0.79933,1.4115,0.0009208,0.0009208,0.0009208
26,518.345,1.01293,0.95564,1.50345,0.93059,0.86364,0.91409,0.68908,0.8961,0.75581,1.45182,0.0009175,0.0009175,0.0009175
27,538.07,1.03134,0.96722,1.52413,0.93768,0.86364,0.90315,0.6906,0.88826,0.85706,1.41807,0.0009142,0.0009142,0.0009142
28,557.381,1.00311,0.94009,1.4982,0.92229,0.86319,0.90099,0.67871,0.90052,0.8196,1.42817,0.0009109,0.0009109,0.0009109
29,577.722,0.94013,0.91435,1.44182,0.9104,0.88182,0.92607,0.71346,0.89612,0.76849,1.40184,0.0009076,0.0009076,0.0009076
30,598.021,0.94819,0.90479,1.45122,0.91301,0.85872,0.8993,0.69195,0.861,0.71795,1.37253,0.0009043,0.0009043,0.0009043
31,619.243,0.95254,0.92105,1.44519,0.92782,0.89091,0.90997,0.69148,0.89745,0.70885,1.39221,0.000901,0.000901,0.000901
32,639.356,0.92547,0.89607,1.41462,0.92165,0.8555,0.91417,0.70312,0.84642,0.76681,1.35528,0.0008977,0.0008977,0.0008977
33,659.633,0.94219,0.88898,1.43922,0.92395,0.86364,0.91747,0.71658,0.83427,0.73908,1.3445,0.0008944,0.0008944,0.0008944
34,679.867,0.94611,0.90783,1.4334,0.91568,0.88856,0.90858,0.70183,0.87965,0.78001,1.37672,0.0008911,0.0008911,0.0008911
35,699.877,0.93423,0.90215,1.42638,0.90008,0.86364,0.91185,0.69359,0.87303,0.77281,1.39026,0.0008878,0.0008878,0.0008878
36,719.989,0.92413,0.88111,1.41587,0.93312,0.88791,0.91629,0.72321,0.8357,0.65596,1.36424,0.0008845,0.0008845,0.0008845
37,740.12,0.91331,0.87084,1.41865,0.85194,0.82727,0.92204,0.71878,0.82276,0.82375,1.36705,0.0008812,0.0008812,0.0008812
38,759.952,0.89673,0.86412,1.38943,0.92985,0.89091,0.8893,0.70426,0.80278,0.6792,1.30963,0.0008779,0.0008779,0.0008779
39,779.352,0.90432,0.86591,1.38529,0.90696,0.9,0.90823,0.71769,0.79668,0.66123,1.32234,0.0008746,0.0008746,0.0008746
40,798.835,0.90046,0.84985,1.38951,0.89152,0.87273,0.91452,0.72491,0.83051,0.72261,1.35443,0.0008713,0.0008713,0.0008713
41,818.379,0.88815,0.83283,1.36789,0.91963,0.87273,0.93097,0.74829,0.7727,0.66704,1.287,0.000868,0.000868,0.000868
42,837.83,0.86859,0.8343,1.34676,0.85521,0.91283,0.93032,0.76295,0.7528,0.68794,1.26147,0.0008647,0.0008647,0.0008647
43,857.195,0.86833,0.82575,1.35044,0.85772,0.87273,0.91468,0.70676,0.86735,0.75251,1.3407,0.0008614,0.0008614,0.0008614
44,876.357,0.86284,0.81756,1.34913,0.88222,0.88527,0.90893,0.72242,0.80666,0.71157,1.27902,0.0008581,0.0008581,0.0008581
45,895.742,0.84912,0.81834,1.33883,0.89416,0.9,0.92375,0.73886,0.74888,0.67212,1.26675,0.0008548,0.0008548,0.0008548
46,916.082,0.85699,0.82728,1.3439,0.88268,0.90909,0.8987,0.70958,0.78533,0.68626,1.28501,0.0008515,0.0008515,0.0008515
47,935.355,0.83471,0.8152,1.32387,0.90374,0.9,0.89712,0.72223,0.78337,0.68626,1.28238,0.0008482,0.0008482,0.0008482
48,954.676,0.82083,0.79094,1.30301,0.89417,0.89091,0.8971,0.71559,0.7901,0.73165,1.28608,0.0008449,0.0008449,0.0008449
49,974.768,0.83527,0.7894,1.3206,0.92075,0.89091,0.91572,0.74407,0.76718,0.63876,1.28116,0.0008416,0.0008416,0.0008416
50,994.205,0.81219,0.78274,1.31369,0.90758,0.8928,0.90777,0.72491,0.77206,0.66465,1.28366,0.0008383,0.0008383,0.0008383
51,1013.84,0.81012,0.79954,1.29799,0.92499,0.89692,0.91233,0.74564,0.7571,0.61774,1.29946,0.000835,0.000835,0.000835
52,1033.64,0.81521,0.78694,1.30655,0.93305,0.8869,0.9317,0.73306,0.79348,0.62795,1.30605,0.0008317,0.0008317,0.0008317
53,1053.27,0.8151,0.79431,1.31858,0.91566,0.87273,0.91942,0.70881,0.84377,0.64477,1.34791,0.0008284,0.0008284,0.0008284
54,1073,0.7944,0.77089,1.29583,0.92391,0.88313,0.9046,0.73726,0.74125,0.63204,1.26204,0.0008251,0.0008251,0.0008251
55,1092.69,0.77458,0.76156,1.27351,0.84627,0.9008,0.89338,0.71062,0.77646,0.72358,1.29234,0.0008218,0.0008218,0.0008218
56,1112.31,0.79249,0.75867,1.28969,0.89802,0.90909,0.92184,0.72689,0.76166,0.67794,1.27205,0.0008185,0.0008185,0.0008185
57,1131.93,0.77647,0.74877,1.27149,0.92117,0.84993,0.91726,0.73272,0.7775,0.70649,1.2745,0.0008152,0.0008152,0.0008152
