epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.8171,2.46289,7.12324,0.40729,3.42927,3.26051,0.03151,0.13393,0.00951,0.0025,0.0084,0.03571,0.00053,8e-05,1.94767,5.19865,0.1878,4.50086,2.64193,0.000330935,0.000330935,0.0672374
2,46.6075,2.36284,6.59881,0.36126,2.45963,2.9687,0.16129,0.07731,0.04458,0.01496,0.01421,0.07143,0.00552,0.00069,2.03212,5.36895,0.15266,3.84599,2.64803,0.000662076,0.000662076,0.0342352
3,68.1302,2.15711,6.4239,0.33969,2.07647,2.80984,0.78538,0.74107,0.78403,0.37147,0.08072,0.13393,0.01985,0.00282,1.71097,6.1453,0.11652,1.55352,2.45441,0.000991018,0.000991018,0.00123083
4,89.6995,1.96665,6.26895,0.30517,1.78482,2.61982,0.85808,0.80981,0.82951,0.47246,0.50948,0.41964,0.30685,0.04101,1.55187,5.32344,0.11401,1.26132,2.28807,0.0009901,0.0009901,0.0009901
5,111.289,1.82231,6.24022,0.29809,1.67848,2.48316,0.88051,0.85536,0.8751,0.4349,0.45161,0.4412,0.22026,0.03184,1.58074,5.45131,0.10727,1.2136,2.17412,0.0009868,0.0009868,0.0009868
6,133.703,1.75659,6.15983,0.28301,1.562,2.39138,0.88028,0.8125,0.8447,0.50671,0.5295,0.46224,0.32673,0.04634,1.38496,5.38556,0.09315,1.22913,2.07618,0.0009835,0.0009835,0.0009835
7,161.462,1.61073,6.09252,0.27242,1.49149,2.26419,0.91835,0.80341,0.87395,0.53638,0.60782,0.52679,0.3842,0.05792,1.32824,5.33674,0.09904,1.2255,2.00387,0.0009802,0.0009802,0.0009802
8,183.575,1.5587,6.03499,0.28042,1.41035,2.19041,0.89983,0.80207,0.86097,0.55974,0.62317,0.53156,0.39359,0.04767,1.22936,5.36872,0.10063,1.09136,1.92389,0.0009769,0.0009769,0.0009769
9,204.669,1.50292,6.01593,0.27484,1.36731,2.12879,0.89747,0.80357,0.86576,0.56852,0.58118,0.52039,0.39984,0.05296,1.18534,5.38834,0.07473,1.03667,1.86311,0.0009736,0.0009736,0.0009736
10,226.021,1.44991,5.96606,0.25546,1.34489,2.06844,0.89827,0.8672,0.87768,0.59857,0.74435,0.66071,0.58139,0.12626,1.15741,5.01604,0.07131,1.09903,1.82565,0.0009703,0.0009703,0.0009703
11,248.82,1.42336,5.90114,0.25142,1.30619,2.04336,0.90069,0.83929,0.8803,0.60258,0.65622,0.60714,0.4416,0.09211,1.14132,4.8481,0.07008,1.01934,1.81464,0.000967,0.000967,0.000967
12,271.817,1.38734,5.8534,0.25182,1.27844,2.00064,0.88268,0.83036,0.86991,0.6093,0.74047,0.58036,0.53957,0.13439,1.10874,4.9243,0.0663,0.8677,1.7521,0.0009637,0.0009637,0.0009637
13,294.243,1.34852,5.7285,0.25832,1.24339,1.95841,0.88954,0.86283,0.87634,0.59128,0.62325,0.57143,0.42105,0.09553,1.16819,4.89304,0.06372,0.94934,1.82976,0.0009604,0.0009604,0.0009604
14,317.721,1.34256,5.71993,0.24901,1.2463,1.94595,0.85044,0.86607,0.87186,0.59694,0.71697,0.64286,0.5337,0.12334,1.08147,4.77457,0.06332,0.90966,1.73299,0.0009571,0.0009571,0.0009571
15,342.196,1.31349,5.69236,0.24269,1.21271,1.90077,0.90356,0.83036,0.86979,0.64579,0.69187,0.63393,0.55437,0.12293,1.00633,4.77413,0.06179,0.87573,1.6789,0.0009538,0.0009538,0.0009538
16,366.595,1.27172,5.58773,0.24398,1.18292,1.88923,0.8806,0.85714,0.88133,0.60601,0.73755,0.60714,0.55594,0.13224,1.07182,4.81687,0.06328,0.90074,1.71542,0.0009505,0.0009505,0.0009505
17,389.425,1.26786,5.48743,0.23859,1.18079,1.86199,0.89694,0.85479,0.86755,0.61748,0.65863,0.57143,0.45923,0.10728,1.03633,4.6798,0.05845,0.95992,1.69019,0.0009472,0.0009472,0.0009472
18,413.218,1.23879,5.48113,0.24091,1.14623,1.81832,0.86446,0.85714,0.88147,0.62156,0.71037,0.63508,0.486,0.10933,1.02849,4.68607,0.06021,0.80209,1.66475,0.0009439,0.0009439,0.0009439
19,435.472,1.22843,5.40937,0.23641,1.13785,1.80022,0.91687,0.83929,0.88979,0.62921,0.68948,0.63393,0.48758,0.10545,1.0591,4.52836,0.06016,0.95383,1.66987,0.0009406,0.0009406,0.0009406
20,457.369,1.20075,5.28775,0.2321,1.12657,1.79427,0.87845,0.85714,0.88988,0.64359,0.74626,0.72321,0.63834,0.14472,1.00921,4.39249,0.05783,0.88714,1.66811,0.0009373,0.0009373,0.0009373
21,479.9,1.19526,5.28106,0.23012,1.1136,1.78373,0.88208,0.86828,0.89614,0.64359,0.68067,0.65179,0.53063,0.10808,1.02481,4.51189,0.05834,0.8238,1.6793,0.000934,0.000934,0.000934
22,501.5,1.20366,5.19463,0.23528,1.10015,1.78894,0.86591,0.875,0.89829,0.63961,0.63691,0.59821,0.4504,0.10847,1.02418,4.47853,0.05644,0.91458,1.65337,0.0009307,0.0009307,0.0009307
23,523.345,1.18818,5.18437,0.24165,1.10718,1.78014,0.90339,0.86607,0.88607,0.63852,0.77228,0.74107,0.63647,0.13873,1.00125,4.63354,0.05797,0.81984,1.64938,0.0009274,0.0009274,0.0009274
