epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,70.184,2.92743,3.75283,2.99975,2.58811,0,0.02795,0.4439,0.12289,0.03734,0.01024,0.16266,0.00912,0.00132,2.38859,3.88465,3.9391,2.13717,0,3.31019e-05,3.31019e-05,0.0669312
2,128.098,2.57727,3.34461,2.45217,2.25841,0,0.25847,0.22789,0.14376,0.03945,0.07941,0.09075,0.0276,0.00498,2.44828,3.63723,3.54771,2.20185,0,6.62159e-05,6.62159e-05,0.033631
3,188.209,2.27396,3.22003,2.13253,2.05262,0,0.53671,0.35025,0.37312,0.15403,0.26321,0.16208,0.11419,0.02365,2.11158,3.39798,2.6059,1.95205,0,9.911e-05,9.911e-05,0.000330592
4,247.328,2.07689,3.09945,1.9455,1.92741,0,0.57901,0.42111,0.45038,0.18317,0.25101,0.17976,0.1175,0.02352,2.03544,3.33969,2.25856,1.87644,0,9.901e-05,9.901e-05,9.901e-05
5,304.605,1.96374,3.04118,1.82134,1.85567,0,0.63915,0.42985,0.48538,0.2315,0.32391,0.19774,0.14687,0.03133,1.88183,3.35891,2.19256,1.79104,0,9.868e-05,9.868e-05,9.868e-05
6,359.054,1.85795,2.94721,1.72066,1.77642,0,0.64486,0.4697,0.53182,0.25709,0.33015,0.22064,0.16691,0.03597,1.83621,3.19308,1.98933,1.77347,0,9.835e-05,9.835e-05,9.835e-05
7,416.368,1.78752,2.85091,1.63796,1.73142,0,0.66353,0.49145,0.54137,0.25408,0.35325,0.23108,0.16376,0.03347,1.82391,3.22447,1.98607,1.79135,0,9.802e-05,9.802e-05,9.802e-05
8,476.141,1.73945,2.8228,1.57691,1.69519,0,0.64566,0.48768,0.53635,0.25256,0.28824,0.20644,0.13112,0.02557,1.84793,3.09153,2.00531,1.8048,0,9.769e-05,9.769e-05,9.769e-05
9,529.729,1.70146,2.78774,1.52561,1.67291,0,0.73988,0.53291,0.61474,0.3121,0.42378,0.26207,0.21527,0.04705,1.74009,3.03223,1.7953,1.69529,0,9.736e-05,9.736e-05,9.736e-05
10,587.185,1.65352,2.72394,1.46555,1.62702,0,0.7171,0.52401,0.59553,0.30471,0.38079,0.25834,0.18451,0.03852,1.71676,3.04082,1.81545,1.67651,0,9.703e-05,9.703e-05,9.703e-05
11,692.532,1.62757,2.68602,1.43856,1.6105,0,0.67139,0.51696,0.56243,0.25759,0.29562,0.20847,0.12664,0.02459,1.89949,3.13891,1.87708,1.84084,0,9.67e-05,9.67e-05,9.67e-05
12,771.271,1.60621,2.64805,1.40499,1.59012,0,0.7476,0.57194,0.64752,0.34574,0.3914,0.28791,0.21229,0.04511,1.63787,2.90859,1.66058,1.61211,0,9.637e-05,9.637e-05,9.637e-05
13,960.239,1.57048,2.61518,1.37508,1.55984,0,0.74755,0.57466,0.64921,0.34296,0.42797,0.27602,0.21253,0.04727,1.66801,2.90059,1.67151,1.64657,0,9.604e-05,9.604e-05,9.604e-05
14,1078.9,1.537,2.56767,1.34683,1.54058,0,0.75099,0.57437,0.64803,0.33568,0.43128,0.26587,0.20441,0.04366,1.68752,3.064,1.63011,1.66557,0,9.571e-05,9.571e-05,9.571e-05
15,1154.51,1.5231,2.54534,1.3146,1.53234,0,0.7809,0.57973,0.66982,0.36103,0.42998,0.27631,0.21687,0.04719,1.6319,2.94169,1.59652,1.60658,0,9.538e-05,9.538e-05,9.538e-05
16,1233.38,1.50464,2.50211,1.2942,1.50945,0,0.75342,0.56076,0.64468,0.33399,0.39277,0.27225,0.18767,0.04017,1.70313,3.02247,1.60147,1.69364,0,9.505e-05,9.505e-05,9.505e-05
17,1303.86,1.49077,2.51702,1.27108,1.5003,0,0.76943,0.59785,0.67759,0.35541,0.42401,0.30038,0.22042,0.04815,1.67121,2.8303,1.57174,1.65356,0,9.472e-05,9.472e-05,9.472e-05
18,1363.24,1.47949,2.48437,1.26475,1.48879,0,0.76079,0.56712,0.64063,0.31691,0.34858,0.25776,0.17189,0.03481,1.75466,2.92209,1.63053,1.73756,0,9.439e-05,9.439e-05,9.439e-05
19,1421.05,1.45481,2.42598,1.25566,1.47256,0,0.76689,0.56219,0.63992,0.30253,0.34825,0.25718,0.15863,0.033,1.81944,2.94442,1.60255,1.7692,0,9.406e-05,9.406e-05,9.406e-05
20,1478.77,1.42091,2.40104,1.211,1.44418,0,0.73915,0.56113,0.62938,0.28894,0.30984,0.22122,0.13108,0.02563,1.90987,2.97353,1.66682,1.86396,0,9.373e-05,9.373e-05,9.373e-05
21,1537.11,1.41511,2.36629,1.19013,1.43594,0,0.75096,0.57528,0.64233,0.32673,0.39423,0.26616,0.17812,0.03755,1.74494,3.02646,1.69334,1.73095,0,9.34e-05,9.34e-05,9.34e-05
22,1590.75,1.40647,2.37691,1.18998,1.43523,0,0.77166,0.58365,0.66163,0.31861,0.37824,0.27428,0.17732,0.03638,1.80229,2.88442,1.55188,1.77948,0,9.307e-05,9.307e-05,9.307e-05
23,1647.99,1.4103,2.37616,1.18188,1.43386,0,0.80783,0.60684,0.7039,0.37991,0.44169,0.31197,0.23308,0.05304,1.61775,2.7639,1.48553,1.57135,0,9.274e-05,9.274e-05,9.274e-05
