epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,181.485,2.66916,3.83736,2.81066,2.54839,0,0.07822,0.11453,0.0385,0.01156,0.00328,0.18411,0.00203,0.00049,2.59883,8.49543,3.56169,2.57536,0,0.00331019,0.00331019,0.0702083
2,236.028,2.15346,3.38748,2.31246,2.05384,0,2e-05,0.00116,0,0,0.0001,0.00725,0,0,3.22595,7.22763,5.29109,2.53496,0,0.00664352,0.00664352,0.0402083
3,290.776,2.02365,3.2639,2.20078,1.95101,0,0.0912,0.08843,0.02724,0.00747,0.02115,0.01479,0.00225,0.00029,3.26341,3.66436,6.59617,3.31526,0,0.00997685,0.00997685,0.0102083
4,345.866,1.87732,3.13288,2.00483,1.83545,0,0.15379,0.10815,0.05621,0.02379,0.03429,0.02233,0.0042,0.00077,2.72238,3.43187,7.69109,2.65769,0,0.01,0.01,0.01
5,399.707,1.76686,2.99446,1.81089,1.7386,0,0.34002,0.28269,0.24487,0.1159,0.14522,0.10902,0.04461,0.00816,1.96107,3.40403,6.00797,2.09457,0,0.01,0.01,0.01
6,453.088,1.67623,2.87403,1.65186,1.64977,0,0.56627,0.41577,0.43733,0.19759,0.4055,0.24326,0.2044,0.04371,1.94707,3.11534,2.44718,2.01074,0,0.01,0.01,0.01
7,506.976,1.59207,2.73938,1.53241,1.58686,0,0.57193,0.48536,0.51671,0.25434,0.26189,0.20064,0.11237,0.02237,1.67077,3.12649,2.47026,1.81128,0,0.01,0.01,0.01
8,560.64,1.53032,2.65132,1.44715,1.53356,0,0.60832,0.38997,0.4476,0.21425,0.31999,0.15715,0.1169,0.02444,1.93596,3.15539,2.12248,1.95425,0,0.01,0.01,0.01
9,613.682,1.50664,2.60577,1.40721,1.52011,0,0.73468,0.4755,0.5685,0.3014,0.5197,0.29864,0.29011,0.0716,1.67507,3.1001,1.85134,1.69896,0,0.01,0.01,0.01
10,667.072,1.45515,2.52224,1.32497,1.47548,0,0.65486,0.43665,0.4983,0.28987,0.36381,0.19078,0.12904,0.0262,1.58237,3.24568,2.03061,1.66056,0,0.01,0.01,0.01
11,719.973,1.43815,2.4826,1.27918,1.46918,0,0.72132,0.51107,0.59609,0.36033,0.48118,0.28791,0.23284,0.05255,1.51309,3.17832,1.89739,1.50673,0,0.01,0.01,0.01
12,773.097,1.41588,2.42638,1.23465,1.44221,0,0.59696,0.46216,0.50795,0.27141,0.31704,0.18295,0.11363,0.02241,1.66443,3.06016,1.83433,1.6995,0,0.01,0.01,0.01
13,826.521,1.38422,2.3898,1.21145,1.41719,0,0.73048,0.51145,0.59649,0.36867,0.43938,0.27834,0.22679,0.05339,1.43608,2.91119,1.89058,1.44474,0,0.01,0.01,0.01
14,880.076,1.3556,2.33313,1.18288,1.40283,0,0.62509,0.3517,0.39888,0.23196,0.3128,0.14787,0.09403,0.01908,1.74084,3.23846,2.41271,1.80781,0,0.01,0.01,0.01
15,933.589,1.34973,2.32265,1.15961,1.40152,0,0.7191,0.54538,0.61749,0.34705,0.3468,0.22499,0.145,0.02969,1.63909,2.79765,1.77718,1.7464,0,0.01,0.01,0.01
16,987.483,1.32337,2.26511,1.12201,1.37344,0,0.7855,0.53301,0.62334,0.39355,0.44674,0.26529,0.20232,0.04617,1.4357,2.90156,1.71205,1.50211,0,0.01,0.01,0.01
17,1040.98,1.30782,2.2593,1.09488,1.36483,0,0.77896,0.52624,0.6153,0.37432,0.44873,0.27776,0.22036,0.05284,1.54649,3.07252,1.63107,1.66172,0,0.01,0.01,0.01
18,1094.56,1.29836,2.22378,1.0837,1.35478,0,0.72246,0.47724,0.55675,0.29858,0.33554,0.19194,0.11838,0.02278,1.81382,3.05582,1.83706,1.82862,0,0.01,0.01,0.01
19,1147.1,1.29174,2.19194,1.0748,1.34914,0,0.75207,0.42744,0.51379,0.26494,0.34479,0.18092,0.11118,0.02049,2.08975,3.43828,2.46535,2.26151,0,0.01,0.01,0.01
20,1201.08,1.26311,2.15647,1.02821,1.33077,0,0.40494,0.22644,0.21155,0.10591,0.12361,0.06756,0.02649,0.00552,2.2053,3.78413,3.70016,2.24422,0,0.01,0.01,0.01
21,1254.65,1.24398,2.11353,1.01762,1.31183,0,0.52429,0.33105,0.34993,0.19414,0.23888,0.10235,0.05714,0.01073,1.95388,3.51439,2.85171,1.99976,0,0.01,0.01,0.01
22,1308.31,1.22773,2.14343,1.02432,1.31328,0,0.52981,0.30328,0.3176,0.17854,0.23871,0.12419,0.07023,0.01438,1.9374,3.53025,3.0373,1.96487,0,0.01,0.01,0.01
23,1361.82,1.24207,2.12101,0.99959,1.31597,0,0.58386,0.3978,0.42599,0.23042,0.25009,0.14207,0.07725,0.01527,1.84052,3.41428,2.45867,1.84626,0,0.01,0.01,0.01
24,1416.29,1.2352,2.10696,0.99806,1.31409,0,0.51494,0.2761,0.29133,0.17351,0.26986,0.11395,0.07573,0.01599,1.82854,3.46978,4.44334,1.81952,0,0.01,0.01,0.01
25,1470.34,1.1918,2.02577,0.95508,1.2802,0,0.57988,0.27515,0.28959,0.18791,0.31859,0.12699,0.08793,0.02071,1.65798,3.25169,8.87014,1.74127,0,0.01,0.01,0.01
26,1524.08,1.20477,2.06387,0.97029,1.2947,0,0.58475,0.30172,0.33124,0.21059,0.34357,0.14526,0.09828,0.02074,1.64878,3.29022,5.21448,1.74438,0,0.01,0.01,0.01
27,1578.45,1.19379,2.03931,0.94791,1.28398,0,0.5964,0.28327,0.30697,0.19023,0.37125,0.14642,0.10868,0.02509,1.59741,3.39798,7.64767,1.67326,0,0.01,0.01,0.01
28,1633.17,1.19061,2.0156,0.93876,1.27888,0,0.53263,0.23369,0.24026,0.14345,0.29302,0.09945,0.05998,0.01193,1.85705,3.64302,11.0134,1.85332,0,0.01,0.01,0.01
29,1686.5,1.17693,1.98122,0.93512,1.27535,0,0.3768,0.26964,0.22522,0.10265,0.12388,0.07857,0.02009,0.00348,2.25917,3.90253,3.30965,2.12515,0,0.01,0.01,0.01
30,1739.58,1.18149,2.02037,0.93398,1.2734,0,0.34755,0.2119,0.18217,0.10004,0.14748,0.08089,0.03578,0.0077,1.99675,3.67846,3.66002,1.97912,0,0.01,0.01,0.01
31,1792.12,1.17155,1.9761,0.9145,1.2677,0,0.3721,0.16168,0.14994,0.0692,0.13989,0.05944,0.02274,0.00508,2.55651,4.22594,3.56212,2.42763,0,0.01,0.01,0.01
32,1845.91,1.15501,1.95735,0.89366,1.25528,0,0.50609,0.30937,0.30279,0.15601,0.2273,0.11378,0.05762,0.01229,2.04385,3.75206,3.22734,2.11206,0,0.01,0.01,0.01
33,1899.02,1.15708,1.94828,0.8976,1.2565,0,0.58971,0.36619,0.39119,0.2665,0.36453,0.20789,0.15335,0.03847,1.44656,2.79546,2.95768,1.50468,0,0.01,0.01,0.01
34,1953.11,1.15026,1.96549,0.89675,1.2535,0,0.56766,0.32705,0.34597,0.21615,0.29289,0.14903,0.0874,0.01899,1.70005,3.58446,2.99468,1.69205,0,0.01,0.01,0.01
35,2005,1.13771,1.93828,0.88408,1.24108,0,0.83392,0.47898,0.45195,0.29988,0.4634,0.26616,0.17723,0.04097,1.66704,3.1943,4.04848,1.77145,0,0.01,0.01,0.01
36,2057.84,1.13461,1.90708,0.87045,1.2448,0,0.87284,0.31844,0.47826,0.29237,0.51442,0.18643,0.16185,0.03851,1.75382,3.63009,3.21118,1.7799,0,0.01,0.01,0.01
37,2111.96,1.15487,1.93223,0.87663,1.25341,0,0.3447,0.196,0.16726,0.09443,0.14427,0.07777,0.0329,0.00681,1.92891,3.65049,3.93601,1.92268,0,0.01,0.01,0.01
38,2165.57,1.12403,1.90562,0.85154,1.23092,0,0.25652,0.15541,0.13203,0.06829,0.06784,0.04523,0.01171,0.0021,2.15238,4.3028,4.1505,2.09193,0,0.01,0.01,0.01
39,2219.38,1.12941,1.90339,0.85313,1.24064,0,0.47567,0.24567,0.25905,0.15282,0.20887,0.09017,0.05,0.00974,1.75983,3.66745,3.65035,1.83615,0,0.01,0.01,0.01
40,2272.7,1.11504,1.88758,0.85229,1.23073,0,0.35765,0.17541,0.1379,0.06472,0.123,0.06185,0.01783,0.00342,2.29304,4.23324,4.27064,2.27327,0,0.01,0.01,0.01
41,2324.82,1.12528,1.87669,0.84439,1.23639,0,0.27224,0.39403,0.24603,0.10975,0.21324,0.06466,0.02846,0.00502,2.62957,5.0719,3.86063,2.43221,0,0.01,0.01,0.01
42,2377.96,1.11441,1.87168,0.84131,1.23179,0,0.51755,0.51725,0.41961,0.22192,0.27343,0.13888,0.0743,0.01306,2.15104,3.87467,3.31972,2.10206,0,0.01,0.01,0.01
43,2432.08,1.10957,1.86043,0.83358,1.22038,0,0.54238,0.37113,0.37449,0.19532,0.18742,0.11945,0.04767,0.00852,2.01164,4.01707,2.64041,2.09348,0,0.01,0.01,0.01
44,2486.27,1.10853,1.85578,0.82185,1.22609,0,0.5933,0.41197,0.43378,0.23107,0.20964,0.11453,0.05183,0.00938,1.93375,4.40181,2.83416,2.00807,0,0.01,0.01,0.01
45,2540.08,1.10282,1.8693,0.82521,1.22363,0,0.2871,0.14178,0.1193,0.0553,0.05167,0.03769,0.00625,0.00107,2.2309,4.882,5.98614,2.30626,0,0.01,0.01,0.01
