epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,159.91,2.3743,3.34758,2.32837,2.10087,0,0.4314,0.38765,0.3473,0.14845,0.11983,0.11916,0.03658,0.00719,1.88776,3.32902,3.30831,1.86229,0,0.00332755,0.00332755,0.0700521
2,306.747,1.79135,2.8893,1.76068,1.64938,0,0.59051,0.45057,0.49246,0.2569,0.17965,0.14642,0.06103,0.0112,1.69516,3.16386,2.01159,1.77892,0,0.00666088,0.00666088,0.0400521
3,446.116,1.71543,2.72605,1.6481,1.60417,0,0.6808,0.48623,0.56368,0.29464,0.28188,0.18962,0.11732,0.02356,1.74317,2.9591,1.86264,1.67525,0,0.00999421,0.00999421,0.0100521
4,584.994,1.57582,2.59476,1.49815,1.50394,0,0.72705,0.57466,0.65382,0.3777,0.37379,0.239,0.16121,0.0364,1.49049,2.69723,1.67752,1.55897,0,0.00621775,0.00621775,0.00621775
5,726.62,1.49528,2.46611,1.38236,1.462,0,0.69932,0.52131,0.5821,0.33155,0.37299,0.23043,0.16646,0.03704,1.50236,2.72088,1.79165,1.58152,0,0.00532576,0.00532576,0.00532576
6,865.59,1.44423,2.37514,1.31632,1.42696,0,0.74863,0.63671,0.69916,0.37919,0.25166,0.18556,0.09436,0.0201,1.56072,2.82011,1.57968,1.63393,0,0.00442462,0.00442462,0.00442462
7,1004.74,1.42739,2.30766,1.25889,1.40378,0,0.77072,0.56973,0.66645,0.37293,0.31216,0.21422,0.13077,0.02808,1.50951,2.62155,1.53868,1.55472,0,0.00354424,0.00354424,0.00354424
8,1144.6,1.35599,2.24219,1.18974,1.36396,0,0.80422,0.64772,0.73559,0.43696,0.37611,0.25012,0.15442,0.03244,1.34923,2.50588,1.53571,1.4531,0,0.00271382,0.00271382,0.00271382
9,1284.2,1.32963,2.20584,1.15776,1.34241,0,0.78806,0.63823,0.71934,0.4354,0.38371,0.2737,0.18061,0.04155,1.41517,2.58076,1.50164,1.50864,0,0.00196092,0.00196092,0.00196092
10,1423.74,1.31097,2.12044,1.10067,1.3366,0,0.80822,0.67353,0.7607,0.47997,0.41775,0.2795,0.19824,0.04436,1.29593,2.45066,1.44826,1.4253,0,0.00131053,0.00131053,0.00131053
11,1584.94,1.18671,2.0496,1.0597,1.30175,0,0.77332,0.59669,0.67674,0.40418,0.34188,0.20992,0.11946,0.02401,1.54733,2.95983,1.52355,1.63811,0,0.000784229,0.000784229,0.000784229
12,1725.45,1.11276,1.93253,0.94475,1.25119,0,0.546,0.51676,0.50206,0.30613,0.31565,0.12873,0.077,0.0139,1.72249,3.48404,1.89511,1.78051,0,0.000399475,0.000399475,0.000399475
13,1865.68,1.09271,1.89007,0.90232,1.24496,0,0.54944,0.53378,0.38722,0.21354,0.17984,0.14903,0.04068,0.00791,1.70233,3.44709,1.85718,1.75936,0,0.000169041,0.000169041,0.000169041
14,2006.14,1.07532,1.86505,0.88199,1.22754,0,0.54743,0.51783,0.52024,0.31859,0.30688,0.13453,0.07594,0.01298,1.7342,3.49087,1.94363,1.80381,0,0.000100572,0.000100572,0.000100572
15,2147.13,1.0759,1.85806,0.87626,1.2245,0,0.59164,0.49064,0.52776,0.32277,0.29509,0.13772,0.07466,0.01289,1.75074,3.46027,1.94528,1.84179,0,0.00019634,0.00019634,0.00019634
16,2287.94,1.0804,1.8487,0.87316,1.22436,0,0.55407,0.45607,0.32224,0.18538,0.20387,0.14033,0.04351,0.00808,1.81594,3.93724,2.38774,1.89155,0,0.000453168,0.000453168,0.000453168
17,2428.57,1.07527,1.85726,0.87455,1.22144,0,0.55555,0.51522,0.38796,0.23157,0.24678,0.16208,0.06069,0.01097,1.76521,3.75588,2.08945,1.89336,0,0.000862532,0.000862532,0.000862532
18,2570.64,1.08793,1.86244,0.86881,1.22501,0,0.67932,0.37112,0.39972,0.21464,0.21518,0.09017,0.04465,0.00826,2.32766,4.72255,2.8675,2.44478,0,0.00141085,0.00141085,0.00141085
19,2711.51,1.09082,1.89192,0.8714,1.22579,0,0.82306,0.21039,0.23064,0.13508,0.23182,0.05596,0.02463,0.00462,2.31805,5.12667,2.84452,2.37762,0,0.00207993,0.00207993,0.00207993
