epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,32.5059,3.09763,4.32149,3.5921,2.99554,0,0,0,0,0,0,0,0,0,2.61285,4.07145,3.78005,2.29928,0,3.24074e-05,3.24074e-05,0.067625
2,52.2583,2.71784,3.56628,2.78102,2.407,0,0,0,0,0,0,0,0,0,2.28702,4.16138,4.46289,2.28996,0,6.55238e-05,6.55238e-05,0.0343248
3,71.7516,2.42729,3.31608,2.37359,2.16825,0,0,0,0,0,0,0,0,0,2.42809,4.01678,4.70227,2.38342,0,9.84202e-05,9.84202e-05,0.00102435
4,91.4855,2.15849,3.19752,2.09724,1.99312,0,0.28571,0.00406,0.00167,0.00117,0.18367,0.00261,0.00167,0.00117,2.39799,4.06396,4.67733,2.24528,0,9.901e-05,9.901e-05,9.901e-05
5,112.843,1.97164,3.06412,1.91836,1.84966,0,0.63667,0.16237,0.22529,0.09501,0.5946,0.15164,0.19276,0.07403,2.19384,3.59674,3.57395,2.04775,0,9.868e-05,9.868e-05,9.868e-05
6,134.804,1.883,2.97717,1.81648,1.79329,0,0.69388,0.37112,0.44971,0.21346,0.67057,0.35518,0.41638,0.17853,1.9265,3.30419,2.49209,1.81498,0,9.835e-05,9.835e-05,9.835e-05
7,156.955,1.81356,2.93946,1.73209,1.72984,0,0.73137,0.45144,0.53517,0.27281,0.70338,0.44209,0.51204,0.24164,1.81742,3.1742,2.08978,1.7105,0,9.802e-05,9.802e-05,9.802e-05
8,178.788,1.75173,2.865,1.65415,1.67702,0,0.73073,0.48159,0.56164,0.26588,0.71357,0.47028,0.54254,0.24873,1.83899,3.11365,1.98733,1.71666,0,9.769e-05,9.769e-05,9.769e-05
9,200.979,1.71317,2.81372,1.59192,1.65288,0,0.75946,0.53059,0.61741,0.30003,0.73789,0.51831,0.59396,0.26955,1.76297,3.08008,1.86216,1.65798,0,9.736e-05,9.736e-05,9.736e-05
10,223.451,1.68137,2.77777,1.5418,1.62052,0,0.73293,0.53929,0.61359,0.28532,0.73058,0.52247,0.59064,0.26345,1.82782,3.0921,1.96074,1.73731,0,9.703e-05,9.703e-05,9.703e-05
11,245.292,1.63691,2.70958,1.49851,1.58647,0,0.7163,0.50565,0.57093,0.25584,0.71554,0.49029,0.55542,0.23659,1.90773,3.18365,1.88697,1.7641,0,9.67e-05,9.67e-05,9.67e-05
12,267.193,1.60889,2.66853,1.447,1.56612,0,0.66443,0.5187,0.55131,0.25035,0.67328,0.51435,0.54882,0.23938,1.86893,3.07622,2.01036,1.78842,0,9.637e-05,9.637e-05,9.637e-05
13,289.105,1.55933,2.61205,1.39012,1.52396,0,0.7573,0.54103,0.61016,0.26975,0.75121,0.54277,0.60497,0.2608,1.94429,3.03178,1.83965,1.83987,0,9.604e-05,9.604e-05,9.604e-05
14,310.892,1.54304,2.58086,1.36631,1.51042,0,0.7702,0.57524,0.6494,0.29168,0.75856,0.56654,0.6374,0.27783,1.89169,2.95115,1.73356,1.78827,0,9.571e-05,9.571e-05,9.571e-05
15,332.928,1.53866,2.56629,1.35493,1.50694,0,0.82166,0.61206,0.71199,0.37347,0.80765,0.60162,0.69114,0.34382,1.62019,2.79666,1.57678,1.53527,0,9.538e-05,9.538e-05,9.538e-05
16,355.039,1.4862,2.52154,1.3068,1.47169,0,0.78546,0.59206,0.66514,0.33781,0.76184,0.57959,0.6429,0.31411,1.74617,2.86555,1.68984,1.66222,0,9.505e-05,9.505e-05,9.505e-05
17,376.882,1.48691,2.50521,1.29416,1.46711,0,0.82688,0.62733,0.72545,0.3932,0.81142,0.60945,0.69897,0.35491,1.59804,2.76653,1.47595,1.50249,0,9.472e-05,9.472e-05,9.472e-05
18,398.853,1.46476,2.46063,1.26635,1.44889,0,0.78,0.56625,0.65642,0.31767,0.77441,0.56219,0.65198,0.30583,1.79002,2.85697,1.59012,1.67055,0,9.439e-05,9.439e-05,9.439e-05
19,420.858,1.43712,2.44851,1.24303,1.42849,0,0.77574,0.58829,0.6795,0.34609,0.77404,0.5735,0.66474,0.32261,1.70966,2.83876,1.66308,1.61579,0,9.406e-05,9.406e-05,9.406e-05
20,442.665,1.43333,2.41712,1.21771,1.4213,0,0.82703,0.62975,0.72309,0.39398,0.815,0.61184,0.6961,0.35626,1.59325,2.73302,1.48559,1.4946,0,9.373e-05,9.373e-05,9.373e-05
21,464.955,1.42672,2.40214,1.20918,1.41456,0,0.80598,0.637,0.72639,0.38518,0.80928,0.62221,0.71332,0.35857,1.62009,2.73338,1.56906,1.53842,0,9.34e-05,9.34e-05,9.34e-05
22,486.73,1.42581,2.38549,1.18378,1.4133,0,0.8359,0.6602,0.75084,0.40196,0.82663,0.65091,0.73373,0.37528,1.61755,2.68185,1.40196,1.54136,0,9.307e-05,9.307e-05,9.307e-05
23,508.683,1.3978,2.34767,1.16833,1.39525,0,0.85467,0.63428,0.73714,0.39487,0.8467,0.62656,0.72095,0.36515,1.628,2.73017,1.37217,1.54074,0,9.274e-05,9.274e-05,9.274e-05
24,530.583,1.38166,2.34146,1.15686,1.38252,0,0.83454,0.59843,0.70162,0.36662,0.8208,0.58858,0.68653,0.34569,1.69607,2.7441,1.48679,1.58533,0,9.241e-05,9.241e-05,9.241e-05
25,552.3,1.37493,2.33091,1.1346,1.38002,0,0.79789,0.58148,0.6694,0.32575,0.80853,0.56538,0.65563,0.30483,1.81061,2.94836,1.5253,1.69683,0,9.208e-05,9.208e-05,9.208e-05
26,573.961,1.35475,2.28019,1.11478,1.37059,0,0.80261,0.64251,0.72121,0.37783,0.80698,0.62076,0.70568,0.35116,1.69658,2.76812,1.45569,1.59537,0,9.175e-05,9.175e-05,9.175e-05
27,595.802,1.35036,2.27532,1.10681,1.36009,0,0.78909,0.58162,0.66042,0.32988,0.78252,0.57408,0.64937,0.30538,1.7824,2.96796,1.55586,1.69014,0,9.142e-05,9.142e-05,9.142e-05
28,617.548,1.33628,2.2571,1.09728,1.34592,0,0.81753,0.63961,0.72543,0.38885,0.8174,0.62917,0.71467,0.36157,1.65559,2.68164,1.35526,1.55495,0,9.109e-05,9.109e-05,9.109e-05
29,639.298,1.34741,2.25497,1.08093,1.35213,0,0.82123,0.64656,0.73449,0.39293,0.81276,0.6399,0.72239,0.36442,1.64001,2.7509,1.35055,1.54808,0,9.076e-05,9.076e-05,9.076e-05
30,661.234,1.32745,2.23508,1.08323,1.34123,0,0.82401,0.63874,0.73057,0.40016,0.81466,0.63149,0.71666,0.37152,1.62573,2.72796,1.36811,1.54332,0,9.043e-05,9.043e-05,9.043e-05
31,683.009,1.32635,2.24334,1.07034,1.33722,0,0.86133,0.65375,0.75879,0.4395,0.85126,0.6454,0.7404,0.4026,1.51629,2.59781,1.2952,1.42694,0,9.01e-05,9.01e-05,9.01e-05
32,704.876,1.30592,2.19147,1.04765,1.32596,0,0.82222,0.61525,0.70793,0.3586,0.82138,0.608,0.7033,0.33941,1.74762,2.76101,1.35365,1.63048,0,8.977e-05,8.977e-05,8.977e-05
33,726.542,1.31329,2.20809,1.0455,1.32607,0,0.82853,0.64569,0.73551,0.39783,0.81931,0.63368,0.71911,0.36221,1.65084,2.80747,1.2891,1.55184,0,8.944e-05,8.944e-05,8.944e-05
34,748.335,1.30382,2.1915,1.04798,1.32464,0,0.84654,0.67295,0.76532,0.42216,0.83074,0.657,0.74272,0.3847,1.58779,2.66451,1.24556,1.49596,0,8.911e-05,8.911e-05,8.911e-05
