epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,42.8146,3.84416,6.40261,4.35627,4.11071,0,0,0,0,0,0,0,0,0,3.03548,4.09346,4.01801,3.70547,0,3.28704e-05,3.28704e-05,0.0671625
2,76.7607,3.47932,4.59624,3.75746,3.58116,0,0.00371,0.26268,0.00101,0.00032,0.00361,0.25544,0.00095,0.00026,2.31776,4.04697,3.59884,3.18955,0,6.60726e-05,6.60726e-05,0.0338624
3,109.258,3.41467,4.00875,3.53378,3.29809,0,0.00552,0.39084,0.00291,0.00069,0.00523,0.36996,0.00241,0.00056,2.51186,4.28163,3.56698,3.12756,0,9.91429e-05,9.91429e-05,0.000562106
4,141.193,3.41398,3.84709,3.36544,3.20623,0,0.00683,0.48333,0.00434,0.00114,0.00609,0.43085,0.00346,0.00087,2.65077,6.69904,3.66629,3.5484,0,9.9406e-05,9.9406e-05,9.9406e-05
5,173.534,3.28759,3.70087,3.07127,3.11271,0,0.16131,0.12612,0.07049,0.02034,0.14528,0.11945,0.06074,0.01496,2.64683,4.08037,3.24001,3.17381,0,9.9208e-05,9.9208e-05,9.9208e-05
6,206.116,3.04415,3.60673,2.96323,3.05524,0,0.03143,0.11801,0.0173,0.00265,0.01547,0.05509,0.00583,0.00096,3.07333,3.98636,3.94869,3.21194,0,9.901e-05,9.901e-05,9.901e-05
7,237.172,2.864,3.50056,2.85438,2.94965,0,0.11927,0.17019,0.05506,0.00915,0.06516,0.10351,0.02143,0.0032,3.19879,3.74941,3.17977,3.25041,0,9.8812e-05,9.8812e-05,9.8812e-05
8,267.971,2.72457,3.41487,2.70272,2.78232,0,0.23016,0.2247,0.1259,0.02553,0.20821,0.17889,0.10025,0.02308,3.04073,3.6954,2.85649,3.27234,0,9.8614e-05,9.8614e-05,9.8614e-05
9,298.556,2.61213,3.35256,2.56209,2.68569,0,0.18484,0.22123,0.11921,0.03984,0.17825,0.1989,0.10908,0.03678,2.73449,3.67111,3.27863,3.10107,0,9.8416e-05,9.8416e-05,9.8416e-05
10,329.812,2.53132,3.29308,2.41849,2.63127,0,0.14819,0.21919,0.09931,0.03248,0.15096,0.19971,0.08942,0.02986,2.81223,3.62475,3.21354,3.16359,0,9.8218e-05,9.8218e-05,9.8218e-05
11,360.709,2.42883,3.27933,2.31082,2.54035,0,0.24173,0.26095,0.1594,0.05859,0.24919,0.25718,0.15855,0.05386,2.31955,3.62682,3.25571,2.62514,0,9.802e-05,9.802e-05,9.802e-05
12,391.616,2.36733,3.24096,2.20898,2.496,0,0.29203,0.27863,0.20025,0.0748,0.3008,0.26471,0.19716,0.0715,2.31309,3.56224,2.92765,2.62239,0,9.7822e-05,9.7822e-05,9.7822e-05
13,422.705,2.27526,3.20853,2.10221,2.40515,0,0.35878,0.3085,0.25988,0.11084,0.36745,0.29255,0.24503,0.09668,2.23513,3.51342,2.75039,2.53244,0,9.7624e-05,9.7624e-05,9.7624e-05
