epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,58.9428,3.94753,10.7688,3.97648,4.19906,0,0,0,0,0,0,0,0,0,3.7271,4.95692,3.74457,3.92592,0,3.28704e-05,3.28704e-05,0.0671625
2,97.7183,3.64837,5.51459,3.65215,3.8284,0,0.00466,0.33024,0.00162,0.00031,0.00365,0.25834,0.00095,0.00014,2.4759,4.30943,3.57256,3.42437,0,6.60726e-05,6.60726e-05,0.0338624
3,135.192,3.43911,4.28583,3.5433,3.55847,0,0.00214,0.15164,0.00037,7e-05,0.0019,0.13424,0.00026,4e-05,2.24103,4.07823,3.66796,3.26184,0,9.91429e-05,9.91429e-05,0.000562106
4,171.436,3.43796,3.95231,3.49787,3.46887,0,0.00477,0.33778,0.00162,0.00036,0.00426,0.30183,0.0013,0.00024,2.28416,4.14672,3.59963,3.37942,0,9.9406e-05,9.9406e-05,9.9406e-05
5,208.765,3.38003,3.82895,3.44235,3.40645,0,0.00546,0.38649,0.00221,0.00048,0.00559,0.39577,0.00231,0.00051,2.61944,4.03185,3.53021,3.38568,0,9.9208e-05,9.9208e-05,9.9208e-05
6,245.838,3.10943,3.78627,3.37705,3.35294,0,0.00211,0.14932,0.00047,9e-05,0.0029,0.20557,0.00085,0.00016,3.97867,4.04977,3.63798,3.95406,0,9.901e-05,9.901e-05,9.901e-05
7,282.288,2.9008,3.72297,3.23956,3.25323,0,0.01537,0.03247,0.00316,0.00059,0.02281,0.04987,0.00609,0.00121,3.62794,3.91846,3.76164,3.5956,0,9.8812e-05,9.8812e-05,9.8812e-05
8,319.995,2.78857,3.65338,3.10724,3.09019,0,0.02621,0.04465,0.00629,0.00136,0.03691,0.06785,0.01114,0.0022,3.52775,3.89514,5.72674,3.57965,0,9.8614e-05,9.8614e-05,9.8614e-05
9,356.648,2.68796,3.60598,2.95371,2.95412,0,0.07474,0.1096,0.02749,0.00603,0.08464,0.12119,0.03626,0.00838,3.51447,4.09252,5.19147,3.63833,0,9.8416e-05,9.8416e-05,9.8416e-05
10,393.657,2.65323,3.51915,2.8215,2.84459,0,0.15901,0.22209,0.08214,0.02295,0.1908,0.21224,0.10586,0.02873,2.93632,3.81929,4.70771,3.20881,0,9.8218e-05,9.8218e-05,9.8218e-05
11,430.907,2.60275,3.45394,2.70089,2.73979,0,0.16595,0.23195,0.10969,0.03381,0.18447,0.22187,0.11756,0.03492,2.55096,3.94168,7.05219,2.87019,0,9.802e-05,9.802e-05,9.802e-05
12,467.696,2.55567,3.42301,2.57627,2.6806,0,0.15817,0.16063,0.08824,0.02906,0.17797,0.15541,0.09063,0.02962,2.48409,3.79648,4.05914,2.67474,0,9.7822e-05,9.7822e-05,9.7822e-05
13,503.408,2.48794,3.3497,2.45457,2.57907,0,0.1564,0.14782,0.07535,0.02543,0.16035,0.14149,0.07504,0.02468,2.67088,3.77871,4.02185,2.77129,0,9.7624e-05,9.7624e-05,9.7624e-05
14,540.066,2.45204,3.29952,2.35751,2.53693,0,0.15872,0.17454,0.07986,0.02155,0.17432,0.19777,0.09234,0.02608,3.25768,3.70633,5.94101,3.43682,0,9.7426e-05,9.7426e-05,9.7426e-05
15,576.134,2.39297,3.27474,2.32067,2.50245,0,0.21355,0.20528,0.12316,0.04085,0.21171,0.21002,0.1252,0.04127,2.33957,3.63796,4.01235,2.48738,0,9.7228e-05,9.7228e-05,9.7228e-05
16,612.439,2.3109,3.24998,2.21452,2.43587,0,0.12012,0.15222,0.06337,0.02414,0.11971,0.14439,0.06168,0.02202,2.21797,3.52877,3.16287,2.4514,0,9.703e-05,9.703e-05,9.703e-05
17,647.829,2.26559,3.18437,2.12286,2.39912,0,0.33432,0.26558,0.21509,0.08714,0.32546,0.26066,0.2048,0.07916,2.13501,3.4972,2.89111,2.41341,0,9.6832e-05,9.6832e-05,9.6832e-05
18,682.683,2.21905,3.14739,2.03159,2.3629,0,0.1509,0.07944,0.03975,0.01458,0.15095,0.07799,0.03853,0.01462,2.38126,3.69663,3.95271,2.75601,0,9.6634e-05,9.6634e-05,9.6634e-05
19,717.959,2.18286,3.12736,1.97561,2.32256,0,0.28922,0.20035,0.15692,0.07268,0.28282,0.189,0.1463,0.05943,2.54445,4.17477,3.02588,2.78519,0,9.6436e-05,9.6436e-05,9.6436e-05
20,752.712,2.1391,3.08197,1.90252,2.29566,0,0.37092,0.18053,0.16766,0.07653,0.36201,0.16324,0.14738,0.05693,2.72091,4.08596,3.55204,3.02766,0,9.6238e-05,9.6238e-05,9.6238e-05
21,788.197,2.10986,3.046,1.84155,2.26524,0,0.48002,0.31342,0.31963,0.14148,0.46895,0.29835,0.29682,0.12183,2.20573,3.68461,2.54247,2.48925,0,9.604e-05,9.604e-05,9.604e-05
22,823.64,2.0688,3.0068,1.77211,2.23472,0,0.41799,0.25979,0.24811,0.10779,0.40783,0.2506,0.23034,0.09503,2.2703,3.72083,2.74017,2.55956,0,9.5842e-05,9.5842e-05,9.5842e-05
23,859.137,2.05239,2.96527,1.74459,2.21769,0,0.5805,0.44454,0.45116,0.20766,0.58913,0.42679,0.42967,0.17854,1.99247,3.43617,2.23205,2.27977,0,9.5644e-05,9.5644e-05,9.5644e-05
24,894.958,2.00665,2.94485,1.71195,2.17058,0,0.47479,0.3546,0.3378,0.15093,0.47388,0.35286,0.32967,0.13917,2.0468,3.38219,2.42643,2.31394,0,9.5446e-05,9.5446e-05,9.5446e-05
25,930.407,1.97458,2.9044,1.67089,2.14527,0,0.53326,0.41722,0.40628,0.18494,0.53587,0.41113,0.39241,0.1677,2.05638,3.58313,2.42205,2.33628,0,9.5248e-05,9.5248e-05,9.5248e-05
26,966.607,1.94773,2.87518,1.63784,2.14078,0,0.43342,0.33923,0.31032,0.14859,0.41477,0.32763,0.2891,0.12841,2.00682,3.45665,2.50995,2.31835,0,9.505e-05,9.505e-05,9.505e-05
27,1002.22,1.92278,2.84666,1.61275,2.10089,0,0.40465,0.28385,0.26286,0.11894,0.39979,0.27747,0.24854,0.10425,2.13537,3.5611,2.756,2.40581,0,9.4852e-05,9.4852e-05,9.4852e-05
28,1037.25,1.89066,2.81204,1.58972,2.07802,0,0.59491,0.38301,0.41384,0.20121,0.58584,0.37076,0.39271,0.17714,2.04206,3.34574,2.25548,2.34298,0,9.4654e-05,9.4654e-05,9.4654e-05
29,1072.58,1.89872,2.82564,1.5789,2.09273,0,0.59409,0.38361,0.41645,0.20482,0.58989,0.37228,0.39684,0.18287,1.98454,3.30723,2.24912,2.28638,0,9.4456e-05,9.4456e-05,9.4456e-05
30,1108.38,1.86763,2.77946,1.54969,2.04812,0,0.67535,0.47408,0.53596,0.27526,0.6609,0.46393,0.51404,0.24832,1.79024,3.15442,2.00825,2.11621,0,9.4258e-05,9.4258e-05,9.4258e-05
31,1143.67,1.83741,2.7795,1.52915,2.00818,0,0.62149,0.44178,0.48486,0.23858,0.62155,0.43085,0.47131,0.21728,1.88258,3.19211,2.06351,2.18449,0,9.406e-05,9.406e-05,9.406e-05
32,1179.23,1.81787,2.75499,1.50785,2.01962,0,0.61651,0.39852,0.44078,0.21583,0.60397,0.38939,0.41714,0.19149,2.08535,3.25667,2.2642,2.40653,0,9.3862e-05,9.3862e-05,9.3862e-05
33,1213.72,1.80942,2.71762,1.50093,1.99341,0,0.65104,0.43259,0.47922,0.23609,0.63489,0.42186,0.45758,0.21223,2.00208,3.29214,2.13252,2.30895,0,9.3664e-05,9.3664e-05,9.3664e-05
34,1248.83,1.82567,2.72614,1.48982,2.00904,0,0.64809,0.4293,0.47513,0.23675,0.63056,0.41606,0.45051,0.21366,2.01091,3.37286,2.19556,2.30869,0,9.3466e-05,9.3466e-05,9.3466e-05
35,1283.74,1.75968,2.68211,1.46032,1.96166,0,0.71864,0.5187,0.59005,0.29746,0.70919,0.50652,0.56694,0.26954,1.77646,3.05015,1.91267,2.11756,0,9.3268e-05,9.3268e-05,9.3268e-05
36,1319.2,1.765,2.66825,1.45479,1.98319,0,0.70516,0.54306,0.60735,0.2962,0.6979,0.52885,0.58391,0.26916,1.80577,3.06893,1.84547,2.15162,0,9.307e-05,9.307e-05,9.307e-05
37,1354.58,1.7538,2.6498,1.44511,1.95614,0,0.68953,0.51064,0.56813,0.29553,0.67829,0.49986,0.54391,0.26481,1.78132,3.13377,1.93755,2.13335,0,9.2872e-05,9.2872e-05,9.2872e-05
38,1389.86,1.71481,2.61429,1.40495,1.92872,0,0.67195,0.49887,0.53894,0.28057,0.66657,0.48457,0.51407,0.25262,1.85065,3.41907,1.93776,2.20411,0,9.2674e-05,9.2674e-05,9.2674e-05
39,1425.31,1.7062,2.61674,1.39231,1.90702,0,0.68437,0.45893,0.50198,0.25033,0.67066,0.44796,0.47732,0.22247,2.01595,3.26232,2.07802,2.34195,0,9.2476e-05,9.2476e-05,9.2476e-05
40,1459.88,1.68898,2.5959,1.39459,1.88573,0,0.70105,0.53581,0.58797,0.30572,0.69389,0.51377,0.55725,0.28143,1.78964,3.2553,1.80067,2.14857,0,9.2278e-05,9.2278e-05,9.2278e-05
41,1494.73,1.68513,2.59453,1.37592,1.89676,0,0.70744,0.47782,0.53957,0.29024,0.69185,0.46651,0.51221,0.2595,1.88832,3.24016,2.03111,2.22802,0,9.208e-05,9.208e-05,9.208e-05
